Time	pos1	pos2	pos3	pos4	pos5	pos6
0	800	800	800	800	800	800	
0.1	792.002	800	800	800	800	800	
0.2	787.943	800	800	800	800	800	
0.3	784.945	799.999	800	800	800	800	
0.4	782.467	799.997	800	800	800	800	
0.5	780.312	799.992	800	800	800	800	
0.6	778.383	799.983	800	800	800	800	
0.7	776.623	799.969	800	800	800	800	
0.8	774.995	799.948	800	800	800	800	
0.9	773.475	799.918	800	800	800	800	
1	772.044	799.879	800	800	800	800	
1.1	770.689	799.83	800	800	800	800	
1.2	769.4	799.769	800	800	800	800	
1.3	768.169	799.697	800	800	800	800	
1.4	766.988	799.613	800	800	800	800	
1.5	765.853	799.517	799.999	800	800	800	
1.6	764.758	799.41	799.999	800	800	800	
1.7	763.701	799.291	799.999	800	800	800	
1.8	762.677	799.161	799.998	800	800	800	
1.9	761.684	799.02	799.997	800	800	800	
2	760.719	798.869	799.996	800	800	800	
2.1	759.781	798.708	799.995	800	800	800	
2.2	758.867	798.537	799.993	800	800	800	
2.3	757.976	798.358	799.991	800	800	800	
2.4	757.106	798.171	799.988	800	800	800	
2.5	756.256	797.975	799.985	800	800	800	
2.6	755.424	797.772	799.982	800	800	800	
2.7	754.61	797.562	799.977	800	800	800	
2.8	753.813	797.345	799.972	800	800	800	
2.9	753.032	797.122	799.966	800	800	800	
3	752.265	796.894	799.96	800	800	800	
3.1	751.513	796.659	799.952	800	800	800	
3.2	750.774	796.42	799.944	800	800	800	
3.3	750.048	796.176	799.934	800	800	800	
3.4	749.335	795.928	799.924	800	800	800	
3.5	748.633	795.675	799.912	800	800	800	
3.6	747.942	795.419	799.899	799.999	800	800	
3.7	747.262	795.159	799.885	799.999	800	800	
3.8	746.592	794.896	799.87	799.999	800	800	
3.9	745.932	794.629	799.854	799.999	800	800	
4	745.282	794.36	799.836	799.999	800	800	
4.1	744.641	794.088	799.817	799.998	800	800	
4.2	744.008	793.813	799.796	799.998	800	800	
4.3	743.385	793.537	799.774	799.998	800	800	
4.4	742.769	793.258	799.751	799.997	800	800	
4.5	742.161	792.977	799.726	799.997	800	800	
4.6	741.561	792.694	799.7	799.996	800	800	
4.7	740.968	792.41	799.672	799.995	800	800	
4.8	740.383	792.124	799.643	799.994	800	800	
4.9	739.804	791.837	799.613	799.994	800	800	
5	739.232	791.548	799.58	799.993	800	800	
5.1	738.667	791.259	799.547	799.992	800	800	
5.2	738.108	790.968	799.511	799.99	800	800	
5.3	737.555	790.676	799.474	799.989	800	800	
5.4	737.008	790.384	799.436	799.988	800	800	
5.5	736.467	790.09	799.396	799.986	800	800	
5.6	735.932	789.796	799.355	799.984	800	800	
5.7	735.402	789.501	799.312	799.982	800	800	
5.8	734.877	789.206	799.267	799.98	800	800	
5.9	734.358	788.911	799.221	799.978	800	800	
6	733.843	788.615	799.174	799.976	800	800	
6.1	733.334	788.318	799.125	799.973	800	800	
6.2	732.829	788.021	799.074	799.97	800	800	
6.3	732.33	787.725	799.022	799.967	800	800	
6.4	731.834	787.427	798.969	799.964	799.999	800	
6.5	731.343	787.13	798.914	799.96	799.999	800	
6.6	730.857	786.833	798.858	799.957	799.999	800	
6.7	730.375	786.536	798.8	799.953	799.999	800	
6.8	729.897	786.238	798.741	799.948	799.999	800	
6.9	729.423	785.941	798.68	799.944	799.999	800	
7	728.953	785.644	798.618	799.939	799.999	800	
7.1	728.487	785.347	798.555	799.934	799.999	800	
7.2	728.025	785.05	798.49	799.929	799.998	800	
7.3	727.567	784.753	798.424	799.923	799.998	800	
7.4	727.112	784.456	798.356	799.918	799.998	800	
7.5	726.661	784.16	798.287	799.911	799.998	800	
7.6	726.213	783.864	798.217	799.905	799.998	800	
7.7	725.769	783.568	798.146	799.898	799.997	800	
7.8	725.328	783.273	798.073	799.891	799.997	800	
7.9	724.891	782.978	797.999	799.884	799.997	800	
8	724.456	782.683	797.924	799.876	799.996	800	
8.1	724.025	782.389	797.848	799.868	799.996	800	
8.2	723.597	782.095	797.77	799.859	799.995	800	
8.3	723.173	781.801	797.691	799.85	799.995	800	
8.4	722.751	781.508	797.611	799.841	799.995	800	
8.5	722.332	781.215	797.53	799.832	799.994	800	
8.6	721.916	780.923	797.448	799.822	799.994	800	
8.7	721.503	780.631	797.365	799.811	799.993	800	
8.8	721.093	780.339	797.28	799.801	799.992	800	
8.9	720.685	780.049	797.195	799.79	799.992	800	
9	720.28	779.758	797.108	799.778	799.991	800	
9.1	719.878	779.468	797.02	799.766	799.99	800	
9.2	719.479	779.179	796.932	799.754	799.989	799.999	
9.3	719.082	778.89	796.842	799.741	799.988	799.999	
9.4	718.687	778.602	796.751	799.728	799.988	799.999	
9.5	718.296	778.314	796.66	799.715	799.987	799.999	
9.6	717.906	778.027	796.567	799.701	799.986	799.999	
9.7	717.519	777.741	796.473	799.687	799.985	799.999	
9.8	717.135	777.454	796.379	799.672	799.983	799.999	
9.9	716.752	777.169	796.284	799.657	799.982	799.999	
10	716.372	776.884	796.187	799.641	799.981	799.999	
10.1	715.995	776.6	796.09	799.625	799.98	799.999	
10.2	715.619	776.316	795.992	799.609	799.978	799.999	
10.3	715.246	776.033	795.893	799.592	799.977	799.998	
10.4	714.875	775.751	795.793	799.575	799.975	799.998	
10.5	714.506	775.469	795.692	799.557	799.974	799.998	
10.6	714.139	775.187	795.591	799.539	799.972	799.998	
10.7	713.774	774.907	795.488	799.52	799.97	799.998	
10.8	713.411	774.627	795.385	799.501	799.968	799.998	
10.9	713.051	774.347	795.282	799.482	799.966	799.997	
11	712.692	774.068	795.177	799.462	799.964	799.997	
11.1	712.335	773.79	795.072	799.442	799.962	799.997	
11.2	711.98	773.513	794.965	799.421	799.96	799.997	
11.3	711.627	773.236	794.859	799.399	799.958	799.996	
11.4	711.276	772.959	794.751	799.378	799.956	799.996	
11.5	710.927	772.684	794.643	799.356	799.953	799.996	
11.6	710.58	772.408	794.534	799.333	799.951	799.996	
