intrinsic_carbon intrinsic_chromium	Temperature	PhaseEnthalpy
6.45262e-011 0.110984 100 34989.3 
6.45262e-011 0.110984 105 37371.4 
6.45262e-011 0.110984 110 39763.2 
6.45262e-011 0.110984 115 42164.7 
6.45262e-011 0.110984 120 44575.7 
6.45262e-011 0.110984 125 46996.4 
6.45262e-011 0.110984 130 49426.6 
6.45262e-011 0.110984 135 51866.6 
6.45262e-011 0.110984 140 54316.1 
6.45262e-011 0.110984 145 56775.3 
6.45262e-011 0.110984 150 59244.2 
6.45262e-011 0.110984 155 61722.7 
6.45262e-011 0.110984 160 64211 
6.45262e-011 0.110984 165 66709.1 
6.45262e-011 0.110984 170 69216.9 
6.45262e-011 0.110984 175 71734.6 
6.45262e-011 0.110984 180 74262.2 
6.45262e-011 0.110984 185 76799.8 
6.45262e-011 0.110984 190 79347.3 
6.45262e-011 0.110984 195 81904.8 
6.45262e-011 0.110984 200 84472.5 
6.45262e-011 0.110984 205 87050.3 
6.45262e-011 0.110984 210 89638.4 
6.45262e-011 0.110984 215 92236.8 
6.45262e-011 0.110984 220 94845.5 
6.45262e-011 0.110984 225 97464.7 
6.45262e-011 0.110984 230 100094 
6.45262e-011 0.110984 235 102735 
6.45262e-011 0.110984 240 105386 
6.45262e-011 0.110984 245 108047 
6.45262e-011 0.110984 250 110720 
6.45262e-011 0.110984 255 113404 
6.45262e-011 0.110984 260 116098 
6.45262e-011 0.110984 265 118804 
6.45262e-011 0.110984 270 121521 
6.45262e-011 0.110984 275 124249 
6.45262e-011 0.110984 280 126989 
6.45262e-011 0.110984 285 129740 
6.45262e-011 0.110984 290 132503 
6.45262e-011 0.110984 295 135278 
6.45262e-011 0.110984 300 138064 
6.45262e-011 0.110984 305 140863 
6.45262e-011 0.110984 310 143674 
6.45262e-011 0.110984 315 146496 
6.45262e-011 0.110984 320 149332 
6.45262e-011 0.110984 325 152179 
6.45262e-011 0.110984 330 155040 
6.45262e-011 0.110984 335 157913 
6.45262e-011 0.110984 340 160799 
6.45262e-011 0.110984 345 163698 
6.45262e-011 0.110984 350 166610 
6.45262e-011 0.110984 355 169535 
6.45262e-011 0.110984 360 172474 
6.45262e-011 0.110984 365 175427 
6.45262e-011 0.110984 370 178393 
6.45262e-011 0.110984 375 181373 
6.45262e-011 0.110984 380 184368 
6.45262e-011 0.110984 385 187376 
6.45262e-011 0.110984 390 190399 
6.45262e-011 0.110984 395 193436 
6.45262e-011 0.110984 400 196489 
6.45262e-011 0.110984 405 199556 
6.45262e-011 0.110984 410 202638 
6.45262e-011 0.110984 415 205735 
6.45262e-011 0.110984 420 208848 
6.45262e-011 0.110984 425 211977 
6.45262e-011 0.110984 430 215122 
6.45262e-011 0.110984 435 218282 
6.45262e-011 0.110984 440 221459 
6.45262e-011 0.110984 445 224652 
6.45262e-011 0.110984 450 227863 
6.45262e-011 0.110984 455 231090 
6.45262e-011 0.110984 460 234334 
6.45262e-011 0.110984 465 237596 
6.45262e-011 0.110984 470 240875 
6.45262e-011 0.110984 475 244172 
6.45262e-011 0.110984 480 247488 
6.45262e-011 0.110984 485 250821 
6.45262e-011 0.110984 490 254174 
6.45262e-011 0.110984 495 257546 
