intrinsic_carbon intrinsic_chromium	Temperature	PhaseEnthalpy
8.84984 65.6668 100 -130241 
8.84984 65.6668 105 -127438 
8.84984 65.6668 110 -124627 
8.84984 65.6668 115 -121806 
8.84984 65.6668 120 -118978 
8.84984 65.6668 125 -116141 
8.84984 65.6668 130 -113296 
8.84984 65.6668 135 -110442 
8.84984 65.6668 140 -107580 
8.84984 65.6668 145 -104710 
8.84984 65.6668 150 -101832 
8.84984 65.6668 155 -98945.2 
8.84984 65.6668 160 -96050.5 
8.84984 65.6668 165 -93147.6 
8.84984 65.6668 170 -90236.6 
8.84984 65.6668 175 -87317.5 
8.84984 65.6668 180 -84390.4 
8.84984 65.6668 185 -81455.2 
8.84984 65.6668 190 -78512.1 
8.84984 65.6668 195 -75561 
8.84984 65.6668 200 -72601.9 
8.84984 65.6668 205 -69634.9 
8.84984 65.6668 210 -66660.1 
8.84984 65.6668 215 -63677.3 
8.84984 65.6668 220 -60686.8 
8.84984 65.6668 225 -57688.4 
8.84984 65.6668 230 -54682.2 
8.84984 65.6668 235 -51668.3 
8.84984 65.6668 240 -48646.6 
8.84984 65.6668 245 -45617.3 
8.84984 65.6668 250 -42580.2 
8.84984 65.6668 255 -39535.5 
8.84984 65.6668 260 -36483.1 
8.84984 65.6668 265 -33423.1 
8.84984 65.6668 270 -30355.5 
8.84984 65.6668 275 -27280.3 
8.84984 65.6668 280 -24197.6 
8.84984 65.6668 285 -21107.3 
8.84984 65.6668 290 -18009.5 
8.84984 65.6668 295 -14904.2 
8.84984 65.6668 300 -11791.4 
8.84984 65.6668 305 -8671.16 
8.84984 65.6668 310 -5543.47 
8.84984 65.6668 315 -2408.36 
8.84984 65.6668 320 734.148 
8.84984 65.6668 325 3884.05 
8.84984 65.6668 330 7041.32 
8.84984 65.6668 335 10205.9 
8.84984 65.6668 340 13377.9 
8.84984 65.6668 345 16557.2 
8.84984 65.6668 350 19743.8 
8.84984 65.6668 355 22937.7 
8.84984 65.6668 360 26138.8 
8.84984 65.6668 365 29347.2 
8.84984 65.6668 370 32562.9 
8.84984 65.6668 375 35785.8 
8.84984 65.6668 380 39015.9 
8.84984 65.6668 385 42253.2 
8.84984 65.6668 390 45497.7 
8.84984 65.6668 395 48749.4 
8.84984 65.6668 400 52008.2 
8.84984 65.6668 405 55274.2 
8.84984 65.6668 410 58547.3 
8.84984 65.6668 415 61827.6 
8.84984 65.6668 420 65114.9 
8.84984 65.6668 425 68409.4 
8.84984 65.6668 430 71710.9 
8.84984 65.6668 435 75019.6 
8.84984 65.6668 440 78335.2 
8.84984 65.6668 445 81658 
8.84984 65.6668 450 84987.8 
8.84984 65.6668 455 88324.6 
8.84984 65.6668 460 91668.5 
8.84984 65.6668 465 95019.3 
8.84984 65.6668 470 98377.2 
8.84984 65.6668 475 101742 
8.84984 65.6668 480 105114 
8.84984 65.6668 485 108493 
8.84984 65.6668 490 111879 
8.84984 65.6668 495 115271 
8.84984 65.6668 500 118671 
8.84984 65.6668 505 122078 
8.84984 65.6668 510 125491 
8.84984 65.6668 515 128912 
8.84984 65.6668 520 132339 
8.84984 65.6668 525 135773 
8.84984 65.6668 530 139215 
8.84984 65.6668 535 142663 
8.84984 65.6668 540 146118 
8.84984 65.6668 545 149579 
8.84984 65.6668 550 153048 
8.84984 65.6668 555 156524 
8.84984 65.6668 560 160006 
8.84984 65.6668 565 163495 
8.84984 65.6668 570 166992 
8.84984 65.6668 575 170495 
8.84984 65.6668 580 174004 
8.84984 65.6668 585 177521 
8.84984 65.6668 590 181044 
8.84984 65.6668 595 184575 
8.84984 65.6668 600 188112 
8.84984 65.6668 605 191656 
8.84984 65.6668 610 195206 
8.84984 65.6668 615 198764 
8.84984 65.6668 620 202328 
8.84984 65.6668 625 205899 
8.84984 65.6668 630 209476 
8.84984 65.6668 635 213061 
8.84984 65.6668 640 216652 
