avg_carbon	avg_chromium	Temperature	PhaseFraction	PhaseComposition_carbon PhaseComposition_chromium
1.8 27 100 0 9.00814 90.9915 
1.8 27 105 0 9.00813 90.9914 
1.8 27 110 0 9.00813 90.9913 
1.8 27 115 0 9.00813 90.9912 
1.8 27 120 0 9.00813 90.991 
1.8 27 125 0 9.00813 90.9908 
1.8 27 130 0 9.00813 90.9905 
1.8 27 135 0 9.00813 90.9902 
1.8 27 140 0 9.00812 90.9899 
1.8 27 145 0 9.00812 90.9895 
1.8 27 150 0 9.00812 90.989 
1.8 27 155 0 9.00812 90.9884 
1.8 27 160 0 9.00811 90.9877 
1.8 27 165 0 9.00811 90.9869 
1.8 27 170 0 9.0081 90.9859 
1.8 27 175 0 9.00809 90.9849 
1.8 27 180 0 9.00809 90.9836 
1.8 27 185 0 9.00808 90.9822 
1.8 27 190 0 9.00807 90.9805 
1.8 27 195 0 9.00805 90.9787 
1.8 27 200 0 9.00804 90.9765 
1.8 27 205 0 9.00803 90.9741 
1.8 27 210 0 9.00801 90.9714 
1.8 27 215 0 9.00799 90.9683 
1.8 27 220 0 9.00797 90.9648 
1.8 27 225 0 9.00794 90.9609 
1.8 27 230 0 9.00792 90.9565 
1.8 27 235 0 9.00789 90.9516 
1.8 27 240 0 9.00785 90.9462 
1.8 27 245 0 9.00781 90.9402 
1.8 27 250 0 9.00777 90.9335 
1.8 27 255 0 9.00773 90.9261 
1.8 27 260 0 9.00768 90.918 
1.8 27 265 0 9.00762 90.9091 
1.8 27 270 0 9.00756 90.8993 
1.8 27 275 0 9.00749 90.8885 
1.8 27 280 0 9.00742 90.8768 
1.8 27 285 0 9.00734 90.864 
1.8 27 290 0 9.00725 90.85 
1.8 27 295 0 9.00716 90.8349 
1.8 27 300 0 9.00705 90.8185 
1.8 27 305 0 9.00694 90.8008 
1.8 27 310 0 9.00682 90.7816 
1.8 27 315 0 9.00669 90.761 
1.8 27 320 0 9.00656 90.7388 
1.8 27 325 0 9.00641 90.715 
1.8 27 330 0 9.00625 90.6895 
1.8 27 335 0 9.00608 90.6622 
1.8 27 340 0 9.00589 90.6331 
1.8 27 345 0 9.0057 90.602 
1.8 27 350 0 9.00549 90.569 
1.8 27 355 0 9.00527 90.5339 
1.8 27 360 0 9.00504 90.4967 
1.8 27 365 0 9.0048 90.4574 
1.8 27 370 0 9.00454 90.4158 
1.8 27 375 0 9.00426 90.3719 
1.8 27 380 0 9.00397 90.3257 
1.8 27 385 0 9.00367 90.277 
1.8 27 390 0.00189632 9.00339 90.2318 
1.8 27 395 0.00967635 9.0032 90.2027 
1.8 27 400 0.0178746 9.00302 90.173 
1.8 27 405 0.0265162 9.00283 90.1429 
1.8 27 410 0.0356284 9.00264 90.1123 
1.8 27 415 0.0452406 9.00245 90.0812 
1.8 27 420 0.0553842 9.00225 90.0497 
1.8 27 425 0.0660937 9.00205 90.0178 
1.8 27 430 0.0774059 9.00185 89.9855 
1.8 27 435 0.0893614 9.00164 89.9528 
1.8 27 440 0.102004 9.00144 89.9198 
1.8 27 445 0.115382 9.00123 89.8865 
1.8 27 450 0.129547 9.00102 89.8529 
1.8 27 455 0.144557 9.00081 89.819 
1.8 27 460 0.160476 9.00059 89.7849 
1.8 27 465 0.177375 9.00038 89.7506 
1.8 27 470 0.195331 9.00016 89.7162 
1.8 27 475 0.200005 8.99978 89.6549 
1.8 27 480 0.200015 8.99933 89.5824 
1.8 27 485 0.200025 8.99886 89.5073 
1.8 27 490 0.200036 8.99837 89.4295 
1.8 27 495 0.200047 8.99787 89.3489 
1.8 27 500 0.200058 8.99735 89.2656 
1.8 27 505 0.20007 8.99681 89.1795 
1.8 27 510 0.200082 8.99625 89.0906 
1.8 27 515 0.200095 8.99568 88.9988 
1.8 27 520 0.200108 8.99509 88.9042 
1.8 27 525 0.200121 8.99448 88.8068 
1.8 27 530 0.200135 8.99385 88.7065 
1.8 27 535 0.200149 8.99321 88.6033 
1.8 27 540 0.200164 8.99254 88.4972 
1.8 27 545 0.200179 8.99186 88.3882 
1.8 27 550 0.200194 8.99116 88.2763 
1.8 27 555 0.200209 8.99045 88.1615 
1.8 27 560 0.200225 8.98971 88.0438 
1.8 27 565 0.200242 8.98896 87.9233 
1.8 27 570 0.200258 8.98819 87.7998 
1.8 27 575 0.200275 8.9874 87.6735 
1.8 27 580 0.200293 8.98659 87.5444 
1.8 27 585 0.20031 8.98576 87.4124 
1.8 27 590 0.200328 8.98492 87.2775 
1.8 27 595 0.200346 8.98406 87.1399 
1.8 27 600 0.200365 8.98318 86.9995 
1.8 27 605 0.200384 8.98229 86.8563 
1.8 27 610 0.200403 8.98138 86.7104 
1.8 27 615 0.200422 8.98045 86.5617 
1.8 27 620 0.200441 8.9795 86.4104 
1.8 27 625 0.200461 8.97854 86.2564 
1.8 27 630 0.200481 8.97756 86.0998 
1.8 27 635 0.200501 8.97656 85.9405 
1.8 27 640 0.200521 8.97555 85.7787 
1.8 27 645 0.200541 8.97453 85.6144 
1.8 27 650 0.200562 8.97348 85.4475 
1.8 27 655 0.200582 8.97242 85.2782 
1.8 27 660 0.200603 8.97135 85.1064 
1.8 27 665 0.200623 8.97026 84.9322 
1.8 27 670 0.200643 8.96916 84.7555 
1.8 27 675 0.200664 8.96804 84.5766 
1.8 27 680 0.200684 8.96691 84.3953 
1.8 27 685 0.200704 8.96576 84.2117 
1.8 27 690 0.200724 8.9646 84.0258 
1.8 27 695 0.200744 8.96342 83.8377 
1.8 27 700 0.200763 8.96223 83.6473 
1.8 27 705 0.200782 8.96103 83.4547 
1.8 27 710 0.200801 8.95981 83.26 
1.8 27 715 0.200819 8.95858 83.0631 
1.8 27 720 0.200837 8.95733 82.864 
1.8 27 725 0.200854 8.95608 82.6629 
1.8 27 730 0.200871 8.95481 82.4596 
1.8 27 735 0.200886 8.95357 82.2612 
1.8 27 740 0.2009 8.95234 82.0656 
1.8 27 745 0.200913 8.95112 81.8699 
1.8 27 750 0.200925 8.9499 81.6743 
1.8 27 755 0.200936 8.94868 81.4788 
1.8 27 760 0.200946 8.94745 81.2833 
1.8 27 765 0.200955 8.94623 81.0879 
1.8 27 770 0.200963 8.94501 80.8926 
1.8 27 775 0.200969 8.94379 80.6974 
1.8 27 780 0.200975 8.94257 80.5023 
1.8 27 785 0.200978 8.94135 80.3073 
1.8 27 790 0.200981 8.94014 80.1125 
1.8 27 795 0.200981 8.93892 79.9179 
1.8 27 800 0.20098 8.9377 79.7234 
1.8 27 805 0.200978 8.93649 79.5292 
1.8 27 810 0.200974 8.93528 79.3352 
1.8 27 815 0.200968 8.93407 79.1414 
1.8 27 820 0.20096 8.93286 78.948 
1.8 27 825 0.20095 8.93165 78.7548 
1.8 27 830 0.200938 8.93044 78.5619 
1.8 27 835 0.200924 8.92924 78.3694 
1.8 27 840 0.200908 8.92804 78.1772 
1.8 27 845 0.20089 8.92684 77.9854 
1.8 27 850 0.200869 8.92564 77.794 
1.8 27 855 0.200846 8.92445 77.6029 
1.8 27 860 0.200821 8.92326 77.4124 
1.8 27 865 0.200793 8.92207 77.2222 
1.8 27 870 0.20028 8.92134 77.1056 
1.8 27 875 0.199275 8.9211 77.0677 
1.8 27 880 0.198377 8.92079 77.0172 
1.8 27 885 0.197561 8.92041 76.9559 
1.8 27 890 0.196808 8.91997 76.8855 
1.8 27 895 0.196104 8.91948 76.8072 
1.8 27 900 0.195437 8.91894 76.7222 
1.8 27 905 0.194801 8.91838 76.6312 
1.8 27 910 0.194188 8.91778 76.5351 
1.8 27 915 0.193594 8.91715 76.4344 
1.8 27 920 0.193014 8.91649 76.3296 
1.8 27 925 0.192445 8.91581 76.2213 
1.8 27 930 0.191885 8.91512 76.1098 
1.8 27 935 0.19133 8.9144 75.9955 
1.8 27 940 0.19078 8.91367 75.8787 
1.8 27 945 0.190231 8.91293 75.7596 
1.8 27 950 0.189684 8.91217 75.6385 
1.8 27 955 0.189137 8.9114 75.5157 
1.8 27 960 0.188589 8.91063 75.3913 
1.8 27 965 0.188038 8.90984 75.2654 
1.8 27 970 0.187485 8.90905 75.1384 
1.8 27 975 0.186929 8.90824 75.0102 
1.8 27 980 0.186368 8.90744 74.8811 
1.8 27 985 0.185803 8.90662 74.7512 
1.8 27 990 0.185232 8.90581 74.6205 
1.8 27 995 0.184656 8.90499 74.4893 
1.8 27 1000 0.184074 8.90416 74.3575 
1.8 27 1005 0.183486 8.90334 74.2254 
1.8 27 1010 0.182891 8.90251 74.0929 
1.8 27 1015 0.182288 8.90168 73.9602 
1.8 27 1020 0.181679 8.90085 73.8273 
1.8 27 1025 0.181062 8.90002 73.6944 
1.8 27 1030 0.180438 8.89919 73.5614 
