intrinsic_carbon intrinsic_chromium	Temperature	PhaseEnthalpy
7.1324 89.4094 100 -228997 
7.1324 89.4094 105 -226427 
7.1324 89.4094 110 -223848 
7.1324 89.4094 115 -221258 
7.1324 89.4094 120 -218658 
7.1324 89.4094 125 -216049 
7.1324 89.4094 130 -213430 
7.1324 89.4094 135 -210801 
7.1324 89.4094 140 -208162 
7.1324 89.4094 145 -205515 
7.1324 89.4094 150 -202858 
7.1324 89.4094 155 -200192 
7.1324 89.4094 160 -197517 
7.1324 89.4094 165 -194833 
7.1324 89.4094 170 -192140 
7.1324 89.4094 175 -189439 
7.1324 89.4094 180 -186729 
7.1324 89.4094 185 -184011 
7.1324 89.4094 190 -181284 
7.1324 89.4094 195 -178549 
7.1324 89.4094 200 -175806 
7.1324 89.4094 205 -173054 
7.1324 89.4094 210 -170295 
7.1324 89.4094 215 -167528 
7.1324 89.4094 220 -164752 
7.1324 89.4094 225 -161969 
7.1324 89.4094 230 -159179 
7.1324 89.4094 235 -156380 
7.1324 89.4094 240 -153574 
7.1324 89.4094 245 -150761 
7.1324 89.4094 250 -147939 
7.1324 89.4094 255 -145111 
7.1324 89.4094 260 -142275 
7.1324 89.4094 265 -139432 
7.1324 89.4094 270 -136581 
7.1324 89.4094 275 -133724 
7.1324 89.4094 280 -130859 
7.1324 89.4094 285 -127987 
7.1324 89.4094 290 -125108 
7.1324 89.4094 295 -122222 
7.1324 89.4094 300 -119328 
7.1324 89.4094 305 -116428 
7.1324 89.4094 310 -113521 
7.1324 89.4094 315 -110607 
7.1324 89.4094 320 -107687 
7.1324 89.4094 325 -104759 
7.1324 89.4094 330 -101825 
7.1324 89.4094 335 -98883.5 
7.1324 89.4094 340 -95935.5 
7.1324 89.4094 345 -92980.9 
7.1324 89.4094 350 -90019.6 
7.1324 89.4094 355 -87051.6 
7.1324 89.4094 360 -84076.9 
7.1324 89.4094 365 -81095.6 
7.1324 89.4094 370 -78107.7 
7.1324 89.4094 375 -75113.2 
7.1324 89.4094 380 -72112.1 
7.1324 89.4094 385 -69104.5 
7.1324 89.4094 390 -66090.3 
7.1324 89.4094 395 -63069.6 
7.1324 89.4094 400 -60042.3 
7.1324 89.4094 405 -57008.6 
7.1324 89.4094 410 -53968.3 
7.1324 89.4094 415 -50921.5 
7.1324 89.4094 420 -47868.3 
7.1324 89.4094 425 -44808.5 
7.1324 89.4094 430 -41742.3 
7.1324 89.4094 435 -38669.7 
7.1324 89.4094 440 -35590.5 
7.1324 89.4094 445 -32504.9 
7.1324 89.4094 450 -29412.8 
7.1324 89.4094 455 -26314.3 
7.1324 89.4094 460 -23209.3 
7.1324 89.4094 465 -20097.9 
7.1324 89.4094 470 -16980 
7.1324 89.4094 475 -13855.6 
7.1324 89.4094 480 -10724.8 
7.1324 89.4094 485 -7587.48 
7.1324 89.4094 490 -4443.72 
7.1324 89.4094 495 -1293.48 
7.1324 89.4094 500 1863.24 
7.1324 89.4094 505 5026.45 
7.1324 89.4094 510 8196.15 
7.1324 89.4094 515 11372.3 
7.1324 89.4094 520 14555 
7.1324 89.4094 525 17744.3 
7.1324 89.4094 530 20940 
7.1324 89.4094 535 24142.3 
7.1324 89.4094 540 27351.1 
7.1324 89.4094 545 30566.5 
7.1324 89.4094 550 33788.4 
7.1324 89.4094 555 37016.9 
7.1324 89.4094 560 40252 
7.1324 89.4094 565 43493.7 
7.1324 89.4094 570 46742 
7.1324 89.4094 575 49997 
7.1324 89.4094 580 53258.5 
7.1324 89.4094 585 56526.8 
7.1324 89.4094 590 59801.7 
7.1324 89.4094 595 63083.3 
7.1324 89.4094 600 66371.6 
7.1324 89.4094 605 69666.6 
7.1324 89.4094 610 72968.3 
7.1324 89.4094 615 76276.8 
7.1324 89.4094 620 79592 
7.1324 89.4094 625 82914.1 
7.1324 89.4094 630 86242.9 
7.1324 89.4094 635 89578.6 
7.1324 89.4094 640 92921.1 
7.1324 89.4094 645 96270.4 
7.1324 89.4094 650 99626.7 
7.1324 89.4094 655 102990 
7.1324 89.4094 660 106360 
7.1324 89.4094 665 109737 
7.1324 89.4094 670 113121 
7.1324 89.4094 675 116512 
7.1324 89.4094 680 119910 
7.1324 89.4094 685 123315 
7.1324 89.4094 690 126727 
7.1324 89.4094 695 130146 
7.1324 89.4094 700 133572 
7.1324 89.4094 705 137005 
7.1324 89.4094 710 140445 
7.1324 89.4094 715 143893 
7.1324 89.4094 720 147348 
7.1324 89.4094 725 150810 
7.1324 89.4094 730 154279 
7.1324 89.4094 735 157755 
7.1324 89.4094 740 161239 
7.1324 89.4094 745 164730 
7.1324 89.4094 750 168228 
7.1324 89.4094 755 171734 
7.1324 89.4094 760 175247 
7.1324 89.4094 765 178767 
7.1324 89.4094 770 182295 
7.1324 89.4094 775 185830 
7.1324 89.4094 780 189373 
7.1324 89.4094 785 192924 
7.1324 89.4094 790 196481 
7.1324 89.4094 795 200047 
7.1324 89.4094 800 203620 
7.1324 89.4094 805 207200 
7.1324 89.4094 810 210789 
7.1324 89.4094 815 214384 
7.1324 89.4094 820 217988 
7.1324 89.4094 825 221599 
7.1324 89.4094 830 225218 
7.1324 89.4094 835 228845 
7.1324 89.4094 840 232480 
7.1324 89.4094 845 236122 
7.1324 89.4094 850 239773 
7.1324 89.4094 855 243431 
7.1324 89.4094 860 247097 
7.1324 89.4094 865 250771 
7.1324 89.4094 870 254453 
7.1324 89.4094 875 258143 
7.1324 89.4094 880 261841 
7.1324 89.4094 885 265547 
7.1324 89.4094 890 269261 
7.1324 89.4094 895 272984 
7.1324 89.4094 900 276714 
7.1324 89.4094 905 280453 
7.1324 89.4094 910 284200 
7.1324 89.4094 915 287955 
7.1324 89.4094 920 291718 
7.1324 89.4094 925 295490 
7.1324 89.4094 930 299270 
7.1324 89.4094 935 303059 
7.1324 89.4094 940 306855 
7.1324 89.4094 945 310661 
7.1324 89.4094 950 314474 
7.1324 89.4094 955 318297 
7.1324 89.4094 960 322127 
7.1324 89.4094 965 325966 
7.1324 89.4094 970 329814 
7.1324 89.4094 975 333671 
7.1324 89.4094 980 337536 
7.1324 89.4094 985 341410 
7.1324 89.4094 990 345292 
7.1324 89.4094 995 349183 
7.1324 89.4094 1000 353083 
7.1324 89.4094 1005 356992 
7.1324 89.4094 1010 360910 
7.1324 89.4094 1015 364836 
7.1324 89.4094 1020 368771 
7.1324 89.4094 1025 372716 
7.1324 89.4094 1030 376669 
7.1324 89.4094 1035 380631 
7.1324 89.4094 1040 384602 
7.1324 89.4094 1045 388583 
7.1324 89.4094 1050 392572 
7.1324 89.4094 1055 396571 
7.1324 89.4094 1060 400578 
7.1324 89.4094 1065 404595 
7.1324 89.4094 1070 408621 
7.1324 89.4094 1075 412657 
7.1324 89.4094 1080 416702 
7.1324 89.4094 1085 420756 
7.1324 89.4094 1090 424819 
7.1324 89.4094 1095 428892 
7.1324 89.4094 1100 432974 
7.1324 89.4094 1105 437065 
7.1324 89.4094 1110 441166 
7.1324 89.4094 1115 445277 
7.1324 89.4094 1120 449397 
7.1324 89.4094 1125 453527 
7.1324 89.4094 1130 457666 
7.1324 89.4094 1135 461816 
7.1324 89.4094 1140 465974 
7.1324 89.4094 1145 470143 
7.1324 89.4094 1150 474321 
7.1324 89.4094 1155 478509 
7.1324 89.4094 1160 482707 
7.1324 89.4094 1165 486915 
7.1324 89.4094 1170 491132 
7.1324 89.4094 1175 495360 
7.1324 89.4094 1180 499597 
7.1324 89.4094 1185 503845 
7.1324 89.4094 1190 508102 
7.1324 89.4094 1195 512370 
7.1324 89.4094 1200 516647 
7.1324 89.4094 1205 520935 
7.1324 89.4094 1210 525233 
7.1324 89.4094 1215 529541 
7.1324 89.4094 1220 533860 
7.1324 89.4094 1225 538189 
7.1324 89.4094 1230 542528 
7.1324 89.4094 1235 546877 
7.1324 89.4094 1240 551237 
7.1324 89.4094 1245 555607 
7.1324 89.4094 1250 559987 
7.1324 89.4094 1255 564378 
7.1324 89.4094 1260 568780 
7.1324 89.4094 1265 573192 
7.1324 89.4094 1270 577615 
7.1324 89.4094 1275 582048 
7.1324 89.4094 1280 586492 
7.1324 89.4094 1285 590947 
7.1324 89.4094 1290 595412 
7.1324 89.4094 1295 599888 
7.1324 89.4094 1300 604375 
7.1324 89.4094 1305 608873 
