intrinsic_carbon intrinsic_chromium	Temperature	PhaseEnthalpy
1.8 27 100 396496 
1.8 27 105 398865 
1.8 27 110 401240 
1.8 27 115 403624 
1.8 27 120 406015 
1.8 27 125 408413 
1.8 27 130 410819 
1.8 27 135 413231 
1.8 27 140 415651 
1.8 27 145 418077 
1.8 27 150 420511 
1.8 27 155 422951 
1.8 27 160 425397 
1.8 27 165 427851 
1.8 27 170 430311 
1.8 27 175 432777 
1.8 27 180 435250 
1.8 27 185 437730 
1.8 27 190 440215 
1.8 27 195 442707 
1.8 27 200 445205 
1.8 27 205 447709 
1.8 27 210 450220 
1.8 27 215 452736 
1.8 27 220 455258 
1.8 27 225 457786 
1.8 27 230 460321 
1.8 27 235 462861 
1.8 27 240 465407 
1.8 27 245 467958 
1.8 27 250 470516 
1.8 27 255 473079 
1.8 27 260 475648 
1.8 27 265 478222 
1.8 27 270 480802 
1.8 27 275 483388 
1.8 27 280 485979 
1.8 27 285 488576 
1.8 27 290 491179 
1.8 27 295 493786 
1.8 27 300 496400 
1.8 27 305 499019 
1.8 27 310 501643 
1.8 27 315 504272 
1.8 27 320 506908 
1.8 27 325 509548 
1.8 27 330 512194 
1.8 27 335 514845 
1.8 27 340 517501 
1.8 27 345 520163 
1.8 27 350 522830 
1.8 27 355 525502 
1.8 27 360 528180 
1.8 27 365 530863 
1.8 27 370 533551 
1.8 27 375 536244 
1.8 27 380 538943 
1.8 27 385 541647 
1.8 27 390 544356 
1.8 27 395 547070 
1.8 27 400 549789 
1.8 27 405 552514 
1.8 27 410 555244 
1.8 27 415 557978 
1.8 27 420 560719 
1.8 27 425 563464 
1.8 27 430 566214 
1.8 27 435 568970 
1.8 27 440 571730 
1.8 27 445 574496 
1.8 27 450 577267 
1.8 27 455 580043 
1.8 27 460 582825 
1.8 27 465 585611 
1.8 27 470 588403 
1.8 27 475 591199 
1.8 27 480 594001 
1.8 27 485 596808 
1.8 27 490 599620 
1.8 27 495 602438 
1.8 27 500 605260 
1.8 27 505 608087 
1.8 27 510 610920 
1.8 27 515 613758 
1.8 27 520 616601 
1.8 27 525 619449 
1.8 27 530 622302 
1.8 27 535 625161 
1.8 27 540 628024 
1.8 27 545 630893 
1.8 27 550 633767 
1.8 27 555 636646 
1.8 27 560 639530 
1.8 27 565 642420 
1.8 27 570 645314 
1.8 27 575 648214 
1.8 27 580 651119 
1.8 27 585 654029 
1.8 27 590 656945 
1.8 27 595 659865 
1.8 27 600 662791 
1.8 27 605 665722 
1.8 27 610 668659 
1.8 27 615 671600 
1.8 27 620 674547 
1.8 27 625 677499 
1.8 27 630 680457 
1.8 27 635 683419 
1.8 27 640 686387 
1.8 27 645 689361 
1.8 27 650 692339 
1.8 27 655 695323 
1.8 27 660 698312 
1.8 27 665 701307 
1.8 27 670 704307 
1.8 27 675 707312 
1.8 27 680 710323 
1.8 27 685 713339 
1.8 27 690 716360 
1.8 27 695 719387 
1.8 27 700 722419 
1.8 27 705 725457 
1.8 27 710 728500 
1.8 27 715 731548 
1.8 27 720 734602 
1.8 27 725 737662 
1.8 27 730 740727 
1.8 27 735 743797 
1.8 27 740 746873 
1.8 27 745 749954 
1.8 27 750 753041 
1.8 27 755 756134 
1.8 27 760 759232 
1.8 27 765 762336 
1.8 27 770 765445 
1.8 27 775 768560 
1.8 27 780 771680 
1.8 27 785 774807 
1.8 27 790 777938 
1.8 27 795 781076 
1.8 27 800 784219 
1.8 27 805 787368 
1.8 27 810 790522 
1.8 27 815 793683 
1.8 27 820 796849 
1.8 27 825 800021 
1.8 27 830 803198 
1.8 27 835 806381 
1.8 27 840 809571 
1.8 27 845 812766 
1.8 27 850 815967 
1.8 27 855 819173 
1.8 27 860 822386 
1.8 27 865 825604 
1.8 27 870 828829 
1.8 27 875 832059 
1.8 27 880 835295 
1.8 27 885 838538 
1.8 27 890 841786 
1.8 27 895 845040 
1.8 27 900 848301 
1.8 27 905 851567 
1.8 27 910 854840 
1.8 27 915 858118 
1.8 27 920 861403 
1.8 27 925 864694 
1.8 27 930 867990 
1.8 27 935 871294 
1.8 27 940 874603 
1.8 27 945 877919 
1.8 27 950 881240 
1.8 27 955 884568 
1.8 27 960 887903 
1.8 27 965 891243 
1.8 27 970 894590 
1.8 27 975 897944 
1.8 27 980 901303 
1.8 27 985 904670 
1.8 27 990 908042 
1.8 27 995 911421 
1.8 27 1000 914807 
1.8 27 1005 918199 
1.8 27 1010 921597 
1.8 27 1015 925002 
1.8 27 1020 928414 
1.8 27 1025 931832 
1.8 27 1030 935257 
1.8 27 1035 938688 
1.8 27 1040 942126 
1.8 27 1045 945571 
1.8 27 1050 949023 
1.8 27 1055 952481 
1.8 27 1060 955946 
1.8 27 1065 959418 
1.8 27 1070 962897 
1.8 27 1075 966383 
1.8 27 1080 969875 
1.8 27 1085 973375 
1.8 27 1090 976881 
1.8 27 1095 980395 
1.8 27 1100 983915 
1.8 27 1105 987443 
1.8 27 1110 990977 
1.8 27 1115 994519 
1.8 27 1120 998068 
1.8 27 1125 1.00162e+006 
1.8 27 1130 1.00519e+006 
1.8 27 1135 1.00876e+006 
1.8 27 1140 1.01234e+006 
1.8 27 1145 1.01592e+006 
1.8 27 1150 1.01951e+006 
1.8 27 1155 1.02311e+006 
1.8 27 1160 1.02672e+006 
1.8 27 1165 1.03033e+006 
1.8 27 1170 1.03396e+006 
1.8 27 1175 1.03759e+006 
1.8 27 1180 1.04122e+006 
1.8 27 1185 1.04487e+006 
1.8 27 1190 1.04852e+006 
1.8 27 1195 1.05218e+006 
1.8 27 1200 1.05585e+006 
1.8 27 1205 1.05952e+006 
1.8 27 1210 1.0632e+006 
1.8 27 1215 1.0669e+006 
1.8 27 1220 1.07059e+006 
1.8 27 1225 1.0743e+006 
1.8 27 1230 1.07802e+006 
1.8 27 1235 1.08174e+006 
1.8 27 1240 1.08547e+006 
1.8 27 1245 1.08921e+006 
1.8 27 1250 1.09295e+006 
1.8 27 1255 1.09671e+006 
1.8 27 1260 1.10047e+006 
1.8 27 1265 1.10424e+006 
1.8 27 1270 1.10802e+006 
1.8 27 1275 1.11181e+006 
1.8 27 1280 1.1156e+006 
1.8 27 1285 1.11941e+006 
1.8 27 1290 1.12322e+006 
1.8 27 1295 1.12704e+006 
1.8 27 1300 1.13087e+006 
1.8 27 1305 1.13471e+006 
1.8 27 1310 1.13855e+006 
1.8 27 1315 1.14241e+006 
1.8 27 1320 1.14627e+006 
1.8 27 1325 1.15015e+006 
1.8 27 1330 1.15403e+006 
1.8 27 1335 1.15792e+006 
1.8 27 1340 1.16182e+006 
1.8 27 1345 1.16572e+006 
1.8 27 1350 1.16964e+006 
1.8 27 1355 1.17357e+006 
1.8 27 1360 1.1775e+006 
1.8 27 1365 1.18144e+006 
1.8 27 1370 1.1854e+006 
1.8 27 1375 1.18936e+006 
1.8 27 1380 1.19333e+006 
1.8 27 1385 1.19731e+006 
1.8 27 1390 1.2013e+006 
1.8 27 1395 1.2053e+006 
1.8 27 1400 1.20931e+006 
1.8 27 1405 1.21333e+006 
1.8 27 1410 1.21736e+006 
1.8 27 1415 1.2214e+006 
1.8 27 1420 1.22544e+006 
1.8 27 1425 1.2295e+006 
1.8 27 1430 1.23357e+006 
1.8 27 1435 1.23764e+006 
1.8 27 1440 1.24173e+006 
1.8 27 1445 1.24583e+006 
1.8 27 1450 1.24993e+006 
1.8 27 1455 1.25405e+006 
1.8 27 1460 1.25818e+006 
1.8 27 1465 1.26232e+006 
1.8 27 1470 1.26646e+006 
1.8 27 1475 1.27062e+006 
1.8 27 1480 1.27479e+006 
1.8 27 1485 1.27897e+006 
1.8 27 1490 1.28316e+006 
1.8 27 1495 1.28736e+006 
1.8 27 1500 1.29157e+006 
1.8 27 1505 1.29579e+006 
1.8 27 1510 1.30002e+006 
1.8 27 1515 1.30426e+006 
1.8 27 1520 1.30852e+006 
1.8 27 1525 1.31278e+006 
1.8 27 1530 1.31706e+006 
1.8 27 1535 1.32135e+006 
1.8 27 1540 1.32564e+006 
1.8 27 1545 1.32994e+006 
1.8 27 1550 1.33425e+006 
1.8 27 1555 1.33855e+006 
1.8 27 1560 1.34286e+006 
1.8 27 1565 1.34717e+006 
1.8 27 1570 1.35148e+006 
1.8 27 1575 1.3558e+006 
1.8 27 1580 1.36011e+006 
1.8 27 1585 1.36443e+006 
1.8 27 1590 1.36875e+006 
1.8 27 1595 1.37308e+006 
1.8 27 1600 1.3774e+006 
1.8 27.8826 100 395938 
1.8 27.8826 105 398307 
1.8 27.8826 110 400684 
1.8 27.8826 115 403068 
1.8 27.8826 120 405459 
1.8 27.8826 125 407858 
1.8 27.8826 130 410264 
1.8 27.8826 135 412677 
1.8 27.8826 140 415098 
1.8 27.8826 145 417525 
1.8 27.8826 150 419959 
1.8 27.8826 155 422399 
1.8 27.8826 160 424847 
1.8 27.8826 165 427301 
1.8 27.8826 170 429762 
1.8 27.8826 175 432229 
1.8 27.8826 180 434702 
