avg_carbon	avg_chromium	Temperature	PhaseFraction	PhaseComposition_carbon PhaseComposition_chromium
1.8 27 100 0.748232 6.47523e-011 4.8428 
1.8 27 105 0.748232 6.47523e-011 4.8429 
1.8 27 110 0.748232 6.47524e-011 4.84302 
1.8 27 115 0.748232 6.47524e-011 4.84317 
1.8 27 120 0.748232 6.47524e-011 4.84334 
1.8 27 125 0.748232 6.47524e-011 4.84355 
1.8 27 130 0.748232 6.47524e-011 4.84379 
1.8 27 135 0.748231 6.47524e-011 4.84407 
1.8 27 140 0.748231 6.47524e-011 4.84441 
1.8 27 145 0.748231 6.47524e-011 4.8448 
1.8 27 150 0.748231 6.47525e-011 4.84525 
1.8 27 155 0.74823 6.47525e-011 4.84578 
1.8 27 160 0.74823 6.47525e-011 4.84639 
1.8 27 165 0.74823 6.47525e-011 4.84709 
1.8 27 170 0.748229 6.47526e-011 4.84789 
1.8 27 175 0.748229 6.47526e-011 4.84881 
1.8 27 180 0.748228 6.47527e-011 4.84985 
1.8 27 185 0.748228 6.47527e-011 4.85104 
1.8 27 190 0.748227 6.47528e-011 4.85239 
1.8 27 195 0.748226 6.47529e-011 4.85392 
1.8 27 200 0.748225 6.4753e-011 4.85564 
1.8 27 205 0.748224 6.4753e-011 4.85757 
1.8 27 210 0.748223 6.47532e-011 4.85973 
1.8 27 215 0.748221 6.47533e-011 4.86215 
1.8 27 220 0.74822 6.47534e-011 4.86485 
1.8 27 225 0.748218 6.47535e-011 4.86785 
1.8 27 230 0.748216 6.47537e-011 4.87119 
1.8 27 235 0.748214 6.47539e-011 4.87488 
1.8 27 240 0.748212 6.47541e-011 4.87896 
1.8 27 245 0.74821 6.47543e-011 4.88346 
1.8 27 250 0.748207 6.47545e-011 4.88841 
1.8 27 255 0.748204 6.47548e-011 4.89384 
1.8 27 260 0.748201 6.47551e-011 4.8998 
1.8 27 265 0.748197 6.47554e-011 4.90631 
1.8 27 270 0.748193 6.47557e-011 4.91342 
1.8 27 275 0.748189 6.47561e-011 4.92116 
1.8 27 280 0.748184 6.47565e-011 4.92958 
1.8 27 285 0.748179 6.47569e-011 4.93871 
1.8 27 290 0.748174 7.64243e-011 4.9486 
