avg_carbon	avg_chromium	Temperature	PhaseFraction	PhaseComposition_carbon PhaseComposition_chromium
1.8 27 100 0.251768 7.14944 92.8492 
1.8 27 105 0.251768 7.14944 92.8489 
1.8 27 110 0.251768 7.14944 92.8485 
1.8 27 115 0.251768 7.14944 92.8481 
1.8 27 120 0.251768 7.14943 92.8475 
1.8 27 125 0.251768 7.14943 92.8469 
1.8 27 130 0.251768 7.14943 92.8461 
1.8 27 135 0.251769 7.14942 92.8452 
1.8 27 140 0.251769 7.14942 92.8442 
1.8 27 145 0.251769 7.14941 92.8429 
1.8 27 150 0.251769 7.1494 92.8415 
1.8 27 155 0.25177 7.14939 92.8398 
1.8 27 160 0.25177 7.14938 92.8379 
1.8 27 165 0.25177 7.14937 92.8357 
1.8 27 170 0.251771 7.14936 92.8331 
1.8 27 175 0.251771 7.14935 92.8302 
1.8 27 180 0.251772 7.14933 92.8269 
1.8 27 185 0.251772 7.14931 92.8231 
1.8 27 190 0.251773 7.14929 92.8189 
1.8 27 195 0.251774 7.14927 92.8141 
1.8 27 200 0.251775 7.14924 92.8086 
1.8 27 205 0.251776 7.14921 92.8025 
1.8 27 210 0.251777 7.14918 92.7957 
1.8 27 215 0.251779 7.14914 92.788 
1.8 27 220 0.25178 7.1491 92.7795 
1.8 27 225 0.251782 7.14905 92.77 
1.8 27 230 0.251784 7.149 92.7594 
1.8 27 235 0.251786 7.14894 92.7477 
1.8 27 240 0.251788 7.14887 92.7348 
1.8 27 245 0.25179 7.1488 92.7206 
1.8 27 250 0.251793 7.14873 92.7049 
1.8 27 255 0.251796 7.14864 92.6877 
1.8 27 260 0.251799 7.14855 92.6689 
1.8 27 265 0.251803 7.14845 92.6483 
1.8 27 270 0.251807 7.14833 92.6258 
1.8 27 275 0.251811 7.14821 92.6013 
1.8 27 280 0.251816 7.14808 92.5747 
1.8 27 285 0.251821 7.14794 92.5458 
1.8 27 290 0.251826 7.14778 92.5145 
1.8 27 295 0.251832 7.14761 92.4807 
1.8 27 300 0.251839 7.14743 92.4441 
1.8 27 305 0.251846 7.14724 92.4048 
1.8 27 310 0.251853 7.14703 92.3625 
1.8 27 315 0.251861 7.1468 92.3172 
1.8 27 320 0.251869 7.14656 92.2685 
1.8 27 325 0.251878 7.14631 92.2165 
1.8 27 330 0.251888 7.14603 92.1609 
1.8 27 335 0.251898 7.14574 92.1017 
1.8 27 340 0.251909 7.14542 92.0386 
1.8 27 345 0.251921 7.14509 91.9715 
1.8 27 350 0.251934 7.14474 91.9004 
1.8 27 355 0.251947 7.14437 91.825 
1.8 27 360 0.251961 7.14397 91.7453 
1.8 27 365 0.251975 7.14355 91.6612 
1.8 27 370 0.251991 7.14311 91.5724 
1.8 27 375 0.252007 7.14265 91.4789 
1.8 27 380 0.252024 7.14216 91.3806 
1.8 27 385 0.252042 7.14165 91.2775 
1.8 27 390 0.249668 7.14118 91.1823 
1.8 27 395 0.23987 7.14089 91.1232 
1.8 27 400 0.229543 7.14059 91.0631 
1.8 27 405 0.218658 7.14029 91.0022 
1.8 27 410 0.207178 7.13998 90.9405 
1.8 27 415 0.195068 7.13967 90.878 
1.8 27 420 0.182288 7.13936 90.8147 
1.8 27 425 0.168793 7.13904 90.7506 
1.8 27 430 0.154538 7.13872 90.6859 
