avg_carbon	avg_chromium	Temperature	PhaseFraction	PhaseComposition_carbon PhaseComposition_chromium
1.8 27 100 0 0.000239772 98.9265 
1.8 27 105 0 0.000319251 98.746 
1.8 27 110 0 0.000420852 98.5402 
1.8 27 115 0 0.000549433 98.3058 
1.8 27 120 0 0.000710509 98.0387 
1.8 27 125 0 0.000910189 97.7346 
1.8 27 130 0 0.00115503 97.3881 
1.8 27 135 0 0.00145178 96.9929 
1.8 27 140 0 0.00180691 96.5413 
1.8 27 145 0 0.00222591 96.0241 
1.8 27 150 0 0.00271224 95.4296 
1.8 27 155 0 0.00326566 94.7431 
1.8 27 160 0 0.00387985 93.945 
1.8 27 165 0 0.00453885 93.0094 
1.8 27 170 0 0.00521162 91.8992 
1.8 27 175 0 0.00584375 90.5598 
1.8 27 180 0 0.00634397 88.9035 
1.8 27 185 0 0.00656027 86.774 
1.8 27 190 0 0.00622995 83.8391 
1.8 27 195 0 0.00482473 79.0876 
1.8 27 200 0 5.7302e-005 47.2736 
1.8 27 205 0 1.40389e-005 39.0236 
1.8 27 210 0 7.67298e-006 35.0115 
1.8 27 215 0 5.37363e-006 32.2216 
1.8 27 220 0 4.29671e-006 30.0626 
1.8 27 225 0 3.73895e-006 28.2984 
1.8 27 230 0 3.45202e-006 26.8078 
1.8 27 235 0 3.32983e-006 25.5195 
1.8 27 240 0 3.3219e-006 24.3876 
1.8 27 245 0 3.4031e-006 23.3805 
1.8 27 250 0 3.56144e-006 22.4756 
1.8 27 255 0 3.79253e-006 21.6561 
1.8 27 260 0 4.09687e-006 20.909 
1.8 27 265 0 4.47857e-006 20.2243 
1.8 27 270 0 4.94468e-006 19.5939 
1.8 27 275 0 5.50487e-006 19.0112 
1.8 27 280 0 6.17143e-006 18.4707 
1.8 27 285 0 6.95928e-006 17.968 
1.8 27 290 0 7.88626e-006 17.4992 
1.8 27 295 0 8.97328e-006 17.061 
1.8 27 300 0 1.02448e-005 16.6507 
1.8 27 305 0 1.17289e-005 16.2659 
1.8 27 310 0 1.34584e-005 15.9044 
1.8 27 315 0 1.54705e-005 15.5645 
1.8 27 320 0 1.78081e-005 15.2444 
1.8 27 325 0 2.05199e-005 14.9428 
1.8 27 330 0 2.36614e-005 14.6584 
1.8 27 335 0 2.72954e-005 14.39 
1.8 27 340 0 3.14932e-005 14.1366 
1.8 27 345 0 3.63348e-005 13.8973 
1.8 27 350 0 4.19103e-005 13.6711 
1.8 27 355 0 4.83207e-005 13.4575 
1.8 27 360 0 5.56789e-005 13.2556 
1.8 27 365 0 6.41107e-005 13.0648 
1.8 27 370 0 7.37559e-005 12.8845 
1.8 27 375 0 8.47696e-005 12.7142 
1.8 27 380 0 9.7323e-005 12.5533 
1.8 27 385 0 0.000111605 12.4015 
1.8 27 390 0 0.000127533 12.353 
1.8 27 395 0 0.000144514 12.5901 
1.8 27 400 0 0.000163454 12.8288 
1.8 27 405 0 0.000184542 13.0693 
1.8 27 410 0 0.000207985 13.3115 
1.8 27 415 0 0.000234003 13.5554 
1.8 27 420 0 0.000262837 13.8013 
1.8 27 425 0 0.000294742 14.049 
1.8 27 430 0 0.000329997 14.2986 
1.8 27 435 0 0.000368899 14.5503 
