avg_carbon	avg_chromium	Temperature	PhaseFraction	PhaseComposition_carbon PhaseComposition_chromium
1.8 27 100 0 4.21053e-010 55.4251 
1.8 27 105 0 6.89347e-010 54.991 
1.8 27 110 0 1.11329e-009 54.558 
1.8 27 115 0 1.77451e-009 54.1262 
1.8 27 120 0 2.79303e-009 53.6955 
1.8 27 125 0 4.34314e-009 53.2659 
1.8 27 130 0 6.67525e-009 52.8375 
1.8 27 135 0 1.0145e-008 52.4103 
1.8 27 140 0 1.52526e-008 51.9842 
1.8 27 145 0 2.26939e-008 51.5594 
1.8 27 150 0 3.34283e-008 51.1358 
1.8 27 155 0 4.87654e-008 50.7135 
1.8 27 160 0 7.04778e-008 50.2925 
1.8 27 165 0 1.00943e-007 49.8728 
1.8 27 170 0 1.43323e-007 49.4544 
1.8 27 175 0 2.01791e-007 49.0375 
1.8 27 180 0 2.81809e-007 48.622 
1.8 27 185 0 3.90474e-007 48.208 
1.8 27 190 0 5.36938e-007 47.7954 
1.8 27 195 0 7.32921e-007 47.3845 
1.8 27 200 0 9.93324e-007 46.9751 
1.8 27 205 0 1.33697e-006 46.5674 
1.8 27 210 0 1.78749e-006 46.1615 
1.8 27 215 0 2.37434e-006 45.7573 
1.8 27 220 0 3.13402e-006 45.3549 
1.8 27 225 0 4.11151e-006 44.9545 
1.8 27 230 0 5.36188e-006 44.556 
1.8 27 235 0 6.9522e-006 44.1596 
1.8 27 240 0 8.96365e-006 43.7653 
1.8 27 245 0 1.1494e-005 43.3733 
1.8 27 250 0 1.46604e-005 42.9836 
1.8 27 255 0 1.86022e-005 42.5962 
1.8 27 260 0 2.34849e-005 42.2114 
1.8 27 265 0 2.95032e-005 41.8291 
1.8 27 270 0 3.6886e-005 41.4495 
1.8 27 275 0 4.58999e-005 41.0728 
1.8 27 280 0 5.68551e-005 40.6989 
1.8 27 285 0 7.01097e-005 40.328 
1.8 27 290 0 8.60759e-005 39.9603 
1.8 27 295 0 0.000105225 39.5958 
1.8 27 300 0 0.000128096 39.2347 
1.8 27 305 0 0.000155296 38.8771 
1.8 27 310 0 0.000187515 38.5231 
1.8 27 315 0 0.000225525 38.1728 
1.8 27 320 0 0.00027019 37.8264 
1.8 27 325 0 0.000322473 37.4839 
1.8 27 330 0 0.000383439 37.1455 
1.8 27 335 0 0.000454264 36.8113 
1.8 27 340 0 0.00053624 36.4814 
1.8 27 345 0 0.000630779 36.1559 
1.8 27 350 0 0.000739418 35.835 
1.8 27 355 0 0.000863823 35.5187 
1.8 27 360 0 0.00100579 35.2071 
1.8 27 365 0 0.00116725 34.9003 
1.8 27 370 0 0.00135028 34.5985 
1.8 27 375 0 0.00155707 34.3016 
1.8 27 380 0 0.00178996 34.0097 
1.8 27 385 0 0.00205143 33.7229 
1.8 27 390 0 0.00229772 33.5311 
1.8 27 395 0 0.00242157 33.6088 
1.8 27 400 0 0.00255036 33.688 
