DensityP1,Vitesse0,Vitesse1,Vitesse:2,FractionLiq_c,FractionSolide_c,Concentration,ConcentrationSolide,ConcentrationLiquide,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
2800,0,0,0,0,1,7.49494,7.49494,0,1,0,0.0005,0,0,0,0
2800,-5.73327e-017,1.58861e-016,0,1.86245e-013,1,7.05809,7.05809,0,1,0.00014,0.0005,0.00014,0,1,0
2800,-9.68458e-018,2.67151e-016,0,0,1,7.15409,7.15409,0,1,0.00028,0.0005,0.00028,0,2,0
2800,-4.98167e-017,4.44683e-016,0,1.38402e-012,1,7.17302,7.17302,3.68229,1,0.00042,0.0005,0.00042,0,3,0
2800,-7.74502e-017,5.96318e-016,0,1.94708e-012,1,7.18335,7.18335,6.34352,1,0.00056,0.0005,0.00056,0,4,0
2800,-5.05617e-017,7.71679e-016,0,9.23636e-013,1,7.18992,7.18992,3.38589,1,0.0007,0.0005,0.0007,0,5,0
2800,-4.27869e-017,1.01445e-015,0,1.83497e-012,1,7.18307,7.18307,5.53996,1,0.00084,0.0005,0.00084,0,6,0
2800,7.75578e-017,9.91666e-016,0,3.19588e-013,1,7.20603,7.20603,1.274,1,0.00098,0.0005,0.00098,0,7,0
2800,5.39627e-017,1.34419e-015,0,2.17409e-012,1,7.15669,7.15669,4.24263,1,0.00112,0.0005,0.00112,0,8,0
2800,-1.58911e-017,1.75211e-015,0,1.37557e-012,1,7.1882,7.1882,3.75962,1,0.00126,0.0005,0.00126,0,9,0
2800,-5.10276e-017,1.70004e-015,0,7.73901e-017,1,7.15683,7.15683,0,1,0.0014,0.0005,0.0014,0,10,0
2800,-3.68195e-017,1.91094e-015,0,8.9609e-013,1,7.15794,7.15794,1.93113,1,0.00154,0.0005,0.00154,0,11,0
2800,1.93993e-018,2.10169e-015,0,1.12164e-012,1,7.12163,7.12163,2.36633,1,0.00168,0.0005,0.00168,0,12,0
2800,-1.59948e-016,2.22449e-015,0,1.17633e-012,1,7.17156,7.17156,4.76884,1,0.00182,0.0005,0.00182,0,13,0
2800,-9.54455e-017,2.55929e-015,0,1.65003e-012,1,7.16095,7.16095,6.74089,1,0.00196,0.0005,0.00196,0,14,0
2800,2.02459e-016,2.96513e-015,0,6.05537e-012,1,7.1372,7.1372,7.1372,1,0.0021,0.0005,0.0021,0,15,0
2800,1.83746e-016,3.2448e-015,0,2.75989e-012,1,7.15004,7.15004,2.23423,1,0.00224,0.0005,0.00224,0,16,0
2800,2.65488e-017,3.41871e-015,0,2.42096e-012,1,7.12146,7.12146,5.29937,1,0.00238,0.0005,0.00238,0,17,0
2800,-2.84404e-017,3.62125e-015,0,2.77646e-013,1,7.14038,7.14038,1.12687,1,0.00252,0.0005,0.00252,0,18,0
2800,-2.27833e-016,3.73828e-015,0,9.29065e-017,1,7.13432,7.13432,0,1,0.00266,0.0005,0.00266,0,19,0
2800,-1.31582e-016,4.12698e-015,0,3.85601e-013,1,7.14064,7.14064,0,1,0.0028,0.0005,0.0028,0,20,0
2800,-1.24824e-017,4.16358e-015,0,1.33381e-013,1,7.15665,7.15665,0.0529711,1,0.00294,0.0005,0.00294,0,21,0
2800,2.33714e-016,4.5651e-015,0,1.05314e-011,1,7.10755,7.10755,4.18249,1,0.00308,0.0005,0.00308,0,22,0
2800,2.01943e-016,4.70133e-015,0,1.91648e-012,1,7.1079,7.1079,1.52245,1,0.00322,0.0005,0.00322,0,23,0
2800,1.81822e-016,4.91789e-015,0,1.51108e-016,1,7.0977,7.0977,0,1,0.00336,0.0005,0.00336,0,24,0
2800,9.47488e-017,4.84835e-015,0,2.48188e-012,1,7.13123,7.13123,1.49071,1,0.0035,0.0005,0.0035,0,25,0
2800,2.57438e-017,5.26646e-015,0,6.42076e-017,1,7.12144,7.12144,0,1,0.00364,0.0005,0.00364,0,26,0
2800,-1.48162e-017,5.63076e-015,0,5.62191e-014,1,7.09763,7.09763,0.151049,1,0.00378,0.0005,0.00378,0,27,0
2800,-9.94733e-017,5.33988e-015,0,9.97465e-013,1,7.11465,7.11465,2.68498,1,0.00392,0.0005,0.00392,0,28,0
