CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
0	0	0	0	0	0	4.00001e-05	9.99999e-05	9.99999e-05	0	5.20002e-05	0.26	0	0.26	0	0	0	0	0.0181895	0.0182	302998	121200	424198	
1	100	1	43.0202	-0.650283	0	4.00041e-05	9.99959e-05	9.99959e-05	0	5.20054e-05	0.259989	-0.00400371	0.259989	0	0	0.000105811	0	0.0181895	0.0182	302646	121212	423858	
1	200	2	75.8175	-0.708645	0	4.00035e-05	9.99965e-05	9.99965e-05	0	5.20045e-05	0.259991	-0.00333758	0.259991	0	0	0.000106369	0	0.0181895	0.0182	302315	121210	423525	
1	300	3	106.508	-0.700777	0	4.00031e-05	9.99969e-05	9.99969e-05	0	5.20041e-05	0.259992	-0.00300113	0.259992	0	0	0.000105916	0	0.0181895	0.0182	301988	121209	423197	
1	400	4	136.415	-0.7081	0	4.00029e-05	9.99971e-05	9.99971e-05	0	5.20038e-05	0.259992	-0.00280083	0.259992	0	0	0.000105705	0	0.0181895	0.0182	301664	121208	422873	
1	500	5	165.188	-0.725788	0	4.00028e-05	9.99972e-05	9.99972e-05	0	5.20036e-05	0.259993	-0.00266193	0.259993	0	0	0.000106	0	0.0181895	0.0182	301344	121208	422552	
1	600	6	193.611	-0.726341	0	4.00027e-05	9.99973e-05	9.99973e-05	0	5.20035e-05	0.259993	-0.00256071	0.259993	0	0	0.000105905	0	0.0181895	0.0182	301026	121208	422234	
1	700	7	221.503	-0.724981	0	4.00026e-05	9.99974e-05	9.99974e-05	0	5.20034e-05	0.259993	-0.00248558	0.259993	0	0	0.000105848	0	0.0181895	0.0182	300711	121207	421918	
1	800	8	249.4	-0.722985	0	4.00026e-05	9.99974e-05	9.99974e-05	0	5.20033e-05	0.259993	-0.00242834	0.259993	0	0	0.000105803	0	0.0181895	0.0182	300397	121207	421605	
1	900	9	277.005	-0.724704	0	4.00025e-05	9.99975e-05	9.99975e-05	0	5.20033e-05	0.259993	-0.00238349	0.259993	0	0	0.000105769	0	0.0181895	0.0182	300086	121207	421294	
1	1000	10	304.294	-0.72096	0	4.00025e-05	9.99975e-05	9.99975e-05	0	5.20032e-05	0.259994	-0.00234694	0.259994	0	0	0.000105661	0	0.0181895	0.0182	299777	121207	420985	
1	1100	11	331.191	-0.721889	0	4.00025e-05	9.99975e-05	9.99975e-05	0	5.20032e-05	0.259994	-0.00231835	0.259994	0	0	0.000105628	0	0.0181895	0.0182	299470	121207	420677	
1	1200	12	358.469	-0.722871	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20032e-05	0.259994	-0.00229643	0.259994	0	0	0.000105616	0	0.0181895	0.0182	299165	121207	420372	
1	1300	13	385.212	-0.720085	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20031e-05	0.259994	-0.00227908	0.259994	0	0	0.000105606	0	0.0181895	0.0182	298861	121207	420068	
1	1400	14	412.051	-0.721467	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20031e-05	0.259994	-0.00226501	0.259994	0	0	0.000105599	0	0.0181895	0.0182	298559	121207	419766	
1	1500	15	438.4	-0.720447	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20031e-05	0.259994	-0.00225337	0.259994	0	0	0.000105594	0	0.0181895	0.0182	298259	121207	419466	
1	1600	16	464.848	-0.720333	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20031e-05	0.259994	-0.00224349	0.259994	0	0	0.000105588	0	0.0181895	0.0182	297960	121207	419166	
1	1700	17	491.342	-0.720274	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20031e-05	0.259994	-0.00223496	0.259994	0	0	0.000105585	0	0.0181895	0.0182	297662	121207	418869	
1	1800	18	517.623	-0.719974	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20031e-05	0.259994	-0.00222727	0.259994	0	0	0.000105582	0	0.0181895	0.0182	297366	121207	418573	
1	1900	19	543.883	-0.720378	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20031e-05	0.259994	-0.00222046	0.259994	0	0	0.000105579	0	0.0181895	0.0182	297071	121207	418278	
1	2000	20	569.79	-0.721239	0	4.00024e-05	9.99976e-05	9.99976e-05	0	5.20031e-05	0.259994	-0.00221472	0.259994	0	0	0.000105576	0	0.0181895	0.0182	296777	121206	417984	
1	2100	21	595.626	-0.720482	0	4.00023e-05	9.99977e-05	9.99977e-05	0	5.20031e-05	0.259994	-0.00221008	0.259994	0	0	0.000105574	0	0.0181895	0.0182	296485	121206	417691	
1	2200	22	621.708	-0.720655	0	4.00023e-05	9.99977e-05	9.99977e-05	0	5.2003e-05	0.259994	-0.00220607	0.259994	0	0	0.000105572	0	0.0181895	0.0182	296194	121206	417400	
1	2300	23	647.442	-0.72067	0	4.00023e-05	9.99977e-05	9.99977e-05	0	5.2003e-05	0.259994	-0.00220271	0.259994	0	0	0.00010557	0	0.0181895	0.0182	295904	121206	417110	
1	2400	24	673.723	-0.720431	0	4.00023e-05	9.99977e-05	9.99977e-05	0	5.2003e-05	0.259994	-0.00219971	0.259994	0	0	0.000105569	0	0.0181895	0.0182	295615	121206	416821	
1	2500	25	699.601	-0.720236	0	4.00023e-05	9.99977e-05	9.99977e-05	0	5.2003e-05	0.259994	-0.00219698	0.259994	0	0	0.000105568	0	0.0181895	0.0182	295327	121206	416533	
