d_interface_regular,Concentration,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0928209,7.49494,1,0,0.0005,0,0,0,0
0.0926809,7.05809,1,0.00014,0.0005,0.00014,0,1,0
0.0925409,7.15409,1,0.00028,0.0005,0.00028,0,2,0
0.0924009,7.17302,1,0.00042,0.0005,0.00042,0,3,0
0.0922609,7.18335,1,0.00056,0.0005,0.00056,0,4,0
0.0921209,7.18992,1,0.0007,0.0005,0.0007,0,5,0
0.0919809,7.18308,1,0.00084,0.0005,0.00084,0,6,0
0.0918409,7.20603,1,0.00098,0.0005,0.00098,0,7,1
0.0917009,7.1567,1,0.00112,0.0005,0.00112,0,8,0
0.0915609,7.18821,1,0.00126,0.0005,0.00126,0,9,0
0.0914209,7.15677,1,0.0014,0.0005,0.0014,0,10,0
0.0912809,7.15751,1,0.00154,0.0005,0.00154,0,11,0
0.0911409,7.12314,1,0.00168,0.0005,0.00168,0,12,0
0.0910009,7.17086,1,0.00182,0.0005,0.00182,0,13,0
0.0908609,7.16107,1,0.00196,0.0005,0.00196,0,14,0
0.0907209,7.13718,1,0.0021,0.0005,0.0021,0,15,0
0.0905809,7.15008,1,0.00224,0.0005,0.00224,0,16,0
0.0904409,7.12149,1,0.00238,0.0005,0.00238,0,17,0
0.0903009,7.14036,1,0.00252,0.0005,0.00252,0,18,0
0.0901609,7.13433,1,0.00266,0.0005,0.00266,0,19,0
0.0900209,7.14065,1,0.0028,0.0005,0.0028,0,20,0
0.0898809,7.15664,1,0.00294,0.0005,0.00294,0,21,0
0.0897409,7.10758,1,0.00308,0.0005,0.00308,0,22,0
0.089601,7.1079,1,0.00322,0.0005,0.00322,0,23,0
0.0894609,7.09768,1,0.00336,0.0005,0.00336,0,24,0
0.0893209,7.13118,1,0.0035,0.0005,0.0035,0,25,0
0.0891809,7.12134,1,0.00364,0.0005,0.00364,0,26,0
0.0890409,7.09754,1,0.00378,0.0005,0.00378,0,27,0
0.0889009,7.11454,1,0.00392,0.0005,0.00392,0,28,0
0.0887609,7.12416,1,0.00406,0.0005,0.00406,0,29,0
0.088621,7.08798,1,0.0042,0.0005,0.0042,0,30,0
0.0884809,7.09039,1,0.00434,0.0005,0.00434,0,31,0
0.0883409,7.10008,1,0.00448,0.0005,0.00448,0,32,0
0.088201,7.08724,1,0.00462,0.0005,0.00462,0,33,0
0.0880609,7.09638,1,0.00476,0.0005,0.00476,0,34,0
0.0879209,7.09207,1,0.0049,0.0005,0.0049,0,35,0
0.0877809,7.07978,1,0.00504,0.0005,0.00504,0,36,0
0.087641,7.09061,1,0.00518,0.0005,0.00518,0,37,0
0.087501,7.08664,1,0.00532,0.0005,0.00532,0,38,0
0.0873609,7.04094,1,0.00546,0.0005,0.00546,0,39,0
0.087221,7.10332,1,0.0056,0.0005,0.0056,0,40,0
0.087081,7.02243,1,0.00574,0.0005,0.00574,0,41,0
0.086941,7.08598,1,0.00588,0.0005,0.00588,0,42,0
0.086801,7.08918,1,0.00602,0.0005,0.00602,0,43,0
0.086661,7.05996,1,0.00616,0.0005,0.00616,0,44,0
0.086521,7.06252,1,0.0063,0.0005,0.0063,0,45,0
0.086381,7.07042,1,0.00644,0.0005,0.00644,0,46,0
0.086241,7.05655,1,0.00658,0.0005,0.00658,0,47,0
0.086101,7.04871,1,0.00672,0.0005,0.00672,0,48,0
0.085961,7.07264,1,0.00686,0.0005,0.00686,0,49,0
0.0858209,7.04869,1,0.007,0.0005,0.007,0,50,0
0.085681,7.04934,1,0.00714,0.0005,0.00714,0,51,0
0.085541,7.02012,1,0.00728,0.0005,0.00728,0,52,0
0.085401,7.06559,1,0.00742,0.0005,0.00742,0,53,0
0.085261,7.04641,1,0.00756,0.0005,0.00756,0,54,0
0.085121,7.01749,1,0.0077,0.0005,0.0077,0,55,0
0.084981,7.03363,1,0.00784,0.0005,0.00784,0,56,0
0.084841,7.05916,1,0.00798,0.0005,0.00798,0,57,0
0.084701,6.9911,1,0.00812,0.0005,0.00812,0,58,0
0.084561,7.04943,1,0.00826,0.0005,0.00826,0,59,0
0.084421,7.02446,1,0.0084,0.0005,0.0084,0,60,0
0.0842811,7.02076,1,0.00854,0.0005,0.00854,0,61,0
0.084141,7.04294,1,0.00868,0.0005,0.00868,0,62,0
0.084001,7.03633,1,0.00882,0.0005,0.00882,0,63,0
0.083861,7.00909,1,0.00896,0.0005,0.00896,0,64,0
0.083721,7.0073,1,0.0091,0.0005,0.0091,0,65,0
0.083581,7.01696,1,0.00924,0.0005,0.00924,0,66,0
0.083441,7.02882,1,0.00938,0.0005,0.00938,0,67,0
0.0833011,7.00876,1,0.00952,0.0005,0.00952,0,68,0
0.0831611,6.97971,1,0.00966,0.0005,0.00966,0,69,0
0.0830211,6.96845,1,0.0098,0.0005,0.0098,0,70,0
0.082881,7.02148,1,0.00994,0.0005,0.00994,0,71,0
0.082741,7.01608,1,0.01008,0.0005,0.01008,0,72,0
0.082601,7.0169,1,0.01022,0.0005,0.01022,0,73,0
0.082461,7.03222,1,0.01036,0.0005,0.01036,0,74,0
0.082321,7.0083,1,0.0105,0.0005,0.0105,0,75,0
0.0821811,6.96495,1,0.01064,0.0005,0.01064,0,76,0
0.0820411,7.02402,1,0.01078,0.0005,0.01078,0,77,0
0.081901,7.00798,1,0.01092,0.0005,0.01092,0,78,0
0.081761,6.95738,1,0.01106,0.0005,0.01106,0,79,0
0.0816211,7.01172,1,0.0112,0.0005,0.0112,0,80,0
0.081481,6.99946,1,0.01134,0.0005,0.01134,0,81,0
0.0813411,7.02172,1,0.01148,0.0005,0.01148,0,82,0
0.081201,6.98688,1,0.01162,0.0005,0.01162,0,83,0
0.0810611,6.99226,1,0.01176,0.0005,0.01176,0,84,0
0.0809211,6.98393,1,0.0119,0.0005,0.0119,0,85,0
0.0807811,6.98509,1,0.01204,0.0005,0.01204,0,86,0
0.0806411,6.97741,1,0.01218,0.0005,0.01218,0,87,0
0.0805011,6.95611,1,0.01232,0.0005,0.01232,0,88,0
0.0803611,6.99661,1,0.01246,0.0005,0.01246,0,89,0
0.0802211,6.9846,1,0.0126,0.0005,0.0126,0,90,0
0.0800811,6.98142,1,0.01274,0.0005,0.01274,0,91,0
0.0799411,6.95916,1,0.01288,0.0005,0.01288,0,92,0
0.0798011,6.9787,1,0.01302,0.0005,0.01302,0,93,0
0.0796611,6.9839,1,0.01316,0.0005,0.01316,0,94,0
0.0795212,7.00182,1,0.0133,0.0005,0.0133,0,95,0
0.0793812,6.96793,1,0.01344,0.0005,0.01344,0,96,0
0.0792411,6.95401,1,0.01358,0.0005,0.01358,0,97,0
0.0791011,6.96805,1,0.01372,0.0005,0.01372,0,98,0
0.0789611,6.99177,1,0.01386,0.0005,0.01386,0,99,0
0.0788211,6.96827,1,0.014,0.0005,0.014,0,100,0
0.0786811,6.94818,1,0.01414,0.0005,0.01414,0,101,0
0.0785412,6.99069,1,0.01428,0.0005,0.01428,0,102,0
0.0784011,6.967,1,0.01442,0.0005,0.01442,0,103,0
0.0782611,6.9748,1,0.01456,0.0005,0.01456,0,104,0
0.0781211,6.96977,1,0.0147,0.0005,0.0147,0,105,0
0.0779811,6.97584,1,0.01484,0.0005,0.01484,0,106,0
0.0778411,6.96437,1,0.01498,0.0005,0.01498,0,107,0
