CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
0	0	0	0	0	0	4.00001e-05	9.99999e-05	9.99999e-05	0	0.104	0.26	0	0.26	0	0	0	0	0.0181895	0.0182	302998	121200	424198	
1	10	1	43.745	0.0105109	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000883891	0.259997	0	0	1.05389e-07	0	0.0181895	0.0182	302656	121203	423858	
1	20	2	53.4864	0.00137522	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000874035	0.259997	0	0	2.84957e-08	0	0.0181895	0.0182	302323	121203	423525	
1	30	3	62.3288	-0.00248208	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000853216	0.259997	0	0	2.43223e-08	0	0.0181895	0.0182	301995	121203	423198	
1	40	4	71.5482	0.00247533	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000872163	0.259997	0	0	2.47215e-08	0	0.0181895	0.0182	301671	121203	422873	
1	50	5	80.913	-0.00233064	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000853799	0.259997	0	0	2.32237e-08	0	0.0181895	0.0182	301350	121203	422552	
1	60	6	89.5888	0.000687671	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.00087557	0.259997	0	0	8.59607e-09	0	0.0181895	0.0182	301032	121203	422234	
1	70	7	98.3921	0.00295364	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000847129	0.259997	0	0	2.95916e-08	0	0.0181895	0.0182	300716	121203	421919	
1	80	8	106.609	-0.00310886	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.00085209	0.259997	0	0	3.28935e-08	0	0.0181895	0.0182	300403	121203	421606	
1	90	9	115.997	-0.000586287	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000875387	0.259997	0	0	7.72067e-09	0	0.0181895	0.0182	300092	121203	421294	
1	100	10	124.499	0.00297392	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000862511	0.259997	0	0	3.33779e-08	0	0.0181895	0.0182	299783	121203	420985	
1	110	11	132.861	-0.000557552	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000850099	0.259997	0	0	8.55955e-09	0	0.0181895	0.0182	299476	121203	420678	
1	120	12	141.036	-0.00333164	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000869444	0.259997	0	0	3.35439e-08	0	0.0181895	0.0182	299170	121203	420373	
1	130	13	149.651	0.00377462	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000854174	0.259997	0	0	3.66757e-08	0	0.0181895	0.0182	298867	121203	420069	
1	140	14	157.695	-0.00146475	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000847557	0.259997	0	0	1.70251e-08	0	0.0181895	0.0182	298565	121202	419767	
1	150	15	166.918	-0.00142152	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000868223	0.259997	0	0	1.4529e-08	0	0.0181895	0.0182	298264	121203	419467	
1	160	16	174.735	0.00199965	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000864654	0.259997	0	0	2.18775e-08	0	0.0181895	0.0182	297965	121203	419168	
1	170	17	182.972	0.000927671	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000847313	0.259997	0	0	9.24207e-09	0	0.0181895	0.0182	297667	121202	418870	
1	180	18	191.133	-0.00168659	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000852617	0.259997	0	0	1.90439e-08	0	0.0181895	0.0182	297371	121202	418574	
1	190	19	199.34	-0.00136632	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000869901	0.259997	0	0	1.39912e-08	0	0.0181895	0.0182	297076	121202	418279	
1	200	20	207.135	0.00099714	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000871083	0.259997	0	0	1.15062e-08	0	0.0181895	0.0182	296783	121202	417985	
1	210	21	215.231	0.00205465	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000857653	0.259997	0	0	2.26478e-08	0	0.0181895	0.0182	296490	121202	417693	
1	220	22	223.331	0.000592823	0	4.0001e-05	9.9999e-05	9.9999e-05	0	0.104003	0.259997	-0.000845072	0.259997	0	0	6.96587e-09	0	0.0181895	0.0182	296199	121202	417401	
