TemperatureC,Vitesse:0,Vitesse:1,Vitesse:2,FractionLiq,Concentration_carbon,Concentration_chromium,FractionBCC,FractionFCC,FractionM7C3,FractionCementite,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
101.667,2.83365e-032,6.25571e-032,3.5832e-032,0,1.98061,29.992,0.717738,0.00523127,0,0.27703,1,0,-0.00297761,-0.00304722,0,0,0
101.765,-7.00532e-018,-1.54653e-017,-8.85835e-018,0,1.97794,29.9652,0.718103,0.00524023,0,0.276657,1,0.00015,-0.00297761,-0.00304722,0.00015,1,0
101.863,-1.40106e-017,-3.09306e-017,-1.77167e-017,0,1.97527,29.9384,0.718467,0.0052492,0,0.276284,1,0.0003,-0.00297761,-0.00304722,0.0003,2,0
101.962,-1.43645e-017,-5.06542e-017,-3.5984e-017,0,1.97313,29.9188,0.718762,0.00525436,0,0.275983,1,0.00045,-0.00297761,-0.00304722,0.00045,3,0
102.06,-1.44278e-017,-7.05638e-017,-5.46623e-017,0,1.97101,29.8994,0.719054,0.00525936,0,0.275686,1,0.0006,-0.00297761,-0.00304722,0.0006,4,0
102.158,-1.03159e-017,-7.92112e-017,-6.11893e-017,0,1.96828,29.8728,0.719424,0.00526996,0,0.275306,1,0.00075,-0.00297761,-0.00304722,0.00075,5,0
102.256,-1.39422e-018,-7.48842e-017,-5.37176e-017,0,1.96487,29.8379,0.719884,0.00528701,0,0.274829,1,0.0009,-0.00297761,-0.00304722,0.0009,6,0
102.353,-9.66369e-018,-7.1514e-017,-3.08096e-017,0,1.96286,29.8216,0.72015,0.00530246,0,0.274547,1,0.00105,-0.00297761,-0.00304722,0.00105,7,0
102.45,-4.21963e-017,-6.94942e-017,1.38847e-017,0,1.96282,29.8315,0.720142,0.00531563,0,0.274542,1,0.0012,-0.00297761,-0.00304722,0.0012,8,0
102.546,-4.92493e-017,-5.22513e-017,4.1919e-017,0,1.96223,29.832,0.720238,0.00530235,0,0.274459,1,0.00135,-0.00297761,-0.00304722,0.00135,9,0
102.642,-5.14997e-017,-3.21392e-017,6.68133e-017,0,1.96154,29.8308,0.720354,0.00528407,0,0.274362,1,0.0015,-0.00297761,-0.00304722,0.0015,10,0
102.739,-4.34016e-017,-2.26338e-017,1.04768e-016,0,1.96078,29.8304,0.720465,0.00527925,0,0.274256,1,0.00165,-0.00297761,-0.00304722,0.00165,11,0
102.835,-3.49869e-017,-1.34529e-017,1.43122e-016,0,1.96002,29.83,0.720575,0.00527483,0,0.27415,1,0.0018,-0.00297761,-0.00304722,0.0018,12,0
102.931,-2.65723e-017,-4.27194e-018,1.81476e-016,0,1.95926,29.8297,0.720686,0.00527042,0,0.274044,1,0.00195,-0.00297761,-0.00304722,0.00195,13,0
103.026,-3.02895e-017,4.49576e-017,1.7824e-016,0,1.95908,29.8266,0.720801,0.00518032,0,0.274018,1,0.0021,-0.00297761,-0.00304722,0.0021,14,0
103.121,-3.56934e-017,9.97553e-017,1.69221e-016,0,1.95898,29.8232,0.720917,0.0050783,0,0.274005,1,0.00225,-0.00297761,-0.00304722,0.00225,15,0
103.215,-4.16645e-017,1.52237e-016,1.55552e-016,0,1.95895,29.8208,0.721022,0.00497745,0,0.274001,1,0.0024,-0.00297761,-0.00304722,0.0024,16,0
103.31,-5.20329e-017,1.86763e-016,1.05829e-016,0,1.95951,29.8267,0.721035,0.00488566,0,0.274079,1,0.00255,-0.00297761,-0.00304722,0.00255,17,0
103.405,-6.24013e-017,2.2129e-016,5.61064e-017,0,1.96007,29.8325,0.721049,0.00479386,0,0.274157,1,0.0027,-0.00297761,-0.00304722,0.0027,18,0
103.5,-5.46428e-017,2.35368e-016,3.98307e-018,0,1.95992,29.8303,0.721151,0.00471212,0,0.274137,1,0.00285,-0.00297761,-0.00304722,0.00285,19,0
103.593,-3.45417e-017,2.40013e-016,-3.04756e-018,0,1.95998,29.8333,0.7212,0.00465602,0,0.274144,1,0.003,-0.00297761,-0.00304722,0.003,20,0
103.687,1.20732e-017,2.15118e-016,2.19395e-017,0,1.96011,29.8326,0.721269,0.00456834,0,0.274163,1,0.00315,-0.00297761,-0.00304722,0.00315,21,0
103.78,5.86881e-017,1.90222e-016,4.69266e-017,0,1.96024,29.8319,0.721338,0.00448066,0,0.274181,1,0.0033,-0.00297761,-0.00304722,0.0033,22,0
103.873,9.75133e-017,1.50926e-016,6.19047e-017,0,1.96053,29.8336,0.721383,0.00439444,0,0.274222,1,0.00345,-0.00297761,-0.00304722,0.00345,23,0
103.967,1.27674e-016,9.56135e-017,6.57496e-017,0,1.96101,29.8378,0.721401,0.00430986,0,0.274289,1,0.0036,-0.00297761,-0.00304722,0.0036,24,0
104.06,1.40802e-016,5.41469e-017,6.53407e-017,0,1.9613,29.8404,0.721441,0.004229,0,0.274329,1,0.00375,-0.00297761,-0.00304722,0.00375,25,0
104.152,9.52536e-017,6.03797e-017,5.0278e-017,0,1.96094,29.8372,0.72156,0.00416099,0,0.274278,1,0.0039,-0.00297761,-0.00304722,0.0039,26,0
104.244,4.97057e-017,6.66125e-017,3.52153e-017,0,1.96057,29.834,0.72168,0.00409297,0,0.274227,1,0.00405,-0.00297761,-0.00304722,0.00405,27,0
104.336,3.10815e-018,7.10345e-017,2.09043e-017,0,1.9602,29.8307,0.7218,0.00402407,0,0.274176,1,0.0042,-0.00297761,-0.00304722,0.0042,28,0
104.427,-1.87845e-017,4.99169e-017,-3.50175e-018,0,1.96015,29.8323,0.72187,0.00396182,0,0.274168,1,0.00435,-0.00297761,-0.00304722,0.00435,29,0
104.519,-3.61798e-017,2.72706e-017,-3.00936e-017,0,1.96013,29.8346,0.721933,0.00390145,0,0.274165,1,0.0045,-0.00297761,-0.00304722,0.0045,30,0
104.61,-5.41541e-017,1.27515e-017,-5.59713e-017,0,1.96021,29.8361,0.721997,0.00382659,0,0.274177,1,0.00465,-0.00297761,-0.00304722,0.00465,31,0
104.701,-6.58728e-017,3.15667e-017,-6.56378e-017,0,1.96058,29.8336,0.72207,0.00370152,0,0.274228,1,0.0048,-0.00297761,-0.00304722,0.0048,32,0
104.791,-5.28148e-017,4.07327e-017,-3.90789e-017,0,1.96051,29.8316,0.722162,0.00361928,0,0.274219,1,0.00495,-0.00297761,-0.00304722,0.00495,33,0
