TemperatureC,Vitesse0,Vitesse1,Vitesse2,FractionLiq,Concentration_carbon,Concentration_chromium,FractionBCC,FractionFCC,FractionM7C3,FractionCementite,vtkValidPointMask,arc_length,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__
101.668,1.25741e-032,1.47338e-033,-1.28855e-032,0,1.98831,30.0805,0.71673,0.0051636,0,0.278106,1,0,-4.49829e-007,5.49946e-007,0,0,0
101.766,5.44788e-018,1.16459e-018,1.47815e-017,0,1.98563,30.0545,0.71709,0.00517671,0,0.277732,1,0.00015,-4.49829e-007,5.49946e-007,0.00015,1,0
101.863,5.93046e-018,8.89196e-018,7.2137e-017,0,1.98339,30.035,0.717392,0.00518843,0,0.277419,1,0.0003,-4.49829e-007,5.49946e-007,0.0003,2,1
101.961,6.41305e-018,1.66193e-017,1.29493e-016,0,1.98115,30.0155,0.717694,0.00520016,0,0.277106,1,0.00045,-4.49829e-007,5.49946e-007,0.00045,3,0
102.058,6.89563e-018,2.43467e-017,1.86848e-016,0,1.97891,29.996,0.717995,0.00521188,0,0.276792,1,0.0006,-4.49829e-007,5.49946e-007,0.0006,4,0
102.156,7.37822e-018,3.20741e-017,2.44204e-016,0,1.97668,29.9765,0.718297,0.0052236,0,0.276479,1,0.00075,-4.49829e-007,5.49946e-007,0.00075,5,0
102.254,6.55823e-018,3.94831e-017,2.96617e-016,0,1.97425,29.9545,0.718625,0.00523391,0,0.276141,1,0.0009,-4.49829e-007,5.49946e-007,0.0009,6,0
102.351,4.87655e-018,4.66814e-017,3.45761e-016,0,1.97171,29.9308,0.718971,0.00524329,0,0.275785,1,0.00105,-4.49829e-007,5.49946e-007,0.00105,7,0
102.449,3.28655e-018,5.36767e-017,3.92655e-016,0,1.96911,29.9062,0.719326,0.00525206,0,0.275421,1,0.0012,-4.49829e-007,5.49946e-007,0.0012,8,0
102.546,2.07945e-018,5.98242e-017,4.30148e-016,0,1.96626,29.8781,0.719719,0.00525835,0,0.275023,1,0.00135,-4.49829e-007,5.49946e-007,0.00135,9,0
102.644,1.41507e-017,5.48594e-017,4.91601e-016,0,1.96499,29.87,0.719895,0.00526042,0,0.274844,1,0.0015,-4.49829e-007,5.49946e-007,0.0015,10,0
102.739,-1.822e-017,6.11064e-017,3.27755e-016,0,1.96416,29.8678,0.720023,0.00524827,0,0.274729,1,0.00165,-4.49829e-007,5.49946e-007,0.00165,11,0
102.835,-4.36924e-017,4.77936e-017,1.852e-016,0,1.96316,29.8625,0.720179,0.00523061,0,0.27459,1,0.0018,-4.49829e-007,5.49946e-007,0.0018,12,0
102.93,-6.91648e-017,3.44808e-017,4.26443e-017,0,1.96217,29.8573,0.720336,0.00521294,0,0.274451,1,0.00195,-4.49829e-007,5.49946e-007,0.00195,13,0
103.026,-9.46373e-017,2.11681e-017,-9.99113e-017,0,1.96117,29.852,0.720493,0.00519528,0,0.274311,1,0.0021,-4.49829e-007,5.49946e-007,0.0021,14,0
103.122,-1.2011e-016,7.8553e-018,-2.42467e-016,0,1.96018,29.8468,0.72065,0.00517761,0,0.274172,1,0.00225,-4.49829e-007,5.49946e-007,0.00225,15,0
103.217,-1.13686e-016,-1.1794e-017,-2.69995e-016,0,1.95897,29.8382,0.720838,0.00515956,0,0.274003,1,0.0024,-4.49829e-007,5.49946e-007,0.0024,16,0
103.311,-8.04566e-017,-3.30968e-017,-1.9753e-016,0,1.95774,29.8285,0.721034,0.00513572,0,0.273831,1,0.00255,-4.49829e-007,5.49946e-007,0.00255,17,0
103.405,-4.47793e-017,-4.08646e-017,-1.03549e-016,0,1.95709,29.8242,0.721169,0.00509095,0,0.27374,1,0.0027,-4.49829e-007,5.49946e-007,0.0027,18,0
103.499,-9.102e-018,-4.86324e-017,-9.5675e-018,0,1.95644,29.8199,0.721305,0.00504618,0,0.273649,1,0.00285,-4.49829e-007,5.49946e-007,0.00285,19,0
103.593,2.65753e-017,-5.64002e-017,8.44138e-017,0,1.95579,29.8156,0.72144,0.00500141,0,0.273558,1,0.003,-4.49829e-007,5.49946e-007,0.003,20,0
103.687,6.22527e-017,-6.4168e-017,1.78395e-016,0,1.95514,29.8113,0.721576,0.00495664,0,0.273467,1,0.00315,-4.49829e-007,5.49946e-007,0.00315,21,0
103.781,9.07738e-017,-6.34783e-017,2.57966e-016,0,1.95472,29.8087,0.721692,0.00489994,0,0.273408,1,0.0033,-4.49829e-007,5.49946e-007,0.0033,22,0
103.874,8.30521e-017,-4.33752e-017,2.52965e-016,0,1.95505,29.8117,0.721738,0.00480699,0,0.273455,1,0.00345,-4.49829e-007,5.49946e-007,0.00345,23,0
103.967,5.19992e-017,-3.62736e-017,1.80905e-016,0,1.95546,29.816,0.721771,0.00471708,0,0.273511,1,0.0036,-4.49829e-007,5.49946e-007,0.0036,24,0
104.059,4.72014e-017,-2.27455e-017,1.01537e-016,0,1.95595,29.8215,0.721794,0.00462525,0,0.27358,1,0.00375,-4.49829e-007,5.49946e-007,0.00375,25,0
104.152,5.15509e-017,-7.74162e-018,1.85985e-017,0,1.95644,29.827,0.721817,0.00453366,0,0.273649,1,0.0039,-4.49829e-007,5.49946e-007,0.0039,26,0
104.244,4.2137e-017,-2.84835e-018,-6.95517e-017,0,1.95657,29.8287,0.721881,0.00445118,0,0.273668,1,0.00405,-4.49829e-007,5.49946e-007,0.00405,27,0
104.336,3.2723e-017,2.04492e-018,-1.57702e-016,0,1.95671,29.8303,0.721944,0.00436869,0,0.273687,1,0.0042,-4.49829e-007,5.49946e-007,0.0042,28,0
104.427,3.20117e-017,1.15708e-017,-1.89979e-016,0,1.95703,29.8328,0.721995,0.00427259,0,0.273732,1,0.00435,-4.49829e-007,5.49946e-007,0.00435,29,0
104.519,3.46612e-017,2.28857e-017,-2.0068e-016,0,1.95742,29.8357,0.722042,0.00417123,0,0.273787,1,0.0045,-4.49829e-007,5.49946e-007,0.0045,30,0
