Compteur	Temps	TemperatureC	EnthalpieVol	dHsurdT	Concentration_carbon	Concentration_chromium	ConcentrationLiquide_carbon	ConcentrationLiquide_chromium	FractionLiq	FractionBCC	FractionFCC	FractionM7C3	FractionCementite	CodeConvergence	
0	0	1394.85	8.13721e+09	5e+06	2	30	2	30	1	0	0	0	0	0	
10	1	1382.01	8.06786e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
20	2	1381.31	8.06408e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
30	3	1380.95	8.06214e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
40	4	1380.69	8.06078e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
50	5	1380.49	8.05969e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
60	6	1380.31	8.05875e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
70	7	1380.16	8.0579e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
80	8	1380.01	8.05712e+09	5.38266e+06	2	30	2	30	1	0	0	0	0	2	
90	9	1379.88	8.05638e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
100	10	1379.74	8.05568e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
110	11	1379.62	8.055e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
120	12	1379.5	8.05434e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
130	13	1379.38	8.0537e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
140	14	1379.26	8.05307e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
150	15	1379.14	8.05245e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
160	16	1379.03	8.05184e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
170	17	1378.92	8.05124e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
180	18	1378.81	8.05065e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
190	19	1378.7	8.05006e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
200	20	1378.59	8.04947e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
210	21	1378.48	8.04889e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
220	22	1378.37	8.04831e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
230	23	1378.27	8.04774e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
240	24	1378.16	8.04717e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
250	25	1378.06	8.0466e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
260	26	1377.95	8.04603e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
270	27	1377.85	8.04547e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
280	28	1377.74	8.04491e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
290	29	1377.64	8.04435e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
300	30	1377.53	8.04379e+09	5.376e+06	2	30	2	30	1	0	0	0	0	2	
310	31	1377.43	8.04323e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
320	32	1377.33	8.04268e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
330	33	1377.22	8.04212e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
340	34	1377.12	8.04157e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
350	35	1377.02	8.04102e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
360	36	1376.91	8.04046e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
370	37	1376.81	8.03991e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
380	38	1376.71	8.03936e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
390	39	1376.61	8.03882e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
400	40	1376.51	8.03827e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
410	41	1376.4	8.03772e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
420	42	1376.3	8.03717e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
430	43	1376.2	8.03663e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
440	44	1376.1	8.03608e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
450	45	1376	8.03554e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
460	46	1375.9	8.03499e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
470	47	1375.8	8.03445e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
480	48	1375.69	8.0339e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
490	49	1375.59	8.03336e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
500	50	1375.49	8.03282e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
510	51	1375.39	8.03228e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
520	52	1375.29	8.03173e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
530	53	1375.19	8.03119e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
540	54	1375.09	8.03065e+09	5.37599e+06	2	30	2	30	1	0	0	0	0	2	
550	55	1374.99	8.03011e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
560	56	1374.89	8.02957e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
570	57	1374.79	8.02903e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
580	58	1374.69	8.02849e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
590	59	1374.59	8.02795e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
600	60	1374.49	8.02742e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
610	61	1374.38	8.02688e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
620	62	1374.28	8.02634e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
630	63	1374.18	8.0258e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
640	64	1374.08	8.02526e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
650	65	1373.98	8.02473e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
660	66	1373.88	8.02419e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
670	67	1373.78	8.02365e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
680	68	1373.68	8.02312e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
690	69	1373.58	8.02258e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
700	70	1373.48	8.02204e+09	5.35723e+06	2	30	2	30	1	0	0	0	0	2	
710	71	1373.38	8.02151e+09	5.35723e+06	2	30	2	30	1	0	0	0	0	2	
720	72	1373.28	8.02097e+09	5.35722e+06	2	30	2	30	1	0	0	0	0	2	
730	73	1373.18	8.02044e+09	5.35722e+06	2	30	2	30	1	0	0	0	0	2	
740	74	1373.08	8.0199e+09	5.35187e+06	2	30	2	30	1	0	0	0	0	2	
750	75	1372.98	8.01936e+09	5.35722e+06	2	30	2	30	1	0	0	0	0	2	
760	76	1372.88	8.01883e+09	5.35722e+06	2	30	2	30	1	0	0	0	0	2	
770	77	1372.78	8.01829e+09	5.35721e+06	2	30	2	30	1	0	0	0	0	2	
780	78	1372.68	8.01776e+09	5.35721e+06	2	30	2	30	1	0	0	0	0	2	
790	79	1372.58	8.01722e+09	5.35721e+06	2	30	2	30	1	0	0	0	0	2	
800	80	1372.48	8.01669e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
810	81	1372.38	8.01615e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
820	82	1372.28	8.01562e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
830	83	1372.18	8.01508e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
840	84	1372.08	8.01455e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
850	85	1371.98	8.01401e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
860	86	1371.88	8.01348e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
870	87	1371.78	8.01294e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
880	88	1371.68	8.01241e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
890	89	1371.58	8.01187e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
900	90	1371.48	8.01134e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
910	91	1371.38	8.01081e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
920	92	1371.29	8.01027e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
930	93	1371.19	8.00974e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
940	94	1371.09	8.0092e+09	5.35717e+06	2	30	2	30	1	0	0	0	0	2	
