vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse:0,Vitesse:1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
0,7.49494,0,7.49494,70,2600,2800,2800,1.07094e+009,100,0,1,0.00345712,-550.178,0,0,0,0.0005,0,0,411.899,0.001,0,0,0,0,0,0.0928381,-7.78013e-011,0.00015173,0.913397,1
1,7.05809,0,7.05809,70,2600,2800,2800,1.07175e+009,100,1.47319e-013,1,0.0318669,-549.964,0,0,0,0.0005,0.00014,0,412.211,0.001,-1.65891e-014,-9.75804e-015,0,0,0.00014,0.0926983,-2.52896e-010,0.000135452,0.81943,1
2,7.15409,2.43274,7.15409,70,2600,2800,2800,1.07256e+009,100,5.03775e-013,1,385128,909976,0,0,0,0.0005,0.00028,0,412.522,0.001,-1.24433e-014,-1.53463e-014,0,0,0.00028,0.0925583,-1.13276e-010,0.000140272,0.898552,1
3,7.17301,5.72851,7.17301,70,2600,2800,2800,1.07337e+009,100,3.78275e-012,1,-699801,231233,0,0,0,0.0005,0.00042,0,412.834,0.001,-3.00291e-015,-2.76464e-014,0,0,0.00042,0.0924183,-1.44821e-010,0.000140215,0.883865,1
4,7.1834,6.34355,7.1834,70,2600,2800,2800,1.07418e+009,100,3.34142e-012,1,710835,-222142,0,0,0,0.0005,0.00056,0,413.146,0.001,-4.70769e-016,-3.27662e-014,0,0,0.00056,0.0922783,-8.4159e-011,0.000149535,0.97878,1
5,7.18968,3.38588,7.18968,70,2600,2800,2800,1.07499e+009,100,7.14124e-013,1,727842,-332216,0,0,0,0.0005,0.0007,0,413.457,0.001,-1.14446e-015,-5.08781e-014,0,0,0.0007,0.0921383,-2.98837e-010,0.000134185,0.810434,1
6,7.18475,5.54174,7.18475,70,2600,2800,2800,1.0758e+009,100,3.19625e-012,1,-47881,904984,0,0,0,0.0005,0.00084,0,413.768,0.001,-1.596e-014,-5.7264e-014,0,0,0.00084,0.0919982,-1.1868e-010,0.000139394,0.86935,1
7,7.19911,1.2745,7.19911,70,2600,2800,2800,1.0766e+009,100,7.68022e-013,1,277085,-615850,0,0,0,0.0005,0.00098,0,414.079,0.001,-4.43058e-015,-7.62429e-014,0,0,0.00098,0.0918582,-2.06305e-010,0.000164119,0.834581,1
8,7.18661,4.2766,7.18661,70,2600,2800,2800,1.07741e+009,100,5.17633e-012,1,-789604,108459,0,0,0,0.0005,0.00112,0,414.389,0.001,2.39303e-015,-1.28422e-013,0,0,0.00112,0.0917182,-9.50626e-011,0.00016261,0.84451,1
9,7.17759,3.75194,7.17759,70,2600,2800,2800,1.07822e+009,100,1.08027e-012,1,-715363,-249286,0,0,0,0.0005,0.00126,0,414.7,0.001,3.38227e-015,-1.23023e-013,0,0,0.00126,0.0915782,2.44817e-010,0.000161248,0.86248,1
