vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,DensityP1,EnthalpieVol,FractionLiq_c,FractionSolide_c,Points:0,Points:1,Points:2,TemperatureC,Vitesse0,Vitesse1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,vtkValidPointMask
0,7.49494,0,7.49494,2800,1.46392e+009,0,1,0.0005,0,0,563.047,0,0,0,0,0,0.0993053,1
1,7.05809,0,7.05809,2800,1.46512e+009,5.98549e-014,1,0.0005,0.00014,0,563.51,-6.16197e-016,4.79668e-017,0,0,0.00014,0.0991652,1
2,7.15409,0,7.15409,2800,1.46633e+009,0,1,0.0005,0.00028,0,563.973,-6.60847e-016,-3.57932e-017,0,0,0.00028,0.0990252,1
3,7.17302,0,7.17302,2800,1.46753e+009,4.66635e-013,1,0.0005,0.00042,0,564.435,-9.5638e-016,1.67209e-017,0,0,0.00042,0.0988852,1
4,7.18335,0,7.18335,2800,1.46873e+009,6.47351e-013,1,0.0005,0.00056,0,564.897,-1.37405e-015,1.62008e-017,0,0,0.00056,0.0987452,1
5,7.18992,0,7.18992,2800,1.46993e+009,3.02466e-013,1,0.0005,0.0007,0,565.359,-2.08464e-015,5.5478e-017,0,0,0.0007,0.0986053,1
6,7.18308,1.20575,7.18308,2800,1.47113e+009,6.18186e-013,1,0.0005,0.00084,0,565.821,-3.19969e-015,-8.18589e-017,0,0,0.00084,0.0984652,1
7,7.20603,0,7.20603,2800,1.47233e+009,1.08541e-013,1,0.0005,0.00098,0,566.282,-4.96037e-015,9.85952e-017,0,0,0.00098,0.0983252,1
8,7.1567,4.24264,7.1567,2800,1.47353e+009,7.2833e-013,1,0.0005,0.00112,0,566.743,-7.52403e-015,-1.1398e-016,0,0,0.00112,0.0981852,1
9,7.18821,0,7.18821,2800,1.47473e+009,4.579e-013,1,0.0005,0.00126,0,567.205,-1.17496e-014,4.72974e-016,0,0,0.00126,0.0980452,1
10,7.15677,0,7.15677,2800,1.47593e+009,1.35178e-017,1,0.0005,0.0014,0,567.666,-1.83686e-014,-3.44508e-016,0,0,0.0014,0.0979053,1
11,7.15751,1.44928,7.15751,2800,1.47713e+009,2.94839e-013,1,0.0005,0.00154,0,568.126,-2.86101e-014,4.94632e-016,0,0,0.00154,0.0977652,1
