vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,ConductiviteThermiqueP0,DensityFluideP0,DensityP0,DensityP1,EnthalpieVol,ErrReg,FractionLiq_c,FractionSolide_c,GradrholBis_P0:0,GradrholBis_P0:1,GradrholBis_P0:2,MassBalanceRHS_P0,PartitionE,Points:0,Points:1,Points:2,TemperatureC,ViscosityP0,Vitesse0,Vitesse1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,divV_element,h_meshsize,h_quality,vtkValidPointMask
0,7.49494,0,7.49494,70,2600,2800,2800,1.17569e+009,100,0,1,0.00323776,-621.264,0,0,1,0.0005,0,0,452.187,0.001,0,0,0,0,0,0.0946604,4.42213e-014,0.00015173,0.913397,1
1,7.05809,0,7.05809,70,2600,2800,2800,1.1766e+009,100,1.85346e-013,1,0.0298517,-621.064,0,0,1,0.0005,0.00014,0,452.539,0.001,-1.7156e-018,4.72941e-018,0,0,0.00014,0.0945204,1.902e-014,0.000135452,0.81943,1
2,7.15409,0,7.15409,70,2600,2800,2800,1.17752e+009,100,3.91452e-017,1,0.0424366,-620.783,0,0,1,0.0005,0.00028,0,452.891,0.001,-2.96331e-019,7.94973e-018,0,0,0.00028,0.0943804,-2.59296e-014,0.000140272,0.898552,1
3,7.17302,3.68229,7.17302,70,2600,2800,2800,1.17843e+009,100,1.36555e-012,1,211426,831519,0,0,1,0.0005,0.00042,0,453.243,0.001,-1.48483e-018,1.32253e-017,0,0,0.00042,0.0942403,-8.43883e-015,0.000140215,0.883865,1
4,7.18335,6.34352,7.18335,70,2600,2800,2800,1.17935e+009,100,1.92897e-012,1,710826,-222223,0,0,1,0.0005,0.00056,0,453.595,0.001,-2.30334e-018,1.77154e-017,0,0,0.00056,0.0941003,-2.23046e-014,0.000149535,0.97878,1
5,7.18992,3.38589,7.18992,70,2600,2800,2800,1.18026e+009,100,9.22673e-013,1,727897,-332248,0,0,1,0.0005,0.0007,0,453.947,0.001,-1.50559e-018,2.29282e-017,0,0,0.0007,0.0939604,-5.85341e-014,0.000134185,0.810434,1
6,7.18308,5.53997,7.18308,70,2600,2800,2800,1.18117e+009,100,1.83386e-012,1,-48075.2,904719,0,0,1,0.0005,0.00084,0,454.298,0.001,-1.27278e-018,3.01535e-017,0,0,0.00084,0.0938204,4.10467e-015,0.000139394,0.86935,1
7,7.20603,1.274,7.20603,70,2600,2800,2800,1.18208e+009,100,3.15952e-013,1,276978,-615682,0,0,1,0.0005,0.00098,0,454.649,0.001,2.31079e-018,2.94714e-017,0,0,0.00098,0.0936804,-9.83696e-015,0.000164119,0.834581,1
8,7.1567,4.24264,7.1567,70,2600,2800,2800,1.183e+009,100,2.12996e-012,1,-783333,107522,0,0,1,0.0005,0.00112,0,455,0.001,1.61266e-018,3.9962e-017,0,0,0.00112,0.0935404,1.47975e-013,0.00016261,0.84451,1
9,7.18821,3.75965,7.18821,70,2600,2800,2800,1.18391e+009,100,1.38798e-012,1,-716834,-249869,0,0,1,0.0005,0.00126,0,455.351,0.001,-4.65152e-019,5.20981e-017,0,0,0.00126,0.0934004,-1.0979e-014,0.000161248,0.86248,1
10,7.15677,0,7.15677,70,2600,2800,2800,1.18482e+009,100,0,1,0.034911,-618.715,0,0,1,0.0005,0.0014,0,455.702,0.001,-1.50218e-018,5.05345e-017,0,0,0.0014,0.0932603,2.54616e-014,0.000145807,0.948045,1
11,7.15751,1.93001,7.15751,70,2600,2800,2800,1.18573e+009,100,8.84705e-013,1,-140479,832637,0,0,1,0.0005,0.00154,0,456.053,0.001,-1.09368e-018,5.68099e-017,0,0,0.00154,0.0931204,3.00332e-014,0.000151853,0.970094,1
12,7.12314,2.3648,7.12314,70,2600,2800,2800,1.18665e+009,100,1.10559e-012,1,201361,-1.23793e+006,0,0,1,0.0005,0.00168,0,456.403,0.001,5.85141e-020,6.24871e-017,0,0,0.00168,0.0929804,2.7046e-014,0.000133835,0.811142,1
13,7.17086,4.76882,7.17086,70,2600,2800,2800,1.18756e+009,100,1.17222e-012,1,-739950,461039,0,0,1,0.0005,0.00182,0,456.753,0.001,-4.75914e-018,6.61443e-017,0,0,0.00182,0.0928403,1.47849e-014,0.00013663,0.842651,1
