vtkOriginalIndices,Concentration,ConcentrationLiquide,ConcentrationSolide,Concentration_M,DensityP1,EnthalpieVol,FractionBCC_c,FractionFCC_c,FractionLiquide_c,FractionSolide_c,Points:0,Points:1,Points:2,TemperatureC,Vitesse:0,Vitesse:1,Vitesse:2,__vtkIsSelected__,arc_length,d_interface_regular,vtkValidPointMask
0,7.49323,0,7.49323,7.49323,2800,1.17499e+009,0.502212,0.497788,0,1,0.0005,0,0,451.92,0,0,0,0,0,0.094067,1
1,7.05754,0,7.05754,7.05754,2800,1.17591e+009,0.539845,0.460155,1.91665e-013,1,0.0005,0.00014,0,452.272,3.72872e-018,2.42368e-018,0,0,0.00014,0.093927,1
2,7.15376,0,7.15376,7.15376,2800,1.17682e+009,0.531534,0.468466,0,1,0.0005,0.00028,0,452.624,2.21227e-018,6.30706e-018,0,0,0.00028,0.0937871,1
3,7.17248,3.682,7.17248,7.17248,2800,1.17774e+009,0.529916,0.470084,1.36108e-012,1,0.0005,0.00042,0,452.975,-8.41872e-019,9.16819e-018,0,0,0.00042,0.093647,1
4,7.18277,6.34302,7.18277,7.18277,2800,1.17865e+009,0.529028,0.470972,1.9274e-012,1,0.0005,0.00056,0,453.326,-2.58314e-018,1.35322e-017,0,0,0.00056,0.093507,1
5,7.18898,3.38554,7.18898,7.18898,2800,1.17956e+009,0.528491,0.471509,9.26263e-013,1,0.0005,0.0007,0,453.678,-2.12936e-018,2.44827e-017,0,0,0.0007,0.0933671,1
6,7.18394,5.54109,7.18394,7.18394,2800,1.18048e+009,0.528927,0.471073,1.81835e-012,1,0.0005,0.00084,0,454.029,1.43264e-019,3.26348e-017,0,0,0.00084,0.0932271,1
7,7.19833,1.27436,7.19833,7.19833,2800,1.18139e+009,0.527684,0.472316,3.13909e-013,1,0.0005,0.00098,0,454.38,-1.00012e-018,3.52823e-017,0,0,0.00098,0.0930871,1
8,7.18581,4.2762,7.18581,7.18581,2800,1.1823e+009,0.528765,0.471235,2.09785e-012,1,0.0005,0.00112,0,454.731,-2.05192e-018,4.85619e-017,0,0,0.00112,0.092947,1
9,7.17642,3.75097,7.17642,7.17642,2800,1.18321e+009,0.529576,0.470424,1.38972e-012,1,0.0005,0.00126,0,455.082,-2.01934e-018,5.03609e-017,0,0,0.00126,0.092807,1
10,7.15815,0,7.15815,7.15815,2800,1.18412e+009,0.531154,0.468846,0,1,0.0005,0.0014,0,455.432,-6.51294e-019,5.60509e-017,0,0,0.0014,0.092667,1
11,7.15668,1.93089,7.15668,7.15668,2800,1.18503e+009,0.531281,0.468719,8.95722e-013,1,0.0005,0.00154,0,455.783,-2.85986e-018,6.42638e-017,0,0,0.00154,0.0925271,1
12,7.12033,2.36603,7.12033,7.12033,2800,1.18594e+009,0.53442,0.46558,1.12196e-012,1,0.0005,0.00168,0,456.133,1.82461e-019,7.29106e-017,0,0,0.00168,0.0923871,1
13,7.17071,4.76824,7.17071,7.17071,2800,1.18686e+009,0.530069,0.469931,1.183e-012,1,0.0005,0.00182,0,456.483,-5.73879e-018,7.87982e-017,0,0,0.00182,0.092247,1
14,7.16002,6.74002,7.16002,7.16002,2800,1.18776e+009,0.530992,0.469008,1.67965e-012,1,0.0005,0.00196,0,456.833,-2.65971e-018,9.07863e-017,0,0,0.00196,0.092107,1
15,7.13565,7.13565,7.13565,7.13565,2800,1.18867e+009,0.533097,0.466903,6.10706e-012,1,0.0005,0.0021,0,457.183,6.86156e-018,1.05667e-016,0,0,0.0021,0.0919671,1
16,7.14889,2.23361,7.14889,7.14889,2800,1.18958e+009,0.531954,0.468046,2.77835e-012,1,0.0005,0.00224,0,457.533,6.66005e-018,1.1545e-016,0,1,0.00224,0.0918271,1
17,7.12044,5.29853,7.12044,7.12044,2800,1.19049e+009,0.534411,0.465589,2.41858e-012,1,0.0005,0.00238,0,457.882,1.50131e-018,1.22378e-016,0,0,0.00238,0.091687,1
18,7.13953,1.12671,7.13953,7.13953,2800,1.1914e+009,0.532762,0.467238,2.80974e-013,1,0.0005,0.00252,0,458.232,-4.3044e-019,1.30106e-016,0,0,0.00252,0.0915471,1
19,7.13295,0,7.13295,7.13295,2800,1.19231e+009,0.53333,0.46667,0,1,0.0005,0.00266,0,458.58,-7.8359e-018,1.3483e-016,0,0,0.00266,0.091407,1
20,7.13975,0,7.13975,7.13975,2800,1.19322e+009,0.532744,0.467256,3.88979e-013,1,0.0005,0.0028,0,458.93,-2.87243e-018,1.49943e-016,0,0,0.0028,0.091267,1
