d_interface_regular,Concentration,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0927536,7.49495,1,0,0.0005,0,0,0,0
0.0926137,7.05809,1,0.00014,0.0005,0.00014,0,1,0
0.0924737,7.15409,1,0.00028,0.0005,0.00028,0,2,0
0.0923337,7.17302,1,0.00042,0.0005,0.00042,0,3,0
0.0921937,7.18335,1,0.00056,0.0005,0.00056,0,4,0
0.0920537,7.18992,1,0.0007,0.0005,0.0007,0,5,0
0.0919137,7.18307,1,0.00084,0.0005,0.00084,0,6,0
0.0917737,7.20603,1,0.00098,0.0005,0.00098,0,7,0
0.0916337,7.15662,1,0.00112,0.0005,0.00112,0,8,0
0.0914937,7.18848,1,0.00126,0.0005,0.00126,0,9,0
0.0913537,7.15581,1,0.0014,0.0005,0.0014,0,10,0
0.0912137,7.15272,1,0.00154,0.0005,0.00154,0,11,0
0.0910737,7.15293,1,0.00168,0.0005,0.00168,0,12,0
0.0909337,7.16663,1,0.00182,0.0005,0.00182,0,13,0
0.0907937,7.1616,1,0.00196,0.0005,0.00196,0,14,0
0.0906537,7.1371,1,0.0021,0.0005,0.0021,0,15,0
0.0905137,7.15008,1,0.00224,0.0005,0.00224,0,16,0
0.0903737,7.1215,1,0.00238,0.0005,0.00238,0,17,0
0.0902337,7.14037,1,0.00252,0.0005,0.00252,0,18,0
0.0900937,7.13433,1,0.00266,0.0005,0.00266,0,19,0
0.0899537,7.14065,1,0.0028,0.0005,0.0028,0,20,0
0.0898137,7.15665,1,0.00294,0.0005,0.00294,0,21,0
0.0896737,7.10756,1,0.00308,0.0005,0.00308,0,22,0
0.0895337,7.10789,1,0.00322,0.0005,0.00322,0,23,0
0.0893937,7.09769,1,0.00336,0.0005,0.00336,0,24,1
0.0892537,7.13123,1,0.0035,0.0005,0.0035,0,25,1
0.0891137,7.12145,1,0.00364,0.0005,0.00364,0,26,1
0.0889737,7.09762,1,0.00378,0.0005,0.00378,0,27,0
0.0888337,7.11465,1,0.00392,0.0005,0.00392,0,28,0
0.0886937,7.12412,1,0.00406,0.0005,0.00406,0,29,0
0.0885537,7.08797,1,0.0042,0.0005,0.0042,0,30,0
0.0884137,7.09038,1,0.00434,0.0005,0.00434,0,31,0
0.0882737,7.10007,1,0.00448,0.0005,0.00448,0,32,0
0.0881337,7.08724,1,0.00462,0.0005,0.00462,0,33,0
0.0879937,7.09638,1,0.00476,0.0005,0.00476,0,34,0
0.0878537,7.09207,1,0.0049,0.0005,0.0049,0,35,0
0.0877137,7.07978,1,0.00504,0.0005,0.00504,0,36,0
0.0875737,7.09061,1,0.00518,0.0005,0.00518,0,37,0
0.0874337,7.08664,1,0.00532,0.0005,0.00532,0,38,0
0.0872937,7.04094,1,0.00546,0.0005,0.00546,0,39,0
0.0871537,7.10332,1,0.0056,0.0005,0.0056,0,40,0
0.0870136,7.02242,1,0.00574,0.0005,0.00574,0,41,0
0.0868737,7.08598,1,0.00588,0.0005,0.00588,0,42,0
0.0867337,7.08918,1,0.00602,0.0005,0.00602,0,43,0
0.0865937,7.05996,1,0.00616,0.0005,0.00616,0,44,0
0.0864537,7.06252,1,0.0063,0.0005,0.0063,0,45,0
0.0863136,7.07042,1,0.00644,0.0005,0.00644,0,46,0
0.0861737,7.05654,1,0.00658,0.0005,0.00658,0,47,0
0.0860337,7.04871,1,0.00672,0.0005,0.00672,0,48,0
0.0858937,7.07264,1,0.00686,0.0005,0.00686,0,49,0
0.0857537,7.04869,1,0.007,0.0005,0.007,0,50,0
0.0856137,7.04933,1,0.00714,0.0005,0.00714,0,51,0
0.0854737,7.0201,1,0.00728,0.0005,0.00728,0,52,0
0.0853337,7.06559,1,0.00742,0.0005,0.00742,0,53,0
0.0851937,7.04642,1,0.00756,0.0005,0.00756,0,54,0
0.0850536,7.01747,1,0.0077,0.0005,0.0077,0,55,0
0.0849137,7.03363,1,0.00784,0.0005,0.00784,0,56,0
0.0847737,7.05916,1,0.00798,0.0005,0.00798,0,57,0
0.0846337,6.99108,1,0.00812,0.0005,0.00812,0,58,0
0.0844937,7.04943,1,0.00826,0.0005,0.00826,0,59,0
0.0843537,7.02445,1,0.0084,0.0005,0.0084,0,60,0
0.0842137,7.02074,1,0.00854,0.0005,0.00854,0,61,0
0.0840737,7.04293,1,0.00868,0.0005,0.00868,0,62,0
0.0839337,7.03633,1,0.00882,0.0005,0.00882,0,63,0
0.0837937,7.00908,1,0.00896,0.0005,0.00896,0,64,0
0.0836537,7.00731,1,0.0091,0.0005,0.0091,0,65,0
0.0835137,7.017,1,0.00924,0.0005,0.00924,0,66,0
0.0833738,7.02881,1,0.00938,0.0005,0.00938,0,67,0
0.0832337,7.00874,1,0.00952,0.0005,0.00952,0,68,0
0.0830937,6.97968,1,0.00966,0.0005,0.00966,0,69,0
0.0829537,6.9684,1,0.0098,0.0005,0.0098,0,70,0
0.0828137,7.02149,1,0.00994,0.0005,0.00994,0,71,0
0.0826737,7.0161,1,0.01008,0.0005,0.01008,0,72,0
0.0825337,7.0169,1,0.01022,0.0005,0.01022,0,73,0
0.0823937,7.03224,1,0.01036,0.0005,0.01036,0,74,0
0.0822537,7.00829,1,0.0105,0.0005,0.0105,0,75,0
0.0821137,6.96488,1,0.01064,0.0005,0.01064,0,76,0
0.0819737,7.02405,1,0.01078,0.0005,0.01078,0,77,0
0.0818336,7.00791,1,0.01092,0.0005,0.01092,0,78,0
0.0816937,6.95799,1,0.01106,0.0005,0.01106,0,79,0
0.0815537,7.01166,1,0.0112,0.0005,0.0112,0,80,0
0.0814137,6.99949,1,0.01134,0.0005,0.01134,0,81,0
0.0812737,7.02175,1,0.01148,0.0005,0.01148,0,82,0
0.0811337,6.98693,1,0.01162,0.0005,0.01162,0,83,0
0.0809937,6.99219,1,0.01176,0.0005,0.01176,0,84,0
0.0808537,6.98383,1,0.0119,0.0005,0.0119,0,85,0
0.0807137,6.98505,1,0.01204,0.0005,0.01204,0,86,0
