Concentration,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
7,0.001,0.14,0,0,0
7,0,0.14,0,1,0
7,0.000660029,0.138221,0,2,0
7,0,0.129729,0,3,0
7,0.001,0.138503,0,4,0
7,0.000170786,0.13661,0,5,0
7,0,0.125476,0,6,0
7,0,0.129383,0,7,0
7,0,0.130981,0,8,0
7,0,0.124479,0,9,0
7,0,0.136826,0,10,0
7,0.000683732,0.133339,0,11,0
7,0,0.137532,0,12,0
7,0.001,0.139084,0,13,0
7,0.001,0.133428,0,14,0
7,0.000731132,0.123125,0,15,0
7,0.000588975,0.136781,0,16,0
7,0.000628725,0.132123,0,17,0
7,0.000188445,0.124262,0,18,0
7,0.000314126,0.127491,0,19,0
7,0,0.138616,0,20,0
7,0.001,0.13031,0,21,0
7,0.000170628,0.137303,0,22,0
7,0,0.122739,0,23,0
7,0.001,0.124414,0,24,0
7,0.001,0.119026,0,25,0
7,0.000601181,0.134027,0,26,0
7,0.001,0.135943,0,27,0
7,0.00075825,0.126671,0,28,0
7,0,0.134243,0,29,0
7,0.001,0.127827,0,30,0
7,0.001,0.132901,0,31,0
7,0.000775843,0.13233,0,32,0
7,0.000827712,0.128708,0,33,0
7,0.000278694,0.12331,0,34,0
7,0.000721093,0.133525,0,35,0
7,0.000403785,0.133279,0,36,0
7,0.000735135,0.126245,0,37,0
7,0.00061163,0.1255,0,38,0
7,0.001,0.135231,0,39,0
7,0.000791038,0.123881,0,40,0
7,0.000186951,0.133432,0,41,0
7,0.000552348,0.137472,0,42,0
7,0,0.138925,0,43,0
7,0,0.133216,0,44,0
7,0.001,0.139766,0,45,0
7,0,0.132863,0,46,0
7,0.001,0.129885,0,47,0
7,0.001,0.131895,0,48,0
7,0.000150066,0.133181,0,49,0
7,0.000253333,0.129909,0,50,0
7,0.001,0.129183,0,51,0
7,0.001,0.128558,0,52,0
7,0,0.138052,0,53,0
7,0,0.133432,0,54,0
7,0,0.103336,0,55,0
7,0.001,0.122423,0,56,0
7,0.000259753,0.129006,0,57,0
7,0.000381457,0.12358,0,58,0
7,0,0.124192,0,59,0
7,0.001,0.13662,0,60,0
7,0.000160576,0.124808,0,61,0
7,0.000327888,0.133077,0,62,0
7,0.000734952,0.13259,0,63,0
7,0,0.131336,0,64,0
7,0,0.128054,0,65,0
7,0.000818841,0.133788,0,66,0
7,0.001,0.139538,0,67,0
7,0.000779993,0.135447,0,68,0
7,0,0.103159,0,69,0
7,0.000494313,0.134793,0,70,0
7,0.000127617,0.127896,0,71,0
7,0.001,0.135601,0,72,0
7,0.000387578,0.132005,0,73,0
7,0.001,0.122724,0,74,0
7,0.000807674,0.134463,0,75,0
7,0.000514351,0.127975,0,76,0
7,0.000185444,0.124003,0,77,0
7,0.00070995,0.134991,0,78,0
7,0.00053417,0.126818,0,79,0
7,0.001,0.123652,0,80,0
7,0.000669615,0.124729,0,81,0
7,0.000528625,0.129703,0,82,0
7,0.00025802,0.130159,0,83,0
7,0.000743256,0.139559,0,84,0
7,0.000190311,0.134858,0,85,0
7,0.00033778,0.126941,0,86,0
7,0.000328333,0.133889,0,87,0
7,0.001,0.129441,0,88,0
7,0,0.133646,0,89,0
7,0.000692053,0.136274,0,90,0
7,0.001,0.13158,0,91,0
7,0.001,0.133204,0,92,0
7,0.001,0.135416,0,93,0
7,0.001,0.136952,0,94,0
7,0.000530954,0.1282,0,95,0
7,0.000494599,0.139581,0,96,0
7,0,0.128688,0,97,0
7,0.000738525,0.14,0,98,0
7,0.000374712,0.124372,0,99,0
7,0.00014937,0.139562,0,100,0
7,0,0.138331,0,101,0
7,0.000638331,0.137286,0,102,0
7,0.000228656,0.103327,0,103,0
7,0.00077988,0.129866,0,104,0
7,0.001,0.12682,0,105,0
7,0.001,0.134851,0,106,0
7,0.000165961,0.104527,0,107,0
7,0.000447062,0.136072,0,108,0
7,0.001,0.12514,0,109,0
7,0.000184292,0.134652,0,110,0
7,0.000408451,0.12408,0,111,0
7,0.001,0.129672,0,112,0
7,0,0.131944,0,113,0
7,0.001,0.132556,0,114,0
7,0.000157388,0.139859,0,115,0
7,0.000631971,0.125749,0,116,0
7,0.000350425,0.123829,0,117,0
7,0.000226541,0.136195,0,118,0
7,0.000785707,0.130072,0,119,0
7,0.000744259,0.103346,0,120,0
7,0.000264555,0.13237,0,121,0
7,0.000586985,0.13451,0,122,0
7,0.00017659,0.123736,0,123,0
7,0.001,0.138831,0,124,0
7,0.000190557,0.139004,0,125,0
7,0.000253326,0.128135,0,126,0
7,0.000355857,0.130342,0,127,0
7,0.000398076,0.132205,0,128,0
7,0.000528096,0.12639,0,129,0
7,0.00018312,0.135705,0,130,0
7,0.000797583,0.123699,0,131,0
7,0.001,0.118145,0,132,0
7,0.000509191,0.137003,0,133,0
7,0,0.132461,0,134,0
7,0.000617741,0.129388,0,135,0
7,0,0.134667,0,136,0
7,0.000762098,0.12683,0,137,0
7,0.000172185,0.132159,0,138,0
7,0.000219595,0.104009,0,139,0
7,0.000468735,0.132573,0,140,0
7,0.000237596,0.119063,0,141,0
7,0.000845086,0.13363,0,142,0
7,0.001,0.133651,0,143,0
7,0.000855879,0.139767,0,144,0
7,0.000501026,0.126571,0,145,0
7,0.000390997,0.125393,0,146,0
7,0.00076387,0.131913,0,147,0
7,0.000345794,0.132845,0,148,0
7,0.000471733,0.133502,0,149,0
7,0.00041348,0.138082,0,150,0
7,0.000192788,0.125964,0,151,0
7,0.000243149,0.13262,0,152,0
7,0.000517783,0.123338,0,153,0
7,0,0.131649,0,154,0
7,0.000852919,0.134241,0,155,0
7,0.000672436,0.123366,0,156,0
7,0.001,0.12412,0,157,0
7,0.000756364,0.127013,0,158,0
7,0,0.137786,0,159,0
7,0.000843454,0.124567,0,160,0
7,0.001,0.117926,0,161,0
7,0.000297026,0.138587,0,162,0
7,0.001,0.133851,0,163,0
7,0.000754034,0.124385,0,164,0
7,0.001,0.123195,0,165,0
7,0.000832843,0.12343,0,166,0
7,0.001,0.139312,0,167,0
7,0.000581824,0.124526,0,168,0
7,0.000785365,0.124175,0,169,0
7,0.000846241,0.136435,0,170,0
7,0.00056706,0.133741,0,171,0
7,0.000573512,0.13233,0,172,0
7,0.000546505,0.133116,0,173,0
7,0.00086805,0.132416,0,174,0
7,0.001,0.122949,0,175,0
7,0.000795546,0.131151,0,176,0
7,0.000435576,0.136328,0,177,0
7,0.000589765,0.125237,0,178,0
7,0.000183866,0.138413,0,179,0
7,0.000469833,0.129147,0,180,0
7,0.000810588,0.130912,0,181,0
7,0.000781884,0.131395,0,182,0
7,0.001,0.136271,0,183,0
7,0.000434799,0.125915,0,184,0
7,0.000415007,0.138385,0,185,0
7,0.000691889,0.138805,0,186,0
7,0.000169888,0.129667,0,187,0
7,0.00056893,0.138989,0,188,0
7,0.000827292,0.12486,0,189,0
7,0.000832927,0.13276,0,190,0
7,0.000171672,0.131614,0,191,0
7,0.000800785,0.131649,0,192,0
7,0.000203838,0.138186,0,193,0
7,0,0.136217,0,194,0
7,0.001,0.134104,0,195,0
7,0.000188274,0.131867,0,196,0
7,0.0003744,0.135886,0,197,0
7,0.001,0.104898,0,198,0
7,0.000598215,0.139195,0,199,0
