CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
0	0	0	0	0	0	4.00001e-05	9.99999e-05	9.99999e-05	0	0.104	0.26	0	0.26	0	0	0	0	0.0181895	0.0182	302998	121200	424198	
1	100	1	130.819	-0.000652347	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000153498	0.26	0	0	6.69735e-09	0	0.0181895	0.0182	302658	121199	423858	
1	200	2	208.899	-0.000587383	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000152707	0.26	0	0	6.62554e-09	0	0.0181895	0.0182	302326	121199	423525	
1	300	3	285.484	0.000324392	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000152479	0.26	0	0	2.90462e-09	0	0.0181895	0.0182	301998	121199	423197	
1	400	4	365.715	-7.96029e-05	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000149697	0.26	0	0	1.22287e-09	0	0.0181895	0.0182	301673	121199	422873	
1	500	5	442.6	0.000338066	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000152148	0.26	0	0	3.03521e-09	0	0.0181895	0.0182	301352	121199	422552	
1	600	6	517.018	-0.00032325	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000151532	0.26	0	0	4.24434e-09	0	0.0181895	0.0182	301034	121199	422234	
1	700	7	592.049	-3.28998e-05	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000148226	0.26	0	0	7.47533e-10	0	0.0181895	0.0182	300719	121199	421918	
1	800	8	667.917	0.000351907	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000149629	0.26	0	0	4.51175e-09	0	0.0181895	0.0182	300405	121199	421605	
1	900	9	749.912	0.000129975	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000152407	0.26	0	0	1.39965e-09	0	0.0181895	0.0182	300094	121199	421294	
1	1000	10	824.423	-0.000142625	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000152038	0.26	0	0	2.13685e-09	0	0.0181895	0.0182	299785	121199	420985	
1	1100	11	903.052	-0.000401538	0	4e-05	0.0001	0.0001	0	0.104	0.26	0.000149028	0.26	0	0	3.7422e-09	0	0.0181895	0.0182	299478	121199	420677	
