Temperature,LIQ,ALPHA,BETA
577,0,0.522135322,0.477864678
578,0.484294481,0.515705519,0
579,0.490887982,0.509112018,0
580,0.497651362,0.502348638,0
581,0.504591111,0.495408889,0
582,0.511714051,0.488285949,0
583,0.519027356,0.480972644,0
584,0.526538574,0.473461426,0
585,0.534255653,0.465744347,0
586,0.542186967,0.457813033,0
587,0.550341343,0.449658657,0
588,0.558728097,0.441271903,0
589,0.567357061,0.432642939,0
590,0.576238624,0.423761376,0
591,0.585383771,0.414616229,0
592,0.594804124,0.405195876,0
593,0.60451199,0.39548801,0
594,0.614520412,0.385479588,0
595,0.624843222,0.375156778,0
596,0.635495107,0.364504893,0
597,0.646491669,0.353508331,0
598,0.657849498,0.342150502,0
599,0.669586257,0.330413743,0
600,0.681720759,0.318279241,0
601,0.694273072,0.305726928,0
602,0.707264617,0.292735383,0
603,0.720718288,0.279281712,0
604,0.734658576,0.265341424,0
605,0.749111712,0.250888288,0
606,0.764105821,0.235894179,0
607,0.779671098,0.220328902,0
608,0.795839998,0.204160002,0
609,0.812647451,0.187352549,0
610,0.830131098,0.169868902,0
611,0.848331561,0.151668439,0
612,0.867292738,0.132707262,0
613,0.887062141,0.112937859,0
614,0.90769127,0.09230873,0
615,0.929236037,0.070763963,0
616,0.951757246,0.048242754,0
617,0.975321138,0.024678862,0
618,1,0,0
