CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
0	0	0	0	0	0	4.00001e-05	9.99999e-05	9.99999e-05	0	5.20002e-05	0.26	0	0.26	0	0	0	0	0.0181895	0.0182	302998	121200	424198	
1	100	1	59.4925	0.813476	0	4.05113e-05	9.94887e-05	9.94887e-05	0	5.26646e-05	0.258671	-0.511129	0.258671	0	0	8.22123e-05	-0.506135	0.0180975	0.0181069	301109	122749	423858	
1	200	2	94.2548	0.979063	0	4.05104e-05	9.94896e-05	9.94896e-05	0	5.26635e-05	0.258673	-0.510278	0.258673	0	0	0.000100997	-0.505281	0.0180976	0.0181071	300779	122746	423525	
1	300	3	128.445	0.984089	0	4.05096e-05	9.94904e-05	9.94904e-05	0	5.26625e-05	0.258675	-0.509483	0.258675	0	0	0.000100332	-0.504485	0.0180978	0.0181072	300453	122744	423197	
1	400	4	162.417	0.998244	0	4.05089e-05	9.94911e-05	9.94911e-05	0	5.26615e-05	0.258677	-0.508744	0.258677	0	0	9.96689e-05	-0.503745	0.0180979	0.0181074	300131	122741	422873	
1	500	5	196.123	1.0115	0	4.05082e-05	9.94918e-05	9.94918e-05	0	5.26607e-05	0.258679	-0.508064	0.258679	0	0	9.90716e-05	-0.503064	0.018098	0.0181075	299812	122739	422552	
1	600	6	229.743	1.02489	0	4.05076e-05	9.94924e-05	9.94924e-05	0	5.26599e-05	0.25868	-0.507443	0.25868	0	0	9.85149e-05	-0.502442	0.0180981	0.0181076	299496	122738	422234	
1	700	7	262.797	1.02981	0	4.0507e-05	9.9493e-05	9.9493e-05	0	5.26591e-05	0.258682	-0.506876	0.258682	0	0	9.79955e-05	-0.501874	0.0180982	0.0181077	299182	122736	421918	
1	800	8	295.612	1.02761	0	4.05065e-05	9.94935e-05	9.94935e-05	0	5.26585e-05	0.258683	-0.506363	0.258683	0	0	9.75165e-05	-0.501361	0.0180983	0.0181078	298871	122734	421605	
1	900	9	328.269	1.0386	0	4.0506e-05	9.9494e-05	9.9494e-05	0	5.26579e-05	0.258684	-0.505904	0.258684	0	0	9.70745e-05	-0.5009	0.0180984	0.0181079	298561	122733	421294	
1	1000	10	360.393	1.03973	0	4.05056e-05	9.94944e-05	9.94944e-05	0	5.26573e-05	0.258685	-0.505492	0.258685	0	0	9.66805e-05	-0.500488	0.0180985	0.018108	298253	122732	420985	
1	1100	11	392.805	1.03218	0	4.05053e-05	9.94947e-05	9.94947e-05	0	5.26569e-05	0.258686	-0.505138	0.258686	0	0	9.63261e-05	-0.500133	0.0180986	0.018108	297947	122731	420677	
1	1200	12	424.154	1.03865	0	4.0505e-05	9.9495e-05	9.9495e-05	0	5.26565e-05	0.258687	-0.504844	0.258687	0	0	9.60261e-05	-0.499839	0.0180986	0.0181081	297642	122730	420372	
1	1300	13	455.201	1.03425	0	4.05047e-05	9.94953e-05	9.94953e-05	0	5.26562e-05	0.258688	-0.504603	0.258688	0	0	9.57781e-05	-0.499597	0.0180987	0.0181081	297339	122729	420068	
1	1400	14	485.772	1.04152	0	4.05045e-05	9.94955e-05	9.94955e-05	0	5.26559e-05	0.258688	-0.504403	0.258688	0	0	9.55745e-05	-0.499397	0.0180987	0.0181082	297038	122728	419766	
1	1500	15	515.982	1.04647	0	4.05044e-05	9.94956e-05	9.94956e-05	0	5.26557e-05	0.258689	-0.504237	0.258689	0	0	9.54106e-05	-0.499229	0.0180987	0.0181082	296738	122728	419466	
1	1600	16	545.781	1.04601	0	4.05042e-05	9.94958e-05	9.94958e-05	0	5.26555e-05	0.258689	-0.504099	0.258689	0	0	9.52706e-05	-0.499091	0.0180988	0.0181082	296439	122727	419167	
1	1700	17	575.16	1.04665	0	4.05041e-05	9.94959e-05	9.94959e-05	0	5.26554e-05	0.258689	-0.503984	0.258689	0	0	9.516e-05	-0.498976	0.0180988	0.0181082	296142	122727	418869	
1	1800	18	604.048	1.04514	0	4.0504e-05	9.9496e-05	9.9496e-05	0	5.26552e-05	0.25869	-0.503887	0.25869	0	0	9.50655e-05	-0.498879	0.0180988	0.0181083	295846	122727	418573	
1	1900	19	632.885	1.05241	0	4.05039e-05	9.94961e-05	9.94961e-05	0	5.26551e-05	0.25869	-0.503807	0.25869	0	0	9.49861e-05	-0.498799	0.0180988	0.0181083	295551	122726	418278	
1	2000	20	662.024	1.0514	0	4.05039e-05	9.94961e-05	9.94961e-05	0	5.2655e-05	0.25869	-0.503741	0.25869	0	0	9.49217e-05	-0.498733	0.0180988	0.0181083	295258	122726	417984	
1	2100	21	691.021	1.05211	0	4.05038e-05	9.94962e-05	9.94962e-05	0	5.2655e-05	0.25869	-0.503686	0.25869	0	0	9.4868e-05	-0.498678	0.0180988	0.0181083	294966	122726	417691	
1	2200	22	719.332	1.05039	0	4.05038e-05	9.94962e-05	9.94962e-05	0	5.26549e-05	0.25869	-0.50364	0.25869	0	0	9.48224e-05	-0.498631	0.0180988	0.0181083	294675	122726	417400	
1	2300	23	747.437	1.05201	0	4.05037e-05	9.94963e-05	9.94963e-05	0	5.26549e-05	0.25869	-0.5036	0.25869	0	0	9.47854e-05	-0.498591	0.0180988	0.0181083	294385	122725	417110	
1	2400	24	775.213	1.053	0	4.05037e-05	9.94963e-05	9.94963e-05	0	5.26548e-05	0.25869	-0.503566	0.25869	0	0	9.4752e-05	-0.498557	0.0180988	0.0181083	294096	122725	416821	
1	2500	25	802.812	1.05098	0	4.05037e-05	9.94963e-05	9.94963e-05	0	5.26548e-05	0.25869	-0.503539	0.25869	0	0	9.47281e-05	-0.49853	0.0180989	0.0181083	293808	122725	416533	
1	2600	26	830.39	1.05467	0	4.05037e-05	9.94963e-05	9.94963e-05	0	5.26548e-05	0.25869	-0.503517	0.25869	0	0	9.47038e-05	-0.498508	0.0180989	0.0181083	293522	122725	416246	
1	2700	27	858.327	1.05531	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26547e-05	0.258691	-0.503499	0.258691	0	0	9.46857e-05	-0.49849	0.0180989	0.0181083	293236	122725	415961	
1	2800	28	885.698	1.05431	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26547e-05	0.258691	-0.503483	0.258691	0	0	9.46706e-05	-0.498474	0.0180989	0.0181083	292952	122724	415676	
1	2900	29	913.028	1.05416	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26547e-05	0.258691	-0.503469	0.258691	0	0	9.46574e-05	-0.49846	0.0180989	0.0181083	292668	122724	415392	
1	3000	30	940.476	1.05563	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26547e-05	0.258691	-0.503458	0.258691	0	0	9.46468e-05	-0.498448	0.0180989	0.0181083	292386	122724	415109	
1	3100	31	968.266	1.05492	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26547e-05	0.258691	-0.503447	0.258691	0	0	9.46371e-05	-0.498438	0.0180989	0.0181083	292104	122724	414827	
1	3200	32	995.524	1.05572	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26547e-05	0.258691	-0.503438	0.258691	0	0	9.46287e-05	-0.498429	0.0180989	0.0181083	291823	122723	414547	
1	3300	33	1022.68	1.05571	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26546e-05	0.258691	-0.50343	0.258691	0	0	9.46209e-05	-0.498421	0.0180989	0.0181084	291544	122723	414267	
1	3400	34	1049.78	1.05591	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26546e-05	0.258691	-0.503422	0.258691	0	0	9.46139e-05	-0.498413	0.0180989	0.0181084	291265	122723	413987	
1	3500	35	1076.72	1.05587	0	4.05036e-05	9.94964e-05	9.94964e-05	0	5.26546e-05	0.258691	-0.503415	0.258691	0	0	9.46076e-05	-0.498406	0.0180989	0.0181084	290987	122722	413709	
1	3600	36	1103.7	1.05674	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503409	0.258691	0	0	9.46023e-05	-0.4984	0.0180989	0.0181084	290710	122722	413432	
1	3700	37	1130.58	1.05684	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503404	0.258691	0	0	9.45974e-05	-0.498394	0.0180989	0.0181084	290434	122721	413155	
1	3800	38	1157.38	1.05693	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503399	0.258691	0	0	9.45928e-05	-0.498389	0.0180989	0.0181084	290159	122721	412880	
1	3900	39	1184.36	1.05724	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503395	0.258691	0	0	9.4589e-05	-0.498385	0.0180989	0.0181084	289884	122720	412605	
1	4000	40	1211.22	1.05719	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503391	0.258691	0	0	9.45853e-05	-0.498382	0.0180989	0.0181084	289611	122720	412331	
1	4100	41	1238.69	1.05716	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503388	0.258691	0	0	9.45823e-05	-0.498379	0.0180989	0.0181084	289338	122719	412057	
1	4200	42	1265.47	1.05725	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503385	0.258691	0	0	9.45798e-05	-0.498376	0.0180989	0.0181084	289066	122719	411785	
1	4300	43	1292.25	1.05719	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503382	0.258691	0	0	9.45772e-05	-0.498373	0.0180989	0.0181084	288795	122718	411513	
1	4400	44	1318.9	1.05728	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.50338	0.258691	0	0	9.45751e-05	-0.49837	0.0180989	0.0181084	288524	122717	411242	
1	4500	45	1345.64	1.05679	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503377	0.258691	0	0	9.4573e-05	-0.498368	0.0180989	0.0181084	288255	122717	410971	
1	4600	46	1372.11	1.05681	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503375	0.258691	0	0	9.45709e-05	-0.498366	0.0180989	0.0181084	287986	122716	410702	
1	4700	47	1398.52	1.05681	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503373	0.258691	0	0	9.45692e-05	-0.498364	0.0180989	0.0181084	287717	122715	410433	
1	4800	48	1425.05	1.05761	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503371	0.258691	0	0	9.4567e-05	-0.498362	0.0180989	0.0181084	287450	122715	410165	
1	4900	49	1451.62	1.05564	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503369	0.258691	0	0	9.45659e-05	-0.49836	0.0180989	0.0181084	287183	122714	409897	
1	5000	50	1478.21	1.05672	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503368	0.258691	0	0	9.45638e-05	-0.498358	0.0180989	0.0181084	286917	122713	409630	
1	5100	51	1505.95	1.05699	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503366	0.258691	0	0	9.45623e-05	-0.498357	0.0180989	0.0181084	286652	122712	409364	
1	5200	52	1532.44	1.05689	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503365	0.258691	0	0	9.45611e-05	-0.498355	0.0180989	0.0181084	286387	122711	409099	
1	5300	53	1558.76	1.05704	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503363	0.258691	0	0	9.456e-05	-0.498354	0.0180989	0.0181084	286123	122711	408834	
1	5400	54	1585.04	1.05699	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26546e-05	0.258691	-0.503362	0.258691	0	0	9.45589e-05	-0.498353	0.0180989	0.0181084	285860	122710	408570	
1	5500	55	1611.56	1.05696	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26545e-05	0.258691	-0.503361	0.258691	0	0	9.45579e-05	-0.498351	0.0180989	0.0181084	285597	122709	408306	
1	5600	56	1637.95	1.05697	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26545e-05	0.258691	-0.50336	0.258691	0	0	9.45568e-05	-0.49835	0.0180989	0.0181084	285335	122708	408043	
1	5700	57	1664.32	1.05704	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26545e-05	0.258691	-0.503359	0.258691	0	0	9.45557e-05	-0.498349	0.0180989	0.0181084	285074	122707	407781	
1	5800	58	1690.61	1.05701	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26545e-05	0.258691	-0.503358	0.258691	0	0	9.4555e-05	-0.498348	0.0180989	0.0181084	284813	122706	407519	
1	5900	59	1716.89	1.05703	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26545e-05	0.258691	-0.503357	0.258691	0	0	9.45542e-05	-0.498347	0.0180989	0.0181084	284553	122705	407258	
1	6000	60	1743.29	1.05723	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26545e-05	0.258691	-0.503356	0.258691	0	0	9.45536e-05	-0.498347	0.0180989	0.0181084	284294	122703	406997	
1	6100	61	1769.89	1.05718	0	4.05035e-05	9.94965e-05	9.94965e-05	0	5.26545e-05	0.258691	-0.503355	0.258691	0	0	9.45529e-05	-0.498346	0.0180989	0.0181084	284035	122702	406737	
1	6200	62	1795.99	1.05716	2.96693e-15	4.05035e-05	9.94965e-05	9.94965e-05	4.15579e-23	5.26545e-05	0.258691	-0.503354	0.258691	1.16362e-19	0	9.45522e-05	-0.498345	0.0180989	0.0181084	283777	122701	406478	
3	6300	63	1830.73	1.02583	0.224621	4.05036e-05	9.94964e-05	9.9494e-05	2.3615e-09	5.26547e-05	0.258691	-0.503307	0.258684	6.6122e-06	0	9.44108e-05	-0.498299	0.0180989	0.0181084	283519	122700	406219	
3	6400	64	1868.38	0.994831	0.688753	4.0504e-05	9.9496e-05	9.94874e-05	8.64401e-09	5.26552e-05	0.258691	-0.503175	0.258667	2.42032e-05	0	9.45247e-05	-0.498174	0.0180989	0.0181084	283261	122700	405961	
4	6500	65	1907.4	0.958253	1.34485	4.05045e-05	9.94955e-05	9.94774e-05	1.81552e-08	5.26558e-05	0.258692	-0.502939	0.258641	5.08345e-05	0	9.47957e-05	-0.497955	0.018099	0.0181084	283003	122701	405703	
3	6600	66	1946.62	0.936875	2.16255	4.05051e-05	9.94949e-05	9.94645e-05	3.04682e-08	5.26566e-05	0.258693	-0.502582	0.258608	8.5311e-05	0	9.52409e-05	-0.497626	0.018099	0.0181085	282745	122701	405446	
4	6700	67	1985.79	0.920172	3.11656	4.05057e-05	9.94943e-05	9.9449e-05	4.52509e-08	5.26574e-05	0.258694	-0.502096	0.258567	0.000126703	0	9.57071e-05	-0.497182	0.0180991	0.0181086	282488	122702	405189	
3	6800	68	2025.62	0.885275	4.20541	4.05064e-05	9.94936e-05	9.94312e-05	6.2328e-08	5.26584e-05	0.258696	-0.501501	0.258521	0.000174518	0	9.62355e-05	-0.496643	0.0180992	0.0181087	282230	122703	404933	
3	6900	69	2065.55	0.85731	5.40329	4.05072e-05	9.94928e-05	9.94112e-05	8.15296e-08	5.26594e-05	0.258698	-0.500815	0.258469	0.000228283	0	9.68337e-05	-0.496031	0.0180993	0.0181088	281973	122704	404677	
