Temps	vA	vM	mMpct	msoluteM_pct
1500	0.00200001	0.00599999	0	0
1850	0.00200001	0.00599999	0	0
1850.1	0.00200001	0.00599999	0	0.004683402
1850.2	0.00200001	0.00599999	0	0.004683402
1850.3	0.00200001	0.00599999	0	0.004683402
1850.4	0.00200001	0.00599999	0	0.004683402
1850.5	0.00199999	0.00600001	0.000233755	0.004683402
1850.6	0.00199998	0.00600002	0.000701264	0.004683402
1850.7	0.00199995	0.00600005	0.000935019	0.005463969
1850.8	0.00199993	0.00600007	0.001402528	0.005463969
1850.9	0.00199988	0.00600012	0.002337546	0.006244536
1851	0.00199982	0.00600018	0.003272565	0.007025103
1851.1	0.00199977	0.00600023	0.003973829	0.00780567
1851.2	0.00199971	0.00600029	0.004908847	0.008586237
1851.3	0.00199967	0.00600033	0.005610111	0.009366804
1851.4	0.00199963	0.00600037	0.006311375	0.010147371
1851.5	0.0019996	0.0060004	0.006778884	0.010927938
1851.6	0.00199958	0.00600042	0.007246394	0.010927938
1851.7	0.00199952	0.00600048	0.008181412	0.011708505
1851.8	0.00199946	0.00600054	0.009116431	0.013269639
1851.9	0.00199945	0.00600055	0.009350185	0.013269639
1852	0.00199943	0.00600057	0.009817695	0.013269639
1852.1	0.00199939	0.00600061	0.010285204	0.014050206
1852.2	0.00199936	0.00600064	0.010986468	0.014830773
1852.3	0.00199933	0.00600067	0.011453977	0.014830773
1852.4	0.0019993	0.0060007	0.011921486	0.01561134
1852.5	0.00199929	0.00600071	0.012155241	0.01561134
1852.6	0.00199928	0.00600072	0.012155241	0.016391907
1852.7	0.00199927	0.00600073	0.012388996	0.016391907
1852.8	0.00199926	0.00600074	0.01262275	0.016391907
1852.9	0.00199923	0.00600077	0.01309026	0.016391907
1853	0.0019992	0.0060008	0.013557769	0.017172474
1853.1	0.00199916	0.00600084	0.014259033	0.017953041
1853.2	0.00199912	0.00600088	0.014960297	0.018733608
1853.3	0.00199909	0.00600091	0.015427806	0.018733608
1853.4	0.00199907	0.00600093	0.015895315	0.019514175
1853.5	0.00199906	0.00600094	0.015895315	0.019514175
1853.6	0.00199906	0.00600094	0.015895315	0.019514175
1853.7	0.00199905	0.00600095	0.01612907	0.019514175
1853.8	0.00199904	0.00600096	0.01612907	0.020294742
1853.9	0.00199904	0.00600096	0.016362825	0.020294742
1854	0.00199904	0.00600096	0.016362825	0.020294742
1854.1	0.00199902	0.00600098	0.016596579	0.020294742
1854.2	0.001999	0.006001	0.016830334	0.020294742
1854.3	0.00199899	0.00600101	0.017064089	0.021075309
1854.4	0.00199898	0.00600102	0.017297843	0.021075309
1854.5	0.00199897	0.00600103	0.017531598	0.021075309
1854.6	0.00199895	0.00600105	0.017765352	0.021855876
1854.7	0.00199894	0.00600106	0.017999107	0.021855876
1854.8	0.00199893	0.00600107	0.018232862	0.021855876
1854.9	0.00199891	0.00600109	0.018466616	0.021855876
1855	0.0019989	0.0060011	0.018466616	0.022636443
