Temps	vA	vM
1500	0.00200001	0.00599999
1850	0.00200001	0.00599999
1850.1	0.00200001	0.00599999
1850.2	0.00200001	0.00599999
1850.3	0.00200001	0.00599999
1850.4	0.00200001	0.00599999
1850.5	0.00199999	0.00600001
1850.6	0.00199998	0.00600002
1850.7	0.00199995	0.00600005
1850.8	0.00199993	0.00600007
1850.9	0.00199988	0.00600012
1851	0.00199982	0.00600018
1851.1	0.00199977	0.00600023
1851.2	0.00199971	0.00600029
1851.3	0.00199967	0.00600033
1851.4	0.00199963	0.00600037
1851.5	0.0019996	0.0060004
1851.6	0.00199958	0.00600042
1851.7	0.00199952	0.00600048
1851.8	0.00199946	0.00600054
1851.9	0.00199945	0.00600055
1852	0.00199943	0.00600057
1852.1	0.00199939	0.00600061
1852.2	0.00199936	0.00600064
1852.3	0.00199933	0.00600067
1852.4	0.0019993	0.0060007
1852.5	0.00199929	0.00600071
1852.6	0.00199928	0.00600072
1852.7	0.00199927	0.00600073
1852.8	0.00199926	0.00600074
1852.9	0.00199923	0.00600077
1853	0.0019992	0.0060008
1853.1	0.00199916	0.00600084
1853.2	0.00199912	0.00600088
1853.3	0.00199909	0.00600091
1853.4	0.00199907	0.00600093
1853.5	0.00199906	0.00600094
1853.6	0.00199906	0.00600094
1853.7	0.00199905	0.00600095
1853.8	0.00199904	0.00600096
1853.9	0.00199904	0.00600096
1854	0.00199904	0.00600096
1854.1	0.00199902	0.00600098
1854.2	0.001999	0.006001
1854.3	0.00199899	0.00600101
1854.4	0.00199898	0.00600102
1854.5	0.00199897	0.00600103
1854.6	0.00199895	0.00600105
1854.7	0.00199894	0.00600106
1854.8	0.00199893	0.00600107
1854.9	0.00199891	0.00600109
1855	0.0019989	0.0060011
1855.1	0.00199888	0.00600112
1855.2	0.00199886	0.00600114
1855.3	0.00199884	0.00600116
1855.4	0.00199882	0.00600118
1855.5	0.0019988	0.0060012
1855.6	0.00199878	0.00600122
1855.7	0.00199877	0.00600123
1855.8	0.00199876	0.00600124
1855.9	0.00199875	0.00600125
1856	0.00199874	0.00600126
1856.1	0.00199873	0.00600127
1856.2	0.00199872	0.00600128
1856.3	0.0019987	0.0060013
1856.4	0.00199868	0.00600132
1856.5	0.00199866	0.00600134
1856.6	0.00199865	0.00600135
1856.7	0.00199864	0.00600136
1856.8	0.00199863	0.00600137
1856.9	0.00199863	0.00600137
1857	0.00199861	0.00600139
1857.1	0.0019986	0.0060014
1857.2	0.00199858	0.00600142
1857.3	0.00199857	0.00600143
1857.4	0.00199855	0.00600145
1857.5	0.00199854	0.00600146
1857.6	0.00199853	0.00600147
1857.7	0.00199852	0.00600148
1857.8	0.0019985	0.0060015
1857.9	0.00199849	0.00600151
1858	0.00199847	0.00600153
1858.1	0.00199846	0.00600154
1858.2	0.00199844	0.00600156
1858.3	0.00199842	0.00600158
1858.4	0.0019984	0.0060016
1858.5	0.0019984	0.0060016
1858.6	0.00199838	0.00600162
1858.7	0.00199837	0.00600163
1858.8	0.00199837	0.00600163
1858.9	0.00199836	0.00600164
1859	0.00199834	0.00600166
1859.1	0.00199833	0.00600167
1859.2	0.00199832	0.00600168
1859.3	0.0019983	0.0060017
1859.4	0.00199829	0.00600171
1859.5	0.00199828	0.00600172
1859.6	0.00199826	0.00600174
1859.7	0.00199825	0.00600175
1859.8	0.00199824	0.00600176
1859.9	0.00199823	0.00600177
1860	0.00199822	0.00600178
1860.1	0.0019982	0.0060018
1860.2	0.00199819	0.00600181
1860.3	0.00199818	0.00600182
1860.4	0.00199816	0.00600184
1860.5	0.00199814	0.00600186
1860.6	0.00199812	0.00600188
1860.7	0.0019981	0.0060019
1860.8	0.00199808	0.00600192
1860.9	0.00199807	0.00600193
1861	0.00199806	0.00600194
1861.1	0.00199803	0.00600197
1861.2	0.00199802	0.00600198
1861.3	0.00199801	0.00600199
1861.4	0.001998	0.006002
1861.5	0.00199798	0.00600202
1861.6	0.00199798	0.00600202
1861.7	0.00199797	0.00600203
1861.8	0.00199796	0.00600204
1861.9	0.00199794	0.00600206
1862	0.00199793	0.00600207
1862.1	0.00199793	0.00600207
1862.2	0.00199791	0.00600209
1862.3	0.00199789	0.00600211
1862.4	0.00199788	0.00600212
1862.5	0.00199787	0.00600213
1862.6	0.00199786	0.00600214
1862.7	0.00199785	0.00600215
1862.8	0.00199785	0.00600215
1862.9	0.00199784	0.00600216
1863	0.00199783	0.00600217
1863.1	0.00199783	0.00600217
1863.2	0.00199782	0.00600218
1863.3	0.00199782	0.00600218
1863.4	0.00199781	0.00600219
1863.5	0.00199781	0.00600219
1863.6	0.0019978	0.0060022
1863.7	0.00199779	0.00600221
1863.8	0.00199778	0.00600222
1863.9	0.00199778	0.00600222
1864	0.00199776	0.00600224
1864.1	0.00199774	0.00600226
1864.2	0.00199774	0.00600226
1864.3	0.00199773	0.00600227
1864.4	0.00199771	0.00600229
1864.5	0.0019977	0.0060023
1864.6	0.00199769	0.00600231
1864.7	0.00199768	0.00600232
1864.8	0.00199767	0.00600233
1864.9	0.00199766	0.00600234
1865	0.00199766	0.00600234
1865.1	0.00199764	0.00600236
1865.2	0.00199763	0.00600237
1865.3	0.00199763	0.00600237
1865.4	0.00199763	0.00600237
1865.5	0.00199762	0.00600238
1865.6	0.00199762	0.00600238
1865.7	0.00199762	0.00600238
1865.8	0.00199761	0.00600239
1865.9	0.00199759	0.00600241
1866	0.0019976	0.0060024
1866.1	0.00199759	0.00600241
1866.2	0.00199757	0.00600243
1866.3	0.00199756	0.00600244
1866.4	0.00199756	0.00600244
1866.5	0.00199755	0.00600245
1866.6	0.00199753	0.00600247
1866.7	0.00199753	0.00600247
1866.8	0.00199753	0.00600247
1866.9	0.00199752	0.00600248
1867	0.00199751	0.00600249
1867.1	0.00199751	0.00600249
1867.2	0.0019975	0.0060025
1867.3	0.00199749	0.00600251
1867.4	0.00199748	0.00600252
1867.5	0.00199747	0.00600253
1867.6	0.00199747	0.00600253
1867.7	0.00199744	0.00600256
1867.8	0.00199744	0.00600256
1867.9	0.00199744	0.00600256
1868	0.00199742	0.00600258
1868.1	0.00199741	0.00600259
1868.2	0.0019974	0.0060026
1868.3	0.00199739	0.00600261
1868.4	0.00199738	0.00600262
1868.5	0.00199737	0.00600263
1868.6	0.00199737	0.00600263
1868.7	0.00199735	0.00600265
1868.8	0.00199733	0.00600267
1868.9	0.00199734	0.00600266
1869	0.00199733	0.00600267
1869.1	0.00199732	0.00600268
1869.2	0.00199731	0.00600269
1869.3	0.00199731	0.00600269
1869.4	0.00199731	0.00600269
1869.5	0.00199729	0.00600271
1869.6	0.00199728	0.00600272
1869.7	0.00199727	0.00600273
1869.8	0.00199725	0.00600275
1869.9	0.00199723	0.00600277
1870	0.00199722	0.00600278
1870.1	0.00199721	0.00600279
1870.2	0.00199718	0.00600282
1870.3	0.00199716	0.00600284
1870.4	0.00199715	0.00600285
1870.5	0.00199714	0.00600286
1870.6	0.00199712	0.00600288
1870.7	0.00199711	0.00600289
1870.8	0.00199712	0.00600288
1870.9	0.00199711	0.00600289
1871	0.00199709	0.00600291
1871.1	0.00199709	0.00600291
1871.2	0.00199708	0.00600292
1871.3	0.00199707	0.00600293
1871.4	0.00199706	0.00600294
1871.5	0.00199706	0.00600294
1871.6	0.00199706	0.00600294
1871.7	0.00199705	0.00600295
1871.8	0.00199705	0.00600295
1871.9	0.00199705	0.00600295
1872	0.00199703	0.00600297
1872.1	0.00199702	0.00600298
1872.2	0.00199702	0.00600298
1872.3	0.001997	0.006003
1872.4	0.00199699	0.00600301
1872.5	0.00199697	0.00600303
1872.6	0.00199697	0.00600303
