CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
7	2	0.02	107.411	-285.729	370.569	3.68472e-07	3.27955e-08	3.27078e-08	8.76841e-11	4.79013e-07	0.000229394	1.55701	0.000228752	6.41804e-07	0	9.91967e-05	0.472539	2.26447e-07	2.37868e-07	302.307	3445.85	3748.16	
7	4	0.04	146.475	-513.024	394.975	3.68289e-07	3.29787e-08	3.28692e-08	1.09558e-10	4.78775e-07	0.000230682	2.1274	0.00022988	8.01909e-07	0	9.51864e-05	3.65322	2.33616e-07	2.41968e-07	307.355	3440.67	3748.02	
7	6	0.06	203.08	-510.366	422.341	3.68289e-07	3.29789e-08	3.28543e-08	1.24578e-10	4.78775e-07	0.000230688	2.13007	0.000229776	9.11849e-07	0	9.9392e-05	3.89716	2.34165e-07	2.42231e-07	307.585	3440.33	3747.92	
7	8	0.08	259.673	-439.864	454.323	3.68294e-07	3.29735e-08	3.28361e-08	1.37476e-10	4.78782e-07	0.000230655	2.11536	0.000229649	1.00626e-06	0	9.19414e-05	3.88991	2.34149e-07	2.42196e-07	307.448	3440.37	3747.82	
6	10	0.1	315.988	-376.741	486.516	3.68298e-07	3.29691e-08	3.28191e-08	1.50059e-10	4.78788e-07	0.000230628	2.10351	0.00022953	1.09836e-06	0	7.5916e-05	3.88582	2.3414e-07	2.42167e-07	307.322	3440.41	3747.73	
7	12	0.12	373.153	-407.345	522.8	3.68304e-07	3.29636e-08	3.28008e-08	1.62747e-10	4.78795e-07	0.000230594	2.08819	0.000229403	1.19122e-06	0	6.96912e-05	3.87202	2.34109e-07	2.42128e-07	307.186	3440.45	3747.64	
8	14	0.14	430.942	-401.806	559.588	3.68309e-07	3.29581e-08	3.27826e-08	1.75488e-10	4.78802e-07	0.000230559	2.07297	0.000229275	1.28449e-06	0	5.86696e-05	3.85774	2.34077e-07	2.42089e-07	307.052	3440.49	3747.54	
6	16	0.16	488.545	-398.077	596.709	3.68315e-07	3.29528e-08	3.27645e-08	1.8828e-10	4.78809e-07	0.000230527	2.05843	0.000229148	1.37812e-06	0	5.00836e-05	3.84268	2.34043e-07	2.4205e-07	306.919	3440.53	3747.45	
-1	18	0.18	551.047	-394.169	633.814	3.6832e-07	3.29476e-08	3.27465e-08	2.01093e-10	4.78816e-07	0.000230495	2.04428	0.000229023	1.4719e-06	0	4.36577e-05	3.82845	2.34011e-07	2.42013e-07	306.789	3440.57	3747.36	
8	20	0.2	612.704	-384.507	670.283	3.68325e-07	3.29426e-08	3.2729e-08	2.13615e-10	4.78822e-07	0.000230463	2.03047	0.0002289	1.56356e-06	0	4.09851e-05	3.81483	2.3398e-07	2.41978e-07	306.66	3440.61	3747.27	
