CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
7	2	0.02	105.353	-285.73	370.569	3.68473e-07	3.27941e-08	3.27064e-08	8.76841e-11	4.79015e-07	0.000229384	1.55254	0.000228742	6.41804e-07	0	9.91967e-05	0.472658	2.26447e-07	2.37868e-07	302.307	3445.85	3748.16	
7	4	0.04	144.141	-513.023	394.975	3.6829e-07	3.29777e-08	3.28681e-08	1.09558e-10	4.78777e-07	0.000230675	2.12418	0.000229873	8.01908e-07	0	9.51861e-05	3.64616	2.336e-07	2.41959e-07	307.344	3440.68	3748.02	
7	6	0.06	191.834	-510.366	422.34	3.6829e-07	3.29778e-08	3.28533e-08	1.24578e-10	4.78776e-07	0.000230681	2.12685	0.000229769	9.11848e-07	0	9.93919e-05	3.89015	2.3415e-07	2.42223e-07	307.573	3440.34	3747.92	
9	8	0.08	240.629	-439.864	454.322	3.68295e-07	3.29727e-08	3.28352e-08	1.37476e-10	4.78783e-07	0.000230649	2.11275	0.000229643	1.00626e-06	0	9.19414e-05	3.8844	2.34137e-07	2.42189e-07	307.439	3440.38	3747.82	
6	10	0.1	287.426	-376.742	486.516	3.68299e-07	3.29685e-08	3.28185e-08	1.50059e-10	4.78789e-07	0.000230624	2.10162	0.000229526	1.09836e-06	0	7.59154e-05	3.88142	2.3413e-07	2.42162e-07	307.315	3440.41	3747.73	
6	12	0.12	334.321	-407.345	522.8	3.68304e-07	3.2963e-08	3.28003e-08	1.62746e-10	4.78796e-07	0.00023059	2.08647	0.000229399	1.19122e-06	0	6.96912e-05	3.86855	2.34101e-07	2.42124e-07	307.181	3440.46	3747.64	
6	14	0.14	386.461	-401.807	559.588	3.6831e-07	3.29576e-08	3.27821e-08	1.75488e-10	4.78803e-07	0.000230556	2.07145	0.000229271	1.28449e-06	0	5.86697e-05	3.85448	2.34069e-07	2.42085e-07	307.047	3440.5	3747.54	
6	16	0.16	442.132	-398.079	596.709	3.68315e-07	3.29525e-08	3.27642e-08	1.8828e-10	4.78809e-07	0.000230524	2.05752	0.000229146	1.37812e-06	0	5.00838e-05	3.84069	2.34038e-07	2.42048e-07	306.916	3440.54	3747.45	
6	18	0.18	496.885	-394.171	633.815	3.6832e-07	3.29473e-08	3.27462e-08	2.01093e-10	4.78816e-07	0.000230493	2.0434	0.000229021	1.4719e-06	0	4.36579e-05	3.82668	2.34007e-07	2.42011e-07	306.786	3440.58	3747.36	
7	20	0.2	554.435	-384.51	670.283	3.68325e-07	3.29423e-08	3.27287e-08	2.13616e-10	4.78823e-07	0.000230461	2.02961	0.000228898	1.56356e-06	0	4.09852e-05	3.81309	2.33976e-07	2.41976e-07	306.658	3440.61	3747.27	
-1	22	0.22	615.132	-378.555	706.813	3.6833e-07	3.29375e-08	3.27115e-08	2.25997e-10	4.78829e-07	0.000230432	2.01662	0.000228778	1.65418e-06	0	3.64024e-05	3.79887	2.33944e-07	2.41941e-07	306.53	3440.65	3747.18	
7	24	0.24	674.173	-373.923	743.143	3.68335e-07	3.29325e-08	3.26942e-08	2.38314e-10	4.78835e-07	0.000230401	2.00289	0.000228657	1.74434e-06	0	3.57029e-05	3.78596	2.33915e-07	2.41907e-07	306.405	3440.68	3747.09	
6	26	0.26	743.118	-369.478	779.054	3.6834e-07	3.29276e-08	3.2677e-08	2.50551e-10	4.78842e-07	0.00023037	1.98933	0.000228537	1.83391e-06	0	3.33364e-05	3.77135	2.33882e-07	2.41872e-07	306.279	3440.72	3747	
10	28	0.28	804.023	-363.773	814.472	3.68345e-07	3.29227e-08	3.266e-08	2.62691e-10	4.78848e-07	0.00023034	1.97596	0.000228417	1.92277e-06	0	3.46382e-05	3.75686	2.33849e-07	2.41838e-07	306.153	3440.75	3746.91	
6	30	0.3	861.664	-359.823	849.767	3.6835e-07	3.29179e-08	3.26431e-08	2.74752e-10	4.78854e-07	0.00023031	1.96275	0.000228299	2.01105e-06	0	3.59609e-05	3.74253	2.33817e-07	2.41804e-07	306.029	3440.79	3746.82	
6	32	0.32	920.044	-355.233	884.906	3.68354e-07	3.29131e-08	3.26264e-08	2.86712e-10	4.78861e-07	0.000230281	1.94983	0.000228183	2.09859e-06	0	3.71843e-05	3.72844	2.33785e-07	2.41771e-07	305.905	3440.82	3746.73	
5	34	0.34	978.646	-350.089	919.898	3.68359e-07	3.29084e-08	3.26099e-08	2.98561e-10	4.78867e-07	0.000230252	1.937	0.000228067	2.18532e-06	0	3.83169e-05	3.71464	2.33754e-07	2.41738e-07	305.782	3440.85	3746.64	
8	36	0.36	1041.32	-345.304	954.641	3.68363e-07	3.29039e-08	3.25934e-08	3.10502e-10	4.78872e-07	0.000230225	1.92482	0.000227952	2.27272e-06	0	3.94934e-05	3.70085	2.33723e-07	2.41705e-07	305.66	3440.89	3746.54	
10	38	0.38	1102.65	-339.857	988.884	3.68368e-07	3.28993e-08	3.25772e-08	3.22126e-10	4.78879e-07	0.000230196	1.91208	0.000227838	2.3578e-06	0	4.06191e-05	3.68813	2.33694e-07	2.41674e-07	305.539	3440.92	3746.45	
-1	40	0.4	1166.1	-339.729	1023.38	3.68373e-07	3.28946e-08	3.25608e-08	3.33843e-10	4.78885e-07	0.000230167	1.89932	0.000227724	2.44356e-06	0	4.216e-05	3.67421	2.33663e-07	2.41641e-07	305.417	3440.95	3746.36	
7	42	0.42	1228.76	-336.81	1057.66	3.68377e-07	3.289e-08	3.25445e-08	3.45524e-10	4.78891e-07	0.000230139	1.88671	0.00022761	2.52906e-06	0	4.3611e-05	3.66025	2.33631e-07	2.41609e-07	305.296	3440.98	3746.27	
10	44	0.44	1290.85	-335.092	1092.05	3.68382e-07	3.28854e-08	3.25282e-08	3.57195e-10	4.78897e-07	0.00023011	1.87408	0.000227496	2.61449e-06	0	4.50673e-05	3.64646	2.336e-07	2.41577e-07	305.175	3441.01	3746.18	
-1	46	0.46	1356.36	-330.889	1126.52	3.68387e-07	3.28807e-08	3.25119e-08	3.68834e-10	4.78903e-07	0.000230081	1.86133	0.000227382	2.69968e-06	0	4.64155e-05	3.63254	2.33569e-07	2.41544e-07	305.054	3441.04	3746.09	
7	48	0.48	1416.32	-328.223	1161.02	3.68391e-07	3.28761e-08	3.24957e-08	3.80475e-10	4.78909e-07	0.000230053	1.84879	0.000227268	2.78489e-06	0	4.77744e-05	3.61866	2.33538e-07	2.41512e-07	304.933	3441.07	3746	
-1	50	0.5	1479.13	-325.121	1195.22	3.68396e-07	3.28716e-08	3.24795e-08	3.9213e-10	4.78915e-07	0.000230025	1.83654	0.000227155	2.8702e-06	0	4.91365e-05	3.60522	2.33507e-07	2.4148e-07	304.813	3441.1	3745.91	
-1	52	0.52	1555.47	-323.405	1229.38	3.684e-07	3.28671e-08	3.24634e-08	4.03764e-10	4.7892e-07	0.000229998	1.8243	0.000227042	2.95535e-06	0	5.0501e-05	3.59196	2.33478e-07	2.41449e-07	304.694	3441.13	3745.82	
7	54	0.54	1618.25	-321.854	1263.59	3.68405e-07	3.28627e-08	3.24472e-08	4.15418e-10	4.78926e-07	0.00022997	1.81211	0.000226929	3.04065e-06	0	5.18988e-05	3.57869	2.33448e-07	2.41418e-07	304.574	3441.16	3745.73	
-1	56	0.56	1683.28	-320.019	1297.66	3.68409e-07	3.28582e-08	3.24312e-08	4.27072e-10	4.78932e-07	0.000229943	1.80015	0.000226817	3.12595e-06	0	5.32415e-05	3.56537	2.33418e-07	2.41387e-07	304.456	3441.19	3745.64	
