CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
8	2	0.02	130.034	-244.882	355.968	3.68494e-07	3.27735e-08	3.26904e-08	8.30582e-11	4.79042e-07	0.000229238	1.48803	0.00022863	6.07944e-07	0	8.80066e-05	0.278232	6.07035e-07	0	297.984	3397.18	3695.16	
7	4	0.04	198.411	-465.193	371.585	3.68292e-07	3.29753e-08	3.28737e-08	1.01606e-10	4.7878e-07	0.000230656	2.11558	0.000229912	7.43705e-07	0	8.99761e-05	2.00082	6.17462e-07	0	302.944	3392.09	3695.03	
7	6	0.06	273.977	-432.652	390.482	3.68292e-07	3.29753e-08	3.2862e-08	1.13356e-10	4.7878e-07	0.00023066	2.11738	0.00022983	8.29708e-07	0	9.28072e-05	2.12081	6.18189e-07	0	303.198	3391.73	3694.93	
6	8	0.08	349.916	-342.471	412.817	3.68295e-07	3.2972e-08	3.28483e-08	1.23726e-10	4.78784e-07	0.00023064	2.10857	0.000229734	9.05616e-07	0	7.95751e-05	2.11214	6.18136e-07	0	303.083	3391.76	3694.84	
7	10	0.1	424.483	-299.944	437.196	3.68299e-07	3.2968e-08	3.28349e-08	1.33066e-10	4.78789e-07	0.000230615	2.09746	0.000229641	9.73977e-07	0	5.92975e-05	2.10293	6.1808e-07	0	302.97	3391.78	3694.75	
7	12	0.12	504.625	-302.26	464.133	3.68304e-07	3.29633e-08	3.28207e-08	1.42536e-10	4.78795e-07	0.000230585	2.08434	0.000229542	1.04329e-06	0	5.74677e-05	2.08936	6.17998e-07	0	302.848	3391.81	3694.66	
5	14	0.14	585.692	-307.873	492.284	3.6831e-07	3.29579e-08	3.28057e-08	1.52156e-10	4.78802e-07	0.00023055	2.069	0.000229437	1.11371e-06	0	4.90734e-05	2.07517	6.17912e-07	0	302.724	3391.85	3694.58	
6	16	0.16	663.251	-299.278	519.617	3.68314e-07	3.2953e-08	3.27912e-08	1.61799e-10	4.78809e-07	0.000230519	2.05519	0.000229335	1.18429e-06	0	4.1377e-05	2.06083	6.17826e-07	0	302.601	3391.89	3694.49	
6	18	0.18	740.832	-282.275	546.653	3.68319e-07	3.29482e-08	3.27767e-08	1.71516e-10	4.78815e-07	0.000230489	2.04196	0.000229234	1.25541e-06	0	3.42261e-05	2.04709	6.17742e-07	0	302.48	3391.92	3694.4	
6	20	0.2	818.364	-298.196	574.594	3.68324e-07	3.29432e-08	3.27622e-08	1.80995e-10	4.78821e-07	0.000230457	2.0277	0.000229132	1.32479e-06	0	3.31556e-05	2.03281	6.17656e-07	0	302.358	3391.96	3694.32	
