CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
10	2	0.02	139.207	-179.337	332.658	3.68493e-07	3.27745e-08	3.26985e-08	7.59682e-11	4.79041e-07	0.000229243	1.49015	0.000228687	5.56049e-07	0	6.61663e-05	0.277629	6.07031e-07	0	298.161	3399.18	3697.34	
7	4	0.04	209.945	-392.285	337.836	3.68289e-07	3.29785e-08	3.28863e-08	9.21934e-11	4.78776e-07	0.000230675	2.12411	0.00023	6.7481e-07	0	7.56188e-05	2.00908	6.17512e-07	0	303.157	3394.06	3697.22	
6	6	0.06	296.524	-362.385	346.701	3.68289e-07	3.29781e-08	3.2878e-08	1.00066e-10	4.78776e-07	0.000230675	2.12406	0.000229942	7.32436e-07	0	8.28817e-05	2.12845	6.18235e-07	0	303.41	3393.71	3697.12	
8	8	0.08	386.324	-303.293	366.563	3.68293e-07	3.29742e-08	3.28655e-08	1.08694e-10	4.78781e-07	0.00023065	2.11321	0.000229855	7.95585e-07	0	6.8999e-05	2.11785	6.18171e-07	0	303.29	3393.73	3697.02	
7	10	0.1	475.69	-296.335	391.572	3.68298e-07	3.29689e-08	3.28515e-08	1.17396e-10	4.78788e-07	0.000230616	2.0982	0.000229757	8.59281e-07	0	6.64372e-05	2.10512	6.18094e-07	0	303.168	3393.77	3696.94	
6	12	0.12	564.679	-277.194	416.209	3.68303e-07	3.2964e-08	3.28378e-08	1.26164e-10	4.78794e-07	0.000230585	2.08412	0.000229661	9.23454e-07	0	5.03931e-05	2.08947	6.17999e-07	0	303.039	3393.81	3696.85	
7	14	0.14	658.79	-271.161	440.913	3.68309e-07	3.29586e-08	3.28238e-08	1.3472e-10	4.78801e-07	0.00023055	2.06861	0.000229563	9.86083e-07	0	4.50693e-05	2.0749	6.17911e-07	0	302.914	3393.84	3696.76	
8	16	0.16	760.946	-263.464	465.073	3.68314e-07	3.29536e-08	3.28105e-08	1.43135e-10	4.78808e-07	0.000230518	2.05444	0.00022947	1.04767e-06	0	4.00988e-05	2.06034	6.17823e-07	0	302.791	3393.88	3696.67	
5	18	0.18	864.248	-259.289	488.832	3.68319e-07	3.29485e-08	3.2797e-08	1.51452e-10	4.78815e-07	0.000230484	2.0398	0.000229376	1.10855e-06	0	3.48291e-05	2.0454	6.17732e-07	0	302.667	3393.92	3696.59	
10	20	0.2	969.541	-250.232	512.037	3.68324e-07	3.29436e-08	3.2784e-08	1.59562e-10	4.78821e-07	0.000230453	2.02574	0.000229285	1.16791e-06	0	3.03015e-05	2.03099	6.17645e-07	0	302.546	3393.95	3696.5	
10	22	0.22	1075.04	-246.533	535.11	3.68329e-07	3.29387e-08	3.27711e-08	1.67512e-10	4.78827e-07	0.000230421	2.0117	0.000229195	1.2261e-06	0	2.82192e-05	2.01667	6.17558e-07	0	302.426	3393.99	3696.42	
7	24	0.24	1175.91	-240.085	557.714	3.68334e-07	3.29338e-08	3.27585e-08	1.75315e-10	4.78834e-07	0.00023039	1.99784	0.000229106	1.28322e-06	0	2.9461e-05	2.00255	6.17473e-07	0	302.307	3394.02	3696.33	
-1	26	0.26	1300.97	-233.348	579.982	3.68338e-07	3.29294e-08	3.27461e-08	1.83256e-10	4.78839e-07	0.000230361	1.98518	0.00022902	1.34134e-06	0	3.08021e-05	1.98865	6.17389e-07	0	302.189	3394.06	3696.25	
7	28	0.28	1407.77	-229.168	601.425	3.68343e-07	3.29247e-08	3.27341e-08	1.90591e-10	4.78846e-07	0.000230331	1.97173	0.000228936	1.39503e-06	0	3.21891e-05	1.97593	6.17312e-07	0	302.074	3394.09	3696.16	
-1	30	0.3	1519.37	-229.782	623.236	3.68347e-07	3.29201e-08	3.27221e-08	1.98049e-10	4.78851e-07	0.000230301	1.95866	0.000228852	1.44962e-06	0	3.37479e-05	1.9625	6.1723e-07	0	301.959	3394.12	3696.08	
-1	32	0.32	1632.74	-227.582	644.841	3.68352e-07	3.29156e-08	3.27101e-08	2.05466e-10	4.78857e-07	0.000230272	1.94575	0.000228768	1.50391e-06	0	3.5087e-05	1.94934	6.17151e-07	0	301.844	3394.15	3695.99	
-1	34	0.34	1745.89	-224.9	666.174	3.68356e-07	3.29112e-08	3.26983e-08	2.12843e-10	4.78863e-07	0.000230244	1.93316	0.000228686	1.5579e-06	0	3.64112e-05	1.93655	6.17073e-07	0	301.731	3394.18	3695.91	
6	36	0.36	1842.25	-221.933	687.631	3.68361e-07	3.29067e-08	3.26866e-08	2.20092e-10	4.78869e-07	0.000230215	1.92037	0.000228604	1.61096e-06	0	3.77014e-05	1.92366	6.16995e-07	0	301.618	3394.21	3695.83	
-1	38	0.38	1953.55	-218.079	708.909	3.68365e-07	3.29023e-08	3.26749e-08	2.27333e-10	4.78875e-07	0.000230186	1.90767	0.000228522	1.66396e-06	0	3.89531e-05	1.91079	6.16917e-07	0	301.505	3394.24	3695.74	
-1	40	0.4	2059.58	-209.474	729.586	3.68369e-07	3.28981e-08	3.26635e-08	2.34597e-10	4.7888e-07	0.000230159	1.89582	0.000228442	1.71714e-06	0	4.01987e-05	1.89881	6.16845e-07	0	301.395	3394.27	3695.66	
-1	42	0.42	2172.43	-219.063	750.748	3.68374e-07	3.28937e-08	3.26518e-08	2.4186e-10	4.78886e-07	0.000230131	1.88314	0.00022836	1.77029e-06	0	4.21421e-05	1.88594	6.16767e-07	0	301.283	3394.29	3695.58	
7	44	0.44	2278.55	-218.604	771.863	3.68378e-07	3.28892e-08	3.26401e-08	2.4911e-10	4.78892e-07	0.000230102	1.87047	0.000228279	1.82336e-06	0	4.36442e-05	1.87316	6.1669e-07	0	301.171	3394.32	3695.49	
-1	46	0.46	2391.03	-217.533	792.992	3.68383e-07	3.28848e-08	3.26284e-08	2.56337e-10	4.78897e-07	0.000230073	1.8577	0.000228197	1.87626e-06	0	4.51249e-05	1.86034	6.16612e-07	0	301.059	3394.35	3695.41	
-1	48	0.48	2502.47	-215.345	814.086	3.68387e-07	3.28803e-08	3.26168e-08	2.63565e-10	4.78903e-07	0.000230044	1.845	0.000228115	1.92916e-06	0	4.65565e-05	1.84738	6.16533e-07	0	300.947	3394.38	3695.33	
-1	50	0.5	2613.31	-214.18	835.181	3.68391e-07	3.28761e-08	3.26053e-08	2.70812e-10	4.78909e-07	0.000230017	1.83283	0.000228035	1.98221e-06	0	4.79738e-05	1.83479	6.16457e-07	0	300.836	3394.41	3695.25	
10	52	0.52	2734.29	-208.711	855.994	3.68395e-07	3.2872e-08	3.25939e-08	2.78074e-10	4.78914e-07	0.000229991	1.82126	0.000227955	2.03536e-06	0	4.93218e-05	1.82312	6.16387e-07	0	300.728	3394.43	3695.16	
-1	54	0.54	2844.86	-211.348	877.228	3.684e-07	3.28678e-08	3.25824e-08	2.85329e-10	4.7892e-07	0.000229963	1.80915	0.000227875	2.08847e-06	0	5.07659e-05	1.81083	6.16312e-07	0	300.618	3394.46	3695.08	
-1	56	0.56	2955.43	-211.58	898.558	3.68404e-07	3.28635e-08	3.25709e-08	2.926e-10	4.78925e-07	0.000229936	1.79716	0.000227795	2.14168e-06	0	5.21744e-05	1.79867	6.16239e-07	0	300.509	3394.49	3695	
-1	58	0.58	3065.94	-212.335	920.033	3.68408e-07	3.28593e-08	3.25594e-08	2.999e-10	4.78931e-07	0.000229909	1.78506	0.000227714	2.19512e-06	0	5.35648e-05	1.7865	6.16165e-07	0	300.399	3394.51	3694.91	
