CodeConvergence	Compteur	Temps	TempsCPU	divV	SumGs	vA	vM	vl	vs	mA	mM	mMpct	ml	ms	Vmin	Vmax	msoluteM_pct	msoluteM	msolute	eM	eA	e_system	
8	2	0.00	192.329	-1939.28	633.2	3.6847e-07	3.27969e-08	3.26248e-08	1.7207e-10	4.79012e-07	0.00022585082	1.57346	0.000228172	1.25947e-06	0	0.000422649	0.482787	2.2647e-07	2.37889e-07	302.138	3445.83	3747.97	
8	2	0.02	192.329	-1939.28	633.2	3.6847e-07	3.27969e-08	3.26248e-08	1.7207e-10	4.79012e-07	0.000229431	1.57346	0.000228172	1.25947e-06	0	0.000422649	0.482787	2.2647e-07	2.37889e-07	302.138	3445.83	3747.97	
9	4	0.04	315.701	-1742.16	778.354	3.68298e-07	3.29697e-08	3.27349e-08	2.3486e-10	4.78787e-07	0.00023066	2.11766	0.000228941	1.71906e-06	0	0.000348742	3.59305	2.3348e-07	2.41904e-07	306.954	3440.78	3747.73	
8	6	0.06	439.228	-1420.4	892.72	3.68295e-07	3.29726e-08	3.26927e-08	2.79887e-10	4.78783e-07	0.000230695	2.13297	0.000228646	2.04863e-06	0	0.000208775	3.88538	2.34139e-07	2.42225e-07	307.166	3440.37	3747.54	
9	8	0.08	567.086	-1252.83	1003.76	3.683e-07	3.2967e-08	3.26463e-08	3.20763e-10	4.7879e-07	0.000230669	2.12166	0.000228322	2.34782e-06	0	0.000156955	3.88451	2.34137e-07	2.42196e-07	306.958	3440.41	3747.37	
7	10	0.1	688.921	-1136.57	1111.31	3.68306e-07	3.29611e-08	3.26027e-08	3.5836e-10	4.78798e-07	0.00023064	2.10859	0.000228017	2.62301e-06	0	0.000120468	3.87891	2.34124e-07	2.42164e-07	306.755	3440.45	3747.2	
6	12	0.12	807.026	-1042.89	1215.13	3.68313e-07	3.29546e-08	3.25606e-08	3.94007e-10	4.78807e-07	0.000230606	2.0938	0.000227722	2.88393e-06	0	9.01382e-05	3.86331	2.34089e-07	2.42121e-07	306.546	3440.49	3747.04	
9	14	0.14	933.091	-970.524	1313.77	3.68319e-07	3.29484e-08	3.25206e-08	4.27831e-10	4.78815e-07	0.000230574	2.07952	0.000227443	3.13151e-06	0	7.62789e-05	3.8465	2.34051e-07	2.42077e-07	306.343	3440.54	3746.88	
6	16	0.16	1049.37	-907.544	1407.38	3.68325e-07	3.29426e-08	3.24822e-08	4.60442e-10	4.78822e-07	0.000230544	2.06619	0.000227174	3.37021e-06	0	6.47304e-05	3.83169	2.34018e-07	2.42038e-07	306.148	3440.58	3746.73	
6	18	0.18	1164.63	-852.97	1496.18	3.6833e-07	3.2937e-08	3.24453e-08	4.9169e-10	4.78829e-07	0.000230515	2.05336	0.000226916	3.59892e-06	0	9.2835e-05	3.81939	2.3399e-07	2.42002e-07	305.96	3440.62	3746.58	
