d_interface,d_interface_regular,Concentration,Concentration_M,FractionBCC_c,FractionFCC_c,FractionCEM_c,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0,0.00125433,0.10557,0.10557,1,0,0,1,0,0,0,0,0,0
0,0.00125433,0.105545,0.105545,1,0,0,1,8e-006,0,0,8e-006,1,0
3.86832e-036,0.00125432,0.10552,0.10552,1,0,0,1,1.6e-005,0,0,1.6e-005,2,0
3.86832e-036,0.00125432,0.105495,0.105495,1,0,0,1,2.4e-005,0,0,2.4e-005,3,0
0,0.00125432,0.105471,0.105471,1,0,0,1,3.2e-005,0,0,3.2e-005,4,0
1.93416e-036,0.00125431,0.105446,0.105446,1,0,0,1,4e-005,0,0,4e-005,5,0
-3.86832e-036,0.00125431,0.105421,0.105421,1,0,0,1,4.8e-005,0,0,4.8e-005,6,0
-9.67081e-037,0.00125431,0.105396,0.105396,1,0,0,1,5.6e-005,0,0,5.6e-005,7,0
0,0.0012543,0.105371,0.105371,1,0,0,1,6.4e-005,0,0,6.4e-005,8,0
-9.67081e-037,0.0012543,0.105346,0.105346,1,0,0,1,7.2e-005,0,0,7.2e-005,9,0
-1.81328e-036,0.0012543,0.105322,0.105322,1,0,0,1,8e-005,0,0,8e-005,10,0
-1.20885e-036,0.0012543,0.105297,0.105297,1,0,0,1,8.8e-005,0,0,8.8e-005,11,0
1.93416e-036,0.00125429,0.105272,0.105272,1,0,0,1,9.6e-005,0,0,9.6e-005,12,0
0,0.00125449,0.105176,0.105176,1,0,0,1,0.000104,0,0,0.000104,13,0
0,0.00125505,0.104951,0.104951,1,0,0,1,0.000112,0,0,0.000112,14,0
0,0.00125561,0.104727,0.104727,1,0,0,1,0.00012,0,0,0.00012,15,0
0,0.00125617,0.104502,0.104502,1,0,0,1,0.000128,0,0,0.000128,16,0
0,0.00125673,0.104277,0.104277,1,0,0,1,0.000136,0,0,0.000136,17,0
0,0.00125729,0.104053,0.104053,1,0,0,1,0.000144,0,0,0.000144,18,0
0,0.00125785,0.103828,0.103828,1,0,0,1,0.000152,0,0,0.000152,19,0
0,0.00125841,0.103604,0.103604,1,0,0,1,0.00016,0,0,0.00016,20,0
0,0.00125897,0.103379,0.103379,1,0,0,1,0.000168,0,0,0.000168,21,0
0,0.00125953,0.103154,0.103154,1,0,0,1,0.000176,0,0,0.000176,22,0
