Result	Concentration_M	FractionBCC_c	FractionFCC_c	FractionCEM_c	arc_length
0.105469	0.105469	0.984235	0	0.0157648	0
0.105442	0.105442	0.984239	0	0.0157606	6.35E-06
0.105415	0.105415	0.984243	0	0.0157563	1.27E-05
0.105388	0.105388	0.984248	0	0.0157521	1.90E-05
0.105361	0.105361	0.984252	0	0.0157478	2.54E-05
0.105333	0.105333	0.984256	0	0.0157436	3.17E-05
0.105306	0.105306	0.98426	0	0.0157393	3.81E-05
0.105279	0.105279	0.984264	0	0.0157351	4.44E-05
0.105252	0.105252	0.984269	0	0.0157309	5.08E-05
0.105225	0.105225	0.984273	0	0.0157266	5.71E-05
0.105198	0.105198	0.984277	0	0.0157224	6.35E-05
0.105171	0.105171	0.984281	0	0.0157181	6.98E-05
0.105144	0.105144	0.984285	0	0.0157139	7.62E-05
0.105117	0.105117	0.98429	0	0.0157097	8.25E-05
0.105089	0.105089	0.984294	0	0.0157054	8.89E-05
0.105062	0.105062	0.984298	0	0.0157012	9.52E-05
0.105027	0.105027	0.984303	0	0.0156957	0.000101559
0.104874	0.104874	0.984327	0	0.0156725	0.000107906
0.104722	0.104722	0.98435	0	0.0156494	0.000114254
0.104569	0.104569	0.984373	0	0.0156262	0.000120601
0.104416	0.104416	0.984396	0	0.015603	0.000126949
0.104264	0.104264	0.984419	0	0.0155799	0.000133296
0.104111	0.104111	0.984443	0	0.0155567	0.000139643
0.103958	0.103958	0.984466	0	0.0155335	0.000145991
0.103806	0.103806	0.984489	0	0.0155104	0.000152338
0.103653	0.103653	0.984512	0	0.0154872	0.000158686
0.1035	0.1035	0.984535	0	0.015464	0.000165033
0.103347	0.103347	0.984558	0	0.0154408	0.000171381
0.103194	0.103194	0.984582	0	0.0154176	0.000177728
0.10304	0.10304	0.984605	0	0.0153939	0.000184075
0.102885	0.102885	0.984629	0	0.0153702	0.000190423
0.10273	0.10273	0.984653	0	0.0153465	0.00019677
0.102575	0.102575	0.984677	0	0.0153228	0.000203118
0.10242	0.10242	0.984701	0	0.015299	0.000209465
0.102265	0.102265	0.984724	0	0.0152753	0.000215813
0.10211	0.10211	0.984748	0	0.0152516	0.00022216
0.101955	0.101955	0.984772	0	0.0152279	0.000228507
0.101801	0.101801	0.984796	0	0.0152042	0.000234855
0.101646	0.101646	0.984819	0	0.0151805	0.000241202
0.101491	0.101491	0.984843	0	0.0151568	0.00024755
0.101349	0.101349	0.984865	0	0.0151349	0.000253897
0.101272	0.101272	0.984877	0	0.0151227	0.000260245
0.101196	0.101196	0.984889	0	0.0151104	0.000266592
0.10112	0.10112	0.984902	0	0.0150982	0.000272939
0.101043	0.101043	0.984914	0	0.015086	0.000279287
0.100967	0.100967	0.984926	0	0.0150737	0.000285634
0.100891	0.100891	0.984938	0	0.0150615	0.000291982
0.100814	0.100814	0.98495	0	0.0150492	0.000298329
0.100738	0.100738	0.984963	0	0.015037	0.000304677
0.100662	0.100662	0.984975	0	0.0150247	0.000311024
0.100586	0.100586	0.984987	0	0.0150125	0.000317372
0.100509	0.100509	0.984999	0	0.0150003	0.000323719
0.100445	0.100445	0.98501	0	0.0149897	0.000330066
0.100423	0.100423	0.985014	0	0.0149853	0.000336414
0.100402	0.100402	0.985019	0	0.014981	0.000342761
0.100381	0.100381	0.985023	0	0.0149767	0.000349109
0.10036	0.10036	0.985027	0	0.0149723	0.000355456
0.100339	0.100339	0.985032	0	0.014968	0.000361804
0.100318	0.100318	0.985036	0	0.0149636	0.000368151
0.100296	0.100296	0.98504	0	0.0149593	0.000374498
0.100275	0.100275	0.985045	0	0.0149549	0.000380846
0.100254	0.100254	0.985049	0	0.0149506	0.000387193
0.100233	0.100233	0.985053	0	0.0149463	0.000393541
0.100212	0.100212	0.985058	0	0.0149419	0.000399888
0.100207	0.100207	0.98506	0	0.01494	0.000406236
0.100252	0.100252	0.985055	0	0.0149448	0.000412583
0.100296	0.100296	0.98505	0	0.0149497	0.00041893
0.10034	0.10034	0.985045	0	0.0149546	0.000425278
0.100385	0.100385	0.98504	0	0.0149594	0.000431625
0.100429	0.100429	0.985035	0	0.0149643	0.000437973
0.100474	0.100474	0.985031	0	0.0149692	0.00044432
0.100518	0.100518	0.985026	0	0.0149741	0.000450668
0.100562	0.100562	0.985021	0	0.0149789	0.000457015
0.100607	0.100607	0.985016	0	0.0149838	0.000463362
0.100651	0.100651	0.985011	0	0.0149887	0.00046971
0.100695	0.100695	0.985006	0	0.0149935	0.000476057
0.10074	0.10074	0.985002	0	0.0149984	0.000482405
0.100784	0.100784	0.984997	0	0.0150033	0.000488752
0.100828	0.100828	0.984992	0	0.0150082	0.0004951
0.100873	0.100873	0.984987	0	0.015013	0.000501447
0.100917	0.100917	0.984982	0	0.0150179	0.000507794
0.100961	0.100961	0.984977	0	0.0150228	0.000514142
0.101006	0.101006	0.984972	0	0.0150276	0.000520489
0.10105	0.10105	0.984968	0	0.0150325	0.000526837
0.101094	0.101094	0.984963	0	0.0150374	0.000533184
0.101138	0.101138	0.984958	0	0.0150422	0.000539532
0.101123	0.101123	0.984963	0	0.0150374	0.000545879
0.101108	0.101108	0.984968	0	0.0150326	0.000552226
0.101093	0.101093	0.984972	0	0.0150279	0.000558574
0.101078	0.101078	0.984977	0	0.0150231	0.000564921
0.101064	0.101064	0.984982	0	0.0150183	0.000571269
0.101049	0.101049	0.984987	0	0.0150136	0.000577616
0.101034	0.101034	0.984992	0	0.0150088	0.000583964
0.101019	0.101019	0.984996	0	0.0150041	0.000590311
0.101004	0.101004	0.985001	0	0.0149993	0.000596658
0.100989	0.100989	0.985006	0	0.0149945	0.000603006
0.100974	0.100974	0.985011	0	0.0149898	0.000609353
0.10096	0.10096	0.985015	0	0.014985	0.000615701
0.100945	0.100945	0.98502	0	0.0149802	0.000622048
0.10093	0.10093	0.985025	0	0.0149755	0.000628396
0.100915	0.100915	0.98503	0	0.0149707	0.000634743
0.1009	0.1009	0.985035	0	0.014966	0.00064109
0.100885	0.100885	0.985039	0	0.0149612	0.000647438
0.100875	0.100875	0.985044	0	0.0149569	0.000653785
0.10088	0.10088	0.985046	0	0.0149543	0.000660133
0.100884	0.100884	0.985049	0	0.0149516	0.00066648
0.100889	0.100889	0.985052	0	0.0149489	0.000672828
0.100893	0.100893	0.985054	0	0.0149462	0.000679175
0.100898	0.100898	0.985057	0	0.0149435	0.000685522
0.100902	0.100902	0.985059	0	0.0149408	0.00069187
0.100907	0.100907	0.985062	0	0.0149382	0.000698217
0.100911	0.100911	0.985065	0	0.0149355	0.000704565
0.100916	0.100916	0.985067	0	0.0149328	0.000710912
0.10092	0.10092	0.98507	0	0.0149301	0.00071726
0.100925	0.100925	0.985073	0	0.0149274	0.000723607
0.100929	0.100929	0.985075	0	0.0149247	0.000729954
0.100934	0.100934	0.985078	0	0.014922	0.000736302
0.100938	0.100938	0.985081	0	0.0149194	0.000742649
0.100943	0.100943	0.985083	0	0.0149167	0.000748997
0.100947	0.100947	0.985086	0	0.014914	0.000755344
0.100952	0.100952	0.985089	0	0.0149113	0.000761692
0.10096	0.10096	0.985091	0	0.0149087	0.000768039
0.100972	0.100972	0.985094	0	0.0149062	0.000774386
0.100983	0.100983	0.985096	0	0.0149037	0.000780734
0.100995	0.100995	0.985099	0	0.0149012	0.000787081
0.101007	0.101007	0.985101	0	0.0148987	0.000793429
0.101019	0.101019	0.985104	0	0.0148962	0.000799776
0.101031	0.101031	0.985106	0	0.0148937	0.000806124
0.101043	0.101043	0.985109	0	0.0148912	0.000812471
0.101055	0.101055	0.985111	0	0.0148887	0.000818818
0.101067	0.101067	0.985114	0	0.0148862	0.000825166
0.101079	0.101079	0.985116	0	0.0148837	0.000831513
0.101091	0.101091	0.985119	0	0.0148812	0.000837861
0.101103	0.101103	0.985121	0	0.0148787	0.000844208
0.101114	0.101114	0.985124	0	0.0148762	0.000850556
0.101126	0.101126	0.985126	0	0.0148737	0.000856903
0.101138	0.101138	0.985129	0	0.0148712	0.00086325
0.10115	0.10115	0.985131	0	0.0148686	0.000869598
0.101162	0.101162	0.985134	0	0.0148661	0.000875945
0.101174	0.101174	0.985136	0	0.0148636	0.000882293
0.101186	0.101186	0.985139	0	0.0148611	0.00088864
0.101198	0.101198	0.985141	0	0.0148586	0.000894988
0.10121	0.10121	0.985144	0	0.0148561	0.000901335
0.10123	0.10123	0.985146	0	0.0148543	0.000907682
0.101256	0.101256	0.985147	0	0.0148529	0.00091403
0.101282	0.101282	0.985148	0	0.0148516	0.000920377
0.101309	0.101309	0.98515	0	0.0148502	0.000926725
0.101335	0.101335	0.985151	0	0.0148489	0.000933072
0.101362	0.101362	0.985152	0	0.0148476	0.00093942
0.101388	0.101388	0.985154	0	0.0148462	0.000945767
0.101415	0.101415	0.985155	0	0.0148449	0.000952114
0.101441	0.101441	0.985156	0	0.0148435	0.000958462
0.101468	0.101468	0.985158	0	0.0148422	0.000964809
0.101494	0.101494	0.985159	0	0.0148409	0.000971157
0.101521	0.101521	0.98516	0	0.0148395	0.000977504
0.101547	0.101547	0.985162	0	0.0148382	0.000983852
0.101573	0.101573	0.985163	0	0.0148368	0.000990199
0.1016	0.1016	0.985164	0	0.0148355	0.000996546
0.101626	0.101626	0.985166	0	0.0148342	0.00100289
0.101653	0.101653	0.985167	0	0.0148328	0.00100924
0.101679	0.101679	0.985168	0	0.0148315	0.00101559
0.101706	0.101706	0.98517	0	0.0148301	0.00102194
0.101732	0.101732	0.985171	0	0.0148288	0.00102828
0.101759	0.101759	0.985172	0	0.0148274	0.00103463
0.101785	0.101785	0.985174	0	0.0148261	0.00104098
0.10178	0.10178	0.98518	0	0.0148195	0.00104733
0.101756	0.101756	0.98519	0	0.0148097	0.00105367
0.101732	0.101732	0.9852	0	0.0147999	0.00106002
0.101707	0.101707	0.98521	0	0.0147902	0.00106637
0.101683	0.101683	0.985219	0	0.0147804	0.00107272
0.101659	0.101659	0.985229	0	0.0147706	0.00107906
0.101635	0.101635	0.985239	0	0.0147608	0.00108541
0.101611	0.101611	0.985249	0	0.014751	0.00109176
0.101586	0.101586	0.985259	0	0.0147413	0.00109811
0.101562	0.101562	0.985268	0	0.0147315	0.00110445
0.101538	0.101538	0.985278	0	0.0147217	0.0011108
0.101514	0.101514	0.985288	0	0.0147119	0.00111715
0.10149	0.10149	0.985298	0	0.0147021	0.0011235
0.101465	0.101465	0.985308	0	0.0146924	0.00112984
0.101441	0.101441	0.985317	0	0.0146826	0.00113619
0.101417	0.101417	0.985327	0	0.0146728	0.00114254
0.101393	0.101393	0.985337	0	0.014663	0.00114888
0.101369	0.101369	0.985347	0	0.0146532	0.00115523
0.101345	0.101345	0.985357	0	0.0146435	0.00116158
0.101357	0.101357	0.985361	0	0.0146387	0.00116793
0.101398	0.101398	0.985362	0	0.0146379	0.00117427
0.101439	0.101439	0.985363	0	0.014637	0.00118062
0.10148	0.10148	0.985364	0	0.0146361	0.00118697
0.101521	0.101521	0.985365	0	0.0146353	0.00119332
0.101562	0.101562	0.985366	0	0.0146344	0.00119966
0.101603	0.101603	0.985367	0	0.0146336	0.00120601
0.101644	0.101644	0.985367	0	0.0146327	0.00121236
0.101685	0.101685	0.985368	0	0.0146318	0.00121871
0.101726	0.101726	0.985369	0	0.014631	0.00122505
0.101767	0.101767	0.98537	0	0.0146301	0.0012314
0.101808	0.101808	0.985371	0	0.0146292	0.00123775
0.101849	0.101849	0.985372	0	0.0146284	0.0012441
0.10189	0.10189	0.985372	0	0.0146275	0.00125044
0.101931	0.101931	0.985373	0	0.0146267	0.00125679
0.101972	0.101972	0.985374	0	0.0146258	0.00126314
0.102013	0.102013	0.985375	0	0.0146249	0.00126949
0.102054	0.102054	0.985376	0	0.0146241	0.00127583
0.102095	0.102095	0.985377	0	0.0146232	0.00128218
0.102121	0.102121	0.98538	0	0.0146198	0.00128853
0.102134	0.102134	0.985386	0	0.0146139	0.00129488
0.102146	0.102146	0.985392	0	0.014608	0.00130122
0.102158	0.102158	0.985398	0	0.0146021	0.00130757
0.102171	0.102171	0.985404	0	0.0145962	0.00131392
0.102183	0.102183	0.98541	0	0.0145902	0.00132027
0.102195	0.102195	0.985416	0	0.0145843	0.00132661
0.102208	0.102208	0.985421	0	0.0145784	0.00133296
0.10222	0.10222	0.985427	0	0.0145725	0.00133931
0.102232	0.102232	0.985433	0	0.0145666	0.00134566
0.102245	0.102245	0.985439	0	0.0145607	0.001352
0.102257	0.102257	0.985445	0	0.0145547	0.00135835
0.102269	0.102269	0.985451	0	0.0145488	0.0013647
0.102282	0.102282	0.985457	0	0.0145429	0.00137104
0.102294	0.102294	0.985463	0	0.014537	0.00137739
0.102306	0.102306	0.985469	0	0.0145311	0.00138374
0.102319	0.102319	0.985475	0	0.0145252	0.00139009
0.102331	0.102331	0.985481	0	0.0145193	0.00139643
0.102343	0.102343	0.985486	0	0.0145133	0.00140278
0.102356	0.102356	0.985492	0	0.0145074	0.00140913
0.102368	0.102368	0.985498	0	0.0145015	0.00141548
0.10238	0.10238	0.985504	0	0.0144956	0.00142182
0.102393	0.102393	0.98551	0	0.0144897	0.00142817
0.102406	0.102406	0.985516	0	0.0144839	0.00143452
0.102406	0.102406	0.985524	0	0.0144754	0.00144087
0.102408	0.102408	0.985533	0	0.0144672	0.00144721
0.102409	0.102409	0.985541	0	0.0144589	0.00145356
0.10241	0.10241	0.985549	0	0.0144506	0.00145991
0.102411	0.102411	0.985557	0	0.0144423	0.00146626
0.102413	0.102413	0.985566	0	0.014434	0.0014726
0.102414	0.102414	0.985574	0	0.0144257	0.00147895
0.102415	0.102415	0.985582	0	0.0144174	0.0014853
0.102417	0.102417	0.985591	0	0.0144091	0.00149165
0.102418	0.102418	0.985599	0	0.0144008	0.00149799
0.102419	0.102419	0.985607	0	0.0143925	0.00150434
0.10242	0.10242	0.985615	0	0.0143842	0.00151069
0.102422	0.102422	0.985624	0	0.0143759	0.00151704
0.102423	0.102423	0.985632	0	0.0143676	0.00152338
0.102424	0.102424	0.98564	0	0.0143593	0.00152973
0.102426	0.102426	0.985648	0	0.014351	0.00153608
0.102427	0.102427	0.985657	0	0.0143427	0.00154243
0.102428	0.102428	0.985665	0	0.0143344	0.00154877
0.102429	0.102429	0.985673	0	0.0143261	0.00155512
0.102431	0.102431	0.985682	0	0.0143178	0.00156147
0.102432	0.102432	0.98569	0	0.0143095	0.00156782
0.102399	0.102399	0.985703	0	0.0142959	0.00157416
0.102267	0.102267	0.985732	0	0.0142672	0.00158051
0.102134	0.102134	0.985761	0	0.0142384	0.00158686
0.102002	0.102002	0.98579	0	0.0142096	0.0015932
0.101869	0.101869	0.985819	0	0.0141808	0.00159955
0.101737	0.101737	0.985848	0	0.014152	0.0016059
0.101604	0.101604	0.985877	0	0.0141232	0.00161225
