Concentration,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.105469,1,0,0,0,0,0,0
0.105435,1,8e-006,0,0,8e-006,1,0
0.105401,1,1.6e-005,0,0,1.6e-005,2,1
0.105366,1,2.4e-005,0,0,2.4e-005,3,0
0.105332,1,3.2e-005,0,0,3.2e-005,4,0
0.105298,1,4e-005,0,0,4e-005,5,0
0.105264,1,4.8e-005,0,0,4.8e-005,6,0
0.10523,1,5.6e-005,0,0,5.6e-005,7,0
0.105196,1,6.4e-005,0,0,6.4e-005,8,0
0.105161,1,7.2e-005,0,0,7.2e-005,9,0
0.105127,1,8e-005,0,0,8e-005,10,0
0.105093,1,8.8e-005,0,0,8.8e-005,11,0
0.105059,1,9.6e-005,0,0,9.6e-005,12,0
0.104968,1,0.000104,0,0,0.000104,13,0
0.104776,1,0.000112,0,0,0.000112,14,0
0.104583,1,0.00012,0,0,0.00012,15,0
0.104391,1,0.000128,0,0,0.000128,16,0
0.104199,1,0.000136,0,0,0.000136,17,0
0.104006,1,0.000144,0,0,0.000144,18,0
0.103814,1,0.000152,0,0,0.000152,19,0
0.103621,1,0.00016,0,0,0.00016,20,0
0.103429,1,0.000168,0,0,0.000168,21,0
0.103236,1,0.000176,0,0,0.000176,22,0
0.103041,1,0.000184,0,0,0.000184,23,0
0.102846,1,0.000192,0,0,0.000192,24,0
0.102651,1,0.0002,0,0,0.0002,25,0
0.102456,1,0.000208,0,0,0.000208,26,0
0.102261,1,0.000216,0,0,0.000216,27,0
0.102065,1,0.000224,0,0,0.000224,28,0
0.10187,1,0.000232,0,0,0.000232,29,0
0.101675,1,0.00024,0,0,0.00024,30,0
0.10148,1,0.000248,0,0,0.000248,31,0
0.101323,1,0.000256,0,0,0.000256,32,0
0.101227,1,0.000264,0,0,0.000264,33,0
0.101131,1,0.000272,0,0,0.000272,34,0
0.101035,1,0.00028,0,0,0.00028,35,0
0.100939,1,0.000288,0,0,0.000288,36,0
0.100842,1,0.000296,0,0,0.000296,37,0
0.100746,1,0.000304,0,0,0.000304,38,0
0.10065,1,0.000312,0,0,0.000312,39,0
0.100554,1,0.00032,0,0,0.00032,40,0
0.100458,1,0.000328,0,0,0.000328,41,0
0.100425,1,0.000336,0,0,0.000336,42,0
0.100398,1,0.000344,0,0,0.000344,43,0
0.100371,1,0.000352,0,0,0.000352,44,0
0.100345,1,0.00036,0,0,0.00036,45,0
0.100318,1,0.000368,0,0,0.000368,46,0
0.100291,1,0.000376,0,0,0.000376,47,0
0.100265,1,0.000384,0,0,0.000384,48,0
0.100238,1,0.000392,0,0,0.000392,49,0
0.100211,1,0.0004,0,0,0.0004,50,0
0.10022,1,0.000408,0,0,0.000408,51,0
0.100276,1,0.000416,0,0,0.000416,52,0
0.100332,1,0.000424,0,0,0.000424,53,0
0.100387,1,0.000432,0,0,0.000432,54,0
0.100443,1,0.00044,0,0,0.00044,55,0
0.100499,1,0.000448,0,0,0.000448,56,0
0.100555,1,0.000456,0,0,0.000456,57,0
0.100611,1,0.000464,0,0,0.000464,58,0
