Relative_C,Concentration_C,Concentration_Mn,Concentration_Si,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
1.46286,0.106536,0.638307,0.268978,1,0,0,0,0,0,0
1.39823,0.106468,0.638281,0.268967,1,8e-006,0,0,8e-006,1,0
1.3336,0.1064,0.638255,0.268957,1,1.6e-005,0,0,1.6e-005,2,0
1.26897,0.106332,0.63823,0.268946,1,2.4e-005,0,0,2.4e-005,3,1
1.20434,0.106265,0.638204,0.268936,1,3.2e-005,0,0,3.2e-005,4,0
1.13971,0.106197,0.638178,0.268925,1,4e-005,0,0,4e-005,5,0
1.07508,0.106129,0.638152,0.268914,1,4.8e-005,0,0,4.8e-005,6,0
1.01045,0.106061,0.638126,0.268904,1,5.6e-005,0,0,5.6e-005,7,0
0.945821,0.105993,0.638101,0.268893,1,6.4e-005,0,0,6.4e-005,8,0
0.881192,0.105925,0.638075,0.268883,1,7.2e-005,0,0,7.2e-005,9,0
0.816562,0.105857,0.638049,0.268872,1,8e-005,0,0,8e-005,10,0
0.751933,0.10579,0.638023,0.268861,1,8.8e-005,0,0,8.8e-005,11,0
0.687303,0.105722,0.637998,0.268851,1,9.6e-005,0,0,9.6e-005,12,0
0.579582,0.105609,0.637944,0.268827,1,0.000104,0,0,0.000104,13,0
0.39408,0.105414,0.637842,0.268779,1,0.000112,0,0,0.000112,14,0
0.208578,0.105219,0.637739,0.268732,1,0.00012,0,0,0.00012,15,0
0.0230761,0.105024,0.637637,0.268684,1,0.000128,0,0,0.000128,16,0
-0.162426,0.104829,0.637534,0.268636,1,0.000136,0,0,0.000136,17,0
-0.347928,0.104635,0.637431,0.268589,1,0.000144,0,0,0.000144,18,0
-0.53343,0.10444,0.637329,0.268541,1,0.000152,0,0,0.000152,19,0
-0.718932,0.104245,0.637226,0.268493,1,0.00016,0,0,0.00016,20,0
-0.904434,0.10405,0.637124,0.268446,1,0.000168,0,0,0.000168,21,0
-1.08994,0.103856,0.637021,0.268398,1,0.000176,0,0,0.000176,22,0
-1.26587,0.103671,0.636937,0.268358,1,0.000184,0,0,0.000184,23,0
-1.44043,0.103488,0.636856,0.268319,1,0.000192,0,0,0.000192,24,0
-1.61499,0.103304,0.636774,0.268281,1,0.0002,0,0,0.0002,25,0
-1.78954,0.103121,0.636693,0.268242,1,0.000208,0,0,0.000208,26,0
-1.9641,0.102938,0.636612,0.268203,1,0.000216,0,0,0.000216,27,0
-2.13866,0.102754,0.63653,0.268165,1,0.000224,0,0,0.000224,28,0
-2.31321,0.102571,0.636449,0.268126,1,0.000232,0,0,0.000232,29,0
-2.48777,0.102388,0.636368,0.268087,1,0.00024,0,0,0.00024,30,0
-2.66233,0.102205,0.636286,0.268049,1,0.000248,0,0,0.000248,31,0
