Concentration_C,Concentration_Si,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.106353,0.26877,1,0,0,0,0,0,0
0.106277,0.268749,1,8e-006,0,0,8e-006,1,0
0.106201,0.268727,1,1.6e-005,0,0,1.6e-005,2,1
0.106125,0.268706,1,2.4e-005,0,0,2.4e-005,3,0
0.10605,0.268685,1,3.2e-005,0,0,3.2e-005,4,0
0.105974,0.268664,1,4e-005,0,0,4e-005,5,0
0.105898,0.268642,1,4.8e-005,0,0,4.8e-005,6,0
0.105822,0.268621,1,5.6e-005,0,0,5.6e-005,7,0
0.105746,0.2686,1,6.4e-005,0,0,6.4e-005,8,0
0.10567,0.268579,1,7.2e-005,0,0,7.2e-005,9,0
0.105595,0.268557,1,8e-005,0,0,8e-005,10,0
0.105519,0.268536,1,8.8e-005,0,0,8.8e-005,11,0
0.105443,0.268515,1,9.6e-005,0,0,9.6e-005,12,0
0.105311,0.268479,1,0.000104,0,0,0.000104,13,0
0.105078,0.268418,1,0.000112,0,0,0.000112,14,0
0.104845,0.268356,1,0.00012,0,0,0.00012,15,0
0.104612,0.268295,1,0.000128,0,0,0.000128,16,0
0.104379,0.268234,1,0.000136,0,0,0.000136,17,0
0.104146,0.268172,1,0.000144,0,0,0.000144,18,0
0.103913,0.268111,1,0.000152,0,0,0.000152,19,0
0.10368,0.26805,1,0.00016,0,0,0.00016,20,0
0.103447,0.267988,1,0.000168,0,0,0.000168,21,0
0.103214,0.267927,1,0.000176,0,0,0.000176,22,0
0.102985,0.267868,1,0.000184,0,0,0.000184,23,0
0.102757,0.267809,1,0.000192,0,0,0.000192,24,0
0.102528,0.267751,1,0.0002,0,0,0.0002,25,0
0.102299,0.267692,1,0.000208,0,0,0.000208,26,0
0.102071,0.267634,1,0.000216,0,0,0.000216,27,0
0.101842,0.267575,1,0.000224,0,0,0.000224,28,0
0.101613,0.267517,1,0.000232,0,0,0.000232,29,0
0.101385,0.267458,1,0.00024,0,0,0.00024,30,0
0.101156,0.2674,1,0.000248,0,0,0.000248,31,0
0.100963,0.267306,1,0.000256,0,0,0.000256,32,0
0.100826,0.267156,1,0.000264,0,0,0.000264,33,0
0.100689,0.267007,1,0.000272,0,0,0.000272,34,0
0.100551,0.266857,1,0.00028,0,0,0.00028,35,0
0.100414,0.266708,1,0.000288,0,0,0.000288,36,0
0.100277,0.266558,1,0.000296,0,0,0.000296,37,0
0.100139,0.266409,1,0.000304,0,0,0.000304,38,0
0.100002,0.26626,1,0.000312,0,0,0.000312,39,0
0.0998648,0.26611,1,0.00032,0,0,0.00032,40,0
0.0997275,0.265961,1,0.000328,0,0,0.000328,41,0
0.0997267,0.265933,1,0.000336,0,0,0.000336,42,0
0.0997396,0.265918,1,0.000344,0,0,0.000344,43,0
0.0997525,0.265903,1,0.000352,0,0,0.000352,44,0
0.0997654,0.265888,1,0.00036,0,0,0.00036,45,0
0.0997783,0.265873,1,0.000368,0,0,0.000368,46,0
0.0997911,0.265858,1,0.000376,0,0,0.000376,47,0
0.099804,0.265843,1,0.000384,0,0,0.000384,48,0
0.0998169,0.265828,1,0.000392,0,0,0.000392,49,0
0.0998298,0.265813,1,0.0004,0,0,0.0004,50,0
0.0998709,0.26583,1,0.000408,0,0,0.000408,51,0
0.09995,0.26589,1,0.000416,0,0,0.000416,52,0
0.100029,0.26595,1,0.000424,0,0,0.000424,53,0
0.100108,0.26601,1,0.000432,0,0,0.000432,54,0
0.100187,0.26607,1,0.00044,0,0,0.00044,55,0
0.100267,0.26613,1,0.000448,0,0,0.000448,56,0
0.100346,0.266191,1,0.000456,0,0,0.000456,57,0
0.100425,0.266251,1,0.000464,0,0,0.000464,58,0
0.100504,0.266311,1,0.000472,0,0,0.000472,59,0
0.100583,0.266371,1,0.00048,0,0,0.00048,60,0
0.100662,0.266431,1,0.000488,0,0,0.000488,61,0
0.100741,0.266491,1,0.000496,0,0,0.000496,62,0
0.10082,0.266551,1,0.000504,0,0,0.000504,63,0
0.100899,0.266612,1,0.000512,0,0,0.000512,64,0
0.100979,0.266672,1,0.00052,0,0,0.00052,65,0
0.101058,0.266732,1,0.000528,0,0,0.000528,66,0
0.101137,0.266792,1,0.000536,0,0,0.000536,67,0
0.101152,0.266798,1,0.000544,0,0,0.000544,68,0
0.101119,0.266763,1,0.000552,0,0,0.000552,69,0
0.101087,0.266728,1,0.00056,0,0,0.00056,70,0
0.101054,0.266693,1,0.000568,0,0,0.000568,71,0
0.101021,0.266659,1,0.000576,0,0,0.000576,72,0
0.100988,0.266624,1,0.000584,0,0,0.000584,73,0
0.100955,0.266589,1,0.000592,0,0,0.000592,74,0
0.100922,0.266554,1,0.0006,0,0,0.0006,75,0
0.10089,0.266519,1,0.000608,0,0,0.000608,76,0
0.100857,0.266484,1,0.000616,0,0,0.000616,77,0
0.100824,0.266449,1,0.000624,0,0,0.000624,78,0
0.100791,0.266414,1,0.000632,0,0,0.000632,79,0
0.100758,0.266379,1,0.00064,0,0,0.00064,80,0
0.100725,0.266344,1,0.000648,0,0,0.000648,81,0
0.100712,0.266332,1,0.000656,0,0,0.000656,82,0
0.100719,0.266344,1,0.000664,0,0,0.000664,83,0
0.100727,0.266356,1,0.000672,0,0,0.000672,84,0
0.100735,0.266368,1,0.00068,0,0,0.00068,85,0
0.100743,0.26638,1,0.000688,0,0,0.000688,86,0
0.10075,0.266392,1,0.000696,0,0,0.000696,87,0
0.100758,0.266404,1,0.000704,0,0,0.000704,88,0
0.100766,0.266416,1,0.000712,0,0,0.000712,89,0
0.100773,0.266428,1,0.00072,0,0,0.00072,90,0
0.100781,0.26644,1,0.000728,0,0,0.000728,91,0
0.100789,0.266452,1,0.000736,0,0,0.000736,92,0
0.100797,0.266463,1,0.000744,0,0,0.000744,93,0
0.100804,0.266475,1,0.000752,0,0,0.000752,94,0
0.100812,0.266487,1,0.00076,0,0,0.00076,95,0
0.100827,0.266501,1,0.000768,0,0,0.000768,96,0
0.100854,0.266516,1,0.000776,0,0,0.000776,97,0
0.10088,0.266531,1,0.000784,0,0,0.000784,98,0
0.100907,0.266546,1,0.000792,0,0,0.000792,99,0
0.100934,0.266561,1,0.0008,0,0,0.0008,100,0
0.10096,0.266577,1,0.000808,0,0,0.000808,101,0
0.100987,0.266592,1,0.000816,0,0,0.000816,102,0
0.101014,0.266607,1,0.000824,0,0,0.000824,103,0
0.10104,0.266622,1,0.000832,0,0,0.000832,104,0
0.101067,0.266637,1,0.00084,0,0,0.00084,105,0
0.101094,0.266652,1,0.000848,0,0,0.000848,106,0
0.10112,0.266668,1,0.000856,0,0,0.000856,107,0
0.101147,0.266683,1,0.000864,0,0,0.000864,108,0
0.101174,0.266698,1,0.000872,0,0,0.000872,109,0
0.1012,0.266713,1,0.00088,0,0,0.00088,110,0
0.101227,0.266728,1,0.000888,0,0,0.000888,111,0
0.101254,0.266743,1,0.000896,0,0,0.000896,112,0
0.10128,0.266759,1,0.000904,0,0,0.000904,113,0
0.101297,0.266759,1,0.000912,0,0,0.000912,114,0
0.101314,0.266758,1,0.00092,0,0,0.00092,115,0
0.101331,0.266758,1,0.000928,0,0,0.000928,116,0
0.101348,0.266757,1,0.000936,0,0,0.000936,117,0
0.101364,0.266757,1,0.000944,0,0,0.000944,118,0
0.101381,0.266756,1,0.000952,0,0,0.000952,119,0
0.101398,0.266756,1,0.00096,0,0,0.00096,120,0
0.101414,0.266755,1,0.000968,0,0,0.000968,121,0
0.101431,0.266755,1,0.000976,0,0,0.000976,122,0
0.101448,0.266754,1,0.000984,0,0,0.000984,123,0
0.101465,0.266754,1,0.000992,0,0,0.000992,124,0
0.101481,0.266753,1,0.001,0,0,0.001,125,0
0.101498,0.266753,1,0.001008,0,0,0.001008,126,0
0.101515,0.266753,1,0.001016,0,0,0.001016,127,0
0.101531,0.266752,1,0.001024,0,0,0.001024,128,0
0.101548,0.266752,1,0.001032,0,0,0.001032,129,0
0.101565,0.266751,1,0.00104,0,0,0.00104,130,0
0.101567,0.266746,1,0.001048,0,0,0.001048,131,0
0.101559,0.266738,1,0.001056,0,0,0.001056,132,0
0.10155,0.266731,1,0.001064,0,0,0.001064,133,0
0.101541,0.266723,1,0.001072,0,0,0.001072,134,0
0.101533,0.266715,1,0.00108,0,0,0.00108,135,0
0.101524,0.266707,1,0.001088,0,0,0.001088,136,0
0.101516,0.266699,1,0.001096,0,0,0.001096,137,0
0.101507,0.266691,1,0.001104,0,0,0.001104,138,0
0.101499,0.266683,1,0.001112,0,0,0.001112,139,0
0.10149,0.266675,1,0.00112,0,0,0.00112,140,0
0.101482,0.266667,1,0.001128,0,0,0.001128,141,0
0.101473,0.266659,1,0.001136,0,0,0.001136,142,0
0.101465,0.266651,1,0.001144,0,0,0.001144,143,0
0.101456,0.266643,1,0.001152,0,0,0.001152,144,0
0.101448,0.266635,1,0.00116,0,0,0.00116,145,0
0.10146,0.266641,1,0.001168,0,0,0.001168,146,0
0.101496,0.266664,1,0.001176,0,0,0.001176,147,0
0.101532,0.266686,1,0.001184,0,0,0.001184,148,0
0.101568,0.266708,1,0.001192,0,0,0.001192,149,0
0.101604,0.266731,1,0.0012,0,0,0.0012,150,0
0.101641,0.266753,1,0.001208,0,0,0.001208,151,0
0.101677,0.266775,1,0.001216,0,0,0.001216,152,0
0.101713,0.266798,1,0.001224,0,0,0.001224,153,0
0.101749,0.26682,1,0.001232,0,0,0.001232,154,0
0.101786,0.266842,1,0.00124,0,0,0.00124,155,0
0.101822,0.266865,1,0.001248,0,0,0.001248,156,0
0.101858,0.266887,1,0.001256,0,0,0.001256,157,0
0.101894,0.266909,1,0.001264,0,0,0.001264,158,0
0.101931,0.266932,1,0.001272,0,0,0.001272,159,0
0.101967,0.266954,1,0.00128,0,0,0.00128,160,0
0.10199,0.266968,1,0.001288,0,0,0.001288,161,0
0.101988,0.266965,1,0.001296,0,0,0.001296,162,0
0.101985,0.266963,1,0.001304,0,0,0.001304,163,0
0.101982,0.26696,1,0.001312,0,0,0.001312,164,0
0.10198,0.266957,1,0.00132,0,0,0.00132,165,0
0.101977,0.266955,1,0.001328,0,0,0.001328,166,0
0.101975,0.266952,1,0.001336,0,0,0.001336,167,0
0.101972,0.266949,1,0.001344,0,0,0.001344,168,0
0.10197,0.266947,1,0.001352,0,0,0.001352,169,0
0.101967,0.266944,1,0.00136,0,0,0.00136,170,0
0.101964,0.266941,1,0.001368,0,0,0.001368,171,0
0.101962,0.266939,1,0.001376,0,0,0.001376,172,0
0.101959,0.266936,1,0.001384,0,0,0.001384,173,0
0.101957,0.266933,1,0.001392,0,0,0.001392,174,0
0.101954,0.266931,1,0.0014,0,0,0.0014,175,0
0.101952,0.266928,1,0.001408,0,0,0.001408,176,0
0.101949,0.266925,1,0.001416,0,0,0.001416,177,0
0.101946,0.266923,1,0.001424,0,0,0.001424,178,0
0.101944,0.26692,1,0.001432,0,0,0.001432,179,0
0.101893,0.266885,1,0.00144,0,0,0.00144,180,0
0.101822,0.266835,1,0.001448,0,0,0.001448,181,0
0.10175,0.266785,1,0.001456,0,0,0.001456,182,0
0.101678,0.266735,1,0.001464,0,0,0.001464,183,0
0.101606,0.266685,1,0.001472,0,0,0.001472,184,0
